# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -3 and phase <= 3 and ((dm15_source >= 1.8) or (dm15_from_fits >= 1.8))
  Wavelength       Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  ---------  ---------------  ---------------  ------------  -------  ----------  -------------
        3188   1.20199         0.035684        0.015369     0.52105      1.82     0.00488                 1
        3190   1.16752         0.0346605       0.0149282    0.52105      1.82     0.00488                 1
        3192   1.10123         0.0326926       0.0140806    0.52105      1.82     0.00488                 1
        3194   1.04654         0.031069        0.0133813    0.52105      1.82     0.00488                 1
        3196   1.03247         0.0306513       0.0132014    0.52105      1.82     0.00488                 1
        3198   1.05523         0.0313268       0.0134924    0.52105      1.82     0.00488                 1
        3200   1.06839         0.0317175       0.0136607    0.52105      1.82     0.00488                 1
        3202   1.02499         0.0304292       0.0131058    0.52105      1.82     0.00488                 1
        3204   0.953593        0.0283096       0.0121929    0.52105      1.82     0.00488                 1
        3206   0.902945        0.026806        0.0115453    0.52105      1.82     0.00488                 1
        3208   0.919504        0.0272976       0.011757     0.52105      1.82     0.00488                 1
        3210   0.975169        0.0289502       0.0124688    0.52105      1.82     0.00488                 1
        3212   1.03971         0.0308662       0.013294     0.52105      1.82     0.00488                 1
        3214   1.07834         0.032013        0.0137879    0.52105      1.82     0.00488                 1
        3216   1.06511         0.0316202       0.0136188    0.52105      1.82     0.00488                 1
        3218   0.972144        0.0288604       0.0124301    0.52105      1.82     0.00488                 1
        3220   0.842228        0.0250035       0.010769     0.52105      1.82     0.00488                 1
        3222   0.728557        0.0216289       0.00931553   0.52105      1.82     0.00488                 1
        3224   0.687603        0.0204131       0.00879188   0.52105      1.82     0.00488                 1
        3226   0.708303        0.0210276       0.00905656   0.52105      1.82     0.00488                 1
        3228   0.77907         0.0231285       0.00996141   0.52105      1.82     0.00488                 1
        3230   0.880615        0.0261431       0.0112598    0.52105      1.82     0.00488                 1
        3232   0.985197        0.0292479       0.012597     0.52105      1.82     0.00488                 1
        3234   1.06528         0.0316253       0.0136209    0.52105      1.82     0.00488                 1
        3236   1.12964         0.0312098       0.235926     0.606399     1.82762  0.00612257              2
        3238   1.11066         0.183966        0.0117181    0.607463     1.82771  0.00613806              2
        3240   0.981583        1.44464         0.098085     0.608667     1.82782  0.00615559              2
        3242   0.92436         1.0009          0.0674135    0.610022     1.82794  0.00617532              2
        3244   0.82557         0.349262        0.0214633    0.611148     1.82804  0.00619171              2
        3246   0.740307        0.0575115       0.69499      0.612495     1.82816  0.00621132              2
        3248   0.629304        0.0403499       0.470828     0.613922     1.82829  0.0062321               2
        3250   0.696729        0.033058        0.365593     0.615291     1.82841  0.00625203              2
        3252   1.0886          0.152243        0.473455    -0.144537     1.84798  0.00801855              3
        3254   1.31188         0.167419        0.49749     -0.151864     1.84825  0.0080474               3
        3256   1.19557         0.0789166       0.0611468   -0.158993     1.84852  0.00807668              3
        3258   1.13291         0.186761        0.0579895   -0.163724     1.84872  0.00809941              3
        3260   1.46945         0.217253        0.581566    -0.169159     1.84895  0.0081246               3
        3262   1.46017         0.326158        0.778166    -0.17535      1.84919  0.00815077              3
        3264   1.21899         0.311542        0.615737    -0.176553     1.84928  0.00816252              3
        3266   1.08721         0.148292        0.280906    -0.181899     1.8495   0.00818721              3
        3268   0.946986        0.169143        0.0765801   -0.18624      1.84968  0.00820802              3
        3270   1.00678         0.0595283       0.0285184   -0.189555     1.84982  0.00822318              3
        3272   1.22442         0.300345        0.609486    -0.191251     1.84994  0.00823832              3
        3274   1.14584         0.258402        0.646611    -0.191576     1.85002  0.00824899              3
        3276   1.02126         0.197109        0.545999    -0.195092     1.85015  0.00826439              3
        3278   1.17777         0.300993        0.74437     -0.197091     1.85024  0.00827393              3
        3280   1.30567         0.308902        0.734485    -0.198142     1.85033  0.00828589              3
        3282   1.28932         0.143315        0.362584    -0.201774     1.85047  0.0083002               3
        3284   1.62411         0.216526        0.60831     -0.204582     1.85058  0.00831242              3
        3286   1.69366         0.153937        0.424155    -0.207406     1.85067  0.00832232              3
        3288   1.71495         0.10632         0.283205    -0.207686     1.85066  0.00831962              3
        3290   1.68738         0.0854811       0.192761    -0.208242     1.85063  0.00831473              3
        3292   1.75859         0.139129        0.0800622    0.255028     1.83626  0.00534328              4
        3294   1.80161         0.154661        0.15574      0.256626     1.83624  0.00533918              4
        3296   1.79175         0.212437        0.223266     0.257784     1.83622  0.00533355              4
        3298   1.69983         0.24785         0.170429     0.258983     1.8362   0.00533106              4
        3300   1.71566         0.269542        0.175119     0.259057     1.83622  0.00533715              4
        3302   1.70349         0.286683        0.139446     0.256146     1.83631  0.00535575              4
        3304   1.70697         0.205966        0.118705     0.254834     1.83636  0.00536893              4
        3306   1.7275          0.170057        0.0974887    0.255078     1.83637  0.00537287              4
        3308   1.85431         0.113888        0.133446     0.255293     1.83637  0.00537284              4
        3310   1.94641         0.106773        0.179572     0.257476     1.8363   0.00536062              4
        3312   1.94433         0.0904815       0.0927105    0.261011     1.8362   0.00534374              4
        3314   1.96301         0.133211        0.15537      0.26481      1.8361   0.00532696              4
        3316   1.88835         0.124143        0.0998417    0.265883     1.83606  0.00531846              4
        3318   1.79262         0.187722        0.100971     0.267521     1.83601  0.00531304              4
        3320   1.79008         0.109513        0.124052     0.267806     1.836    0.00531392              4
        3322   1.78448         0.0867297       0.138761     0.268685     1.83598  0.00531534              4
        3324   1.86199         0.145952        0.199743     0.271874     1.83591  0.00531081              4
        3326   1.80897         0.0880212       0.0800577    0.275918     1.8358   0.00529979              4
        3328   1.82975         0.135992        0.0809652    0.278434     1.83574  0.00529252              4
        3330   1.82962         0.138736        0.0892405    0.277979     1.83575  0.00529315              4
        3332   1.69287         0.21922         0.0880484    0.279086     1.83571  0.00528687              4
        3334   1.66146         0.169555        0.0656001    0.279432     1.83569  0.00528189              4
        3336   1.66702         0.104805        0.0683821    0.280168     1.83565  0.00527617              4
        3338   1.67058         0.107553        0.0947274    0.280955     1.83563  0.00527308              4
        3340   1.72385         0.142387        0.125619     0.280948     1.83564  0.00527678              4
        3342   1.76814         0.132934        0.121602     0.280336     1.83566  0.00528252              4
        3344   1.83958         0.112417        0.128867     0.279948     1.83567  0.00528472              4
        3346   1.88538         0.110548        0.0593255    0.282074     1.83562  0.00527639              4
        3348   1.88438         0.234812        0.0765181    0.283136     1.83558  0.00526724              4
        3350   1.94317         0.131479        0.0368796    0.295393     1.83586  0.00543595              5
        3352   1.97071         0.0766519       0.0537003    0.294248     1.83584  0.00543146              5
        3354   1.96005         0.10819         0.103879     0.287046     1.83599  0.0054651               5
        3356   1.86963         0.131638        0.105671     0.277696     1.83638  0.00554978              5
        3358   1.77207         0.156732        0.0992225    0.269717     1.83671  0.00562277              5
        3360   1.79617         0.124598        0.114568     0.267513     1.83678  0.00563502              5
        3362   1.81989         0.137505        0.107547     0.273124     1.83661  0.00559588              5
        3364   1.81915         0.159417        0.0736042    0.279061     1.83642  0.00554923              5
        3366   1.89623         0.118963        0.0932266    0.281608     1.83631  0.00551736              5
        3368   1.94123         0.129103        0.0650823    0.283188     1.83624  0.00549474              5
        3370   1.97425         0.0924475       0.0642823    0.285006     1.83615  0.00547036              5
        3372   1.95937         0.13328         0.0715416    0.28706      1.83608  0.00545027              5
        3374   1.93883         0.196264        0.0999995    0.287835     1.83605  0.00543638              5
        3376   1.93468         0.231473        0.114794     0.287147     1.83609  0.00543916              5
        3378   1.89059         0.270075        0.0953745    0.30573      1.83661  0.00574148              5
        3380   1.88728         0.234084        0.0805711    0.274539     1.83706  0.00575347              6
