# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -8 and phase < -6 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper     Phase      Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  --------  --------  ----------  -------------
        1596   0.290339        0.00546832       0.0038309    -6.6      0.92      0.00389                 1
        1598   0.232077        0.004371         0.00306216   -6.6      0.92      0.00389                 1
        1600  -0.0282058       0.000372164      0.000531235  -6.6      0.92      0.00389                 1
        1602   0.563141        0.0106064        0.00743042   -6.6      0.92      0.00389                 1
        1604   0.68222         0.0128491        0.00900161   -6.6      0.92      0.00389                 1
        1606   0.630986        0.0118842        0.0083256    -6.6      0.92      0.00389                 1
        1608   0.0688607       0.00129694       0.000908589  -6.6      0.92      0.00389                 1
        1610  -0.48844         0.00644477       0.00919942   -6.6      0.92      0.00389                 1
        1612  -0.0528518       0.000697359      0.000995426  -6.6      0.92      0.00389                 1
        1614   0.419593        0.00790273       0.00553636   -6.6      0.92      0.00389                 1
        1616  -0.298268        0.00393553       0.00561767   -6.6      0.92      0.00389                 1
        1618  -0.389477        0.00513899       0.00733552   -6.6      0.92      0.00389                 1
        1620  -0.0488318       0.000644317      0.000919713  -6.6      0.92      0.00389                 1
        1622  -0.115332        0.00152176       0.00217219   -6.6      0.92      0.00389                 1
        1624   0.0218075       0.000410728      0.000287741  -6.6      0.92      0.00389                 1
        1626   0.241875        0.00455553       0.00319144   -6.6      0.92      0.00389                 1
        1628   0.218144        0.00410859       0.00287832   -6.6      0.92      0.00389                 1
        1630  -0.194163        0.0025619        0.00365692   -6.6      0.92      0.00389                 1
        1632  -0.0923259       0.0012182        0.00173889   -6.6      0.92      0.00389                 1
        1634   0.159899        0.00301159       0.00210981   -6.6      0.92      0.00389                 1
        1636   0.0294675       0.000555         0.000388812  -6.6      0.92      0.00389                 1
        1638   0.0922876       0.00173817       0.0012177    -6.6      0.92      0.00389                 1
        1640   0.182009        0.003428         0.00240153   -6.6      0.92      0.00389                 1
        1642   0.0414336       0.000780372      0.0005467    -6.6      0.92      0.00389                 1
        1644  -0.00705915      9.31427e-05      0.000132954  -6.6      0.92      0.00389                 1
        1646   0.0975677       0.00183762       0.00128737   -6.6      0.92      0.00389                 1
        1648   0.0441407       0.000831357      0.000582418  -6.6      0.92      0.00389                 1
        1650   0.0766767       0.00144415       0.00101172   -6.6      0.92      0.00389                 1
        1652   0.0533606       0.00100501       0.000704071  -6.6      0.92      0.00389                 1
        1654   0.0901222       0.00169739       0.00118913   -6.6      0.92      0.00389                 1
        1656  -0.0535476       0.000706539      0.00100853   -6.6      0.92      0.00389                 1
        1658  -0.0497981       0.000657066      0.000937912  -6.6      0.92      0.00389                 1
        1660   0.107957        0.0020333        0.00142446   -6.6      0.92      0.00389                 1
        1662   0.0315133       0.000593531      0.000415806  -6.6      0.92      0.00389                 1
        1664   0.00863522      0.000162638      0.000113938  -6.6      0.92      0.00389                 1
        1666   0.0434186       0.000817757      0.000572891  -6.6      0.92      0.00389                 1
        1668  -0.0276991       0.000365479      0.000521693  -6.6      0.92      0.00389                 1
        1670   0.0310711       0.000585202      0.000409971  -6.6      0.92      0.00389                 1
        1672   0.100734        0.00825927       0.0158148    -6.70369  0.98498   0.00282337              2
        1674   0.118878        0.0138154        0.0273478    -6.70076  0.983141  0.00285355              2
        1676   0.205241        0.0703405        0.141303     -6.6981   0.981477  0.00288086              2
        1678   0.243963        0.111691         0.231989     -6.69572  0.979984  0.00290537              2
        1680   0.0640836       0.044858         0.0959155    -6.6936   0.978654  0.0029272               2
        1682   0.074447        0.11188          0.246179     -6.69173  0.977481  0.00294645              2
        1684   0.0792972       0.113994         0.257382     -6.69009  0.976459  0.00296323              2
        1686   0.0668205       0.133245         0.307976     -6.68869  0.975579  0.00297767              2
        1688   0.0543972       0.0995296        0.234456     -6.6875   0.974835  0.00298989              2
        1690   0.0752715       0.0284534        0.0687701    -6.68652  0.974219  0.003                   2
        1692   0.0172098       0.0794783        0.192981     -6.68573  0.973724  0.00300813              2
        1694  -0.0140712       0.104833         0.257461     -6.68512  0.973343  0.00301438              2
        1696   0.0436603       0.0950177        0.234479     -6.68468  0.973069  0.00301888              2
        1698   0.0677703       0.0467294        0.115987     -6.68441  0.972895  0.00302174              2
        1700   0.0845337       0.0280614        0.070613     -6.68428  0.972813  0.00302308              2
        1702   0.0861183       0.0852649        0.211381     -6.68428  0.972817  0.00302301              2
        1704   0.0297526       0.0783527        0.194281     -6.68441  0.9729    0.00302166              2
        1706   0.0435431       0.0643223        0.158657     -6.68466  0.973054  0.00301913              2
        1708   0.0301278       0.0785721        0.192923     -6.68501  0.973272  0.00301555              2
        1710   0.0438863       0.026704         0.0652363    -6.68545  0.973546  0.00301105              2
        1712   0.0755461       0.0548884        0.132692     -6.68596  0.97387   0.00300574              2
        1714   0.0759299       0.0506092        0.121286     -6.68654  0.974234  0.00299975              2
        1716   0.0527439       0.0706473        0.167148     -6.68718  0.974633  0.00299321              2
        1718   0.0195215       0.08844          0.207444     -6.68786  0.975057  0.00298625              2
        1720   0.069942        0.0860236        0.198956     -6.68856  0.975499  0.00297899              2
        1722   0.0831119       0.0538473        0.123435     -6.68929  0.975952  0.00297155              2
        1724   0.048692        0.0570978        0.128986     -6.69001  0.976409  0.00296406              2
        1726   0.107469        0.0219925        0.0503065    -6.69074  0.976862  0.00295662              2
        1728   0.0831106       0.033673         0.0749886    -6.69145  0.977306  0.00294933              2
        1730   0.0586016       0.0933174        0.204068     -6.69213  0.977735  0.00294229              2
        1732   0.0511765       0.0704911        0.152501     -6.69278  0.978142  0.0029356               2
        1734   0.0457954       0.0575077        0.12318      -6.69339  0.978525  0.00292932              2
        1736   0.104949        0.0424808        0.0908788    -6.69395  0.978878  0.00292352              2
        1738   0.0563067       0.0114948        0.00532881   -6.69447  0.979199  0.00291825              2
        1740   0.0871063       0.0498162        0.104514     -6.69492  0.979485  0.00291356              2
        1742  -0.00594602      0.0500529        0.104579     -6.69532  0.979733  0.00290948              2
        1744   0.0517786       0.0627763        0.129784     -6.69565  0.979944  0.00290603              2
        1746   0.0722549       0.0620581        0.127745     -6.69593  0.980115  0.00290321              2
        1748   0.0874717       0.05364          0.110338     -6.69614  0.980249  0.00290103              2
        1750   0.0749389       0.0915545        0.187426     -6.69629  0.980344  0.00289945              2
        1752   0.0706134       0.0442877        0.0907306    -6.69639  0.980404  0.00289847              2
        1754   0.0587875       0.0680238        0.138923     -6.69643  0.98043   0.00289804              2
        1756   0.0536248       0.0553965        0.113081     -6.69642  0.980425  0.00289813              2
        1758   0.0573921       0.0465005        0.0951058    -6.69637  0.980391  0.00289869              2
        1760   0.0409127       0.0763015        0.156505     -6.69628  0.980332  0.00289965              2
        1762   0.0811418       0.0518236        0.106553     -6.69615  0.980253  0.00290096              2
        1764   0.0986777       0.0648682        0.133663     -6.69599  0.980155  0.00290256              2
        1766   0.0525641       0.0447634        0.0923107    -6.69582  0.980045  0.00290437              2
        1768   0.0552772       0.0668404        0.13825      -6.69562  0.979925  0.00290634              2
        1770   0.0390968       0.0595285        0.123629     -6.69542  0.979799  0.0029084               2
        1772   0.061732        0.0420269        0.0876194    -6.69522  0.979672  0.00291048              2
        1774   0.0819302       0.0488881        0.102363     -6.69502  0.979548  0.00291253              2
        1776   0.107658        0.0552999        0.116315     -6.69483  0.979429  0.00291448              2
        1778   0.136289        0.0526022        0.111359     -6.69466  0.979319  0.00291628              2
        1780   0.10781         0.0235491        0.0505512    -6.6945   0.979222  0.00291787              2
        1782   0.0817972       0.0417149        0.0883854    -6.69437  0.979141  0.0029192               2
        1784   0.0776036       0.0604624        0.127801     -6.69427  0.979079  0.00292023              2
        1786   0.112771        0.0377636        0.0807039    -6.69421  0.979038  0.0029209               2
        1788   0.12114         0.0300566        0.0646504    -6.69418  0.979022  0.00292116              2
        1790   0.0933137       0.0228494        0.0491484    -6.6942   0.979034  0.00292097              2
        1792   0.0839662       0.0410802        0.087225     -6.69427  0.979076  0.00292027              2
        1794   0.0655569       0.0209256        0.0446267    -6.69439  0.979153  0.00291901              2
        1796   0.019808        0.068604         0.144662     -6.69457  0.979267  0.00291714              2
        1798   0.03647         0.0346475        0.0725137    -6.69482  0.979422  0.0029146               2
        1800   0.0635925       0.00453225       0.00987449   -6.69514  0.97962   0.00291134              2
        1802   0.0898484       0.0430958        0.089727     -6.69553  0.979866  0.0029073               2
        1804   0.112419        0.00716736       0.0154205    -6.696    0.980163  0.00290243              2
        1806   0.0867993       0.0425343        0.0871141    -6.69656  0.980514  0.00289667              2
        1808   0.086264        0.0456069        0.0923892    -6.69722  0.980922  0.00288997              2
        1810   0.0820473       0.0419822        0.0840938    -6.69796  0.981391  0.00288228              2
        1812   0.100943        0.0513679        0.101561     -6.69881  0.981922  0.00287356              2
        1814   0.0655537       0.0480639        0.093371     -6.69976  0.982517  0.00286379              2
