# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= -1 and phase <= 1 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 96
# N_spec = 142
# phase = 0.11
# dm15 = 1.11
# z = 0.013

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper         Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  ------------  --------  ----------  -------------
        1604   0.0020729        1.37446e-05      8.01554e-06   0.1          1.14      0.002843                1
        1606  -0.0303535        0.000117372      0.000201262   0.1          1.14      0.002843                1
        1608   0.00993716       6.58896e-05      3.84253e-05   0.1          1.14      0.002843                1
        1610   0.0389605        0.000258333      0.000150654   0.1          1.14      0.002843                1
        1612   0.0161138        0.000106845      6.23095e-05   0.1          1.14      0.002843                1
        1614  -0.0117221        4.53274e-05      7.7725e-05    0.1          1.14      0.002843                1
        1616  -0.0159289        6.15943e-05      0.000105619   0.1          1.14      0.002843                1
        1618  -0.0166567        0.000974113      0.0114741    -0.69058      0.946747  0.00376271              2
        1620  -0.00781351       0.000383997      0.00434289   -0.68356      0.948463  0.00375454              2
        1622  -0.0280733        0.00414863       0.0501723    -0.676008     0.950309  0.00374576              2
        1624  -0.0014938        0.000903824      0.0110004    -0.667907     0.952289  0.00373633              2
        1626  -0.00152476       0.000121234      0.00116724   -0.659248     0.954406  0.00372626              2
        1628  -0.00793309       0.00122037       0.0120617    -0.650028     0.95666   0.00371553              2
        1630  -0.0049765        0.00233347       0.000258879  -0.64026      0.959048  0.00370417              2
        1632   0.00500238       0.00746099       0.000857764  -0.629964     0.961564  0.00369219              2
        1634   0.0168262        0.0200603        0.00250214   -0.619179     0.964201  0.00367964              2
        1636   0.00216155       0.00465456       0.00059328   -0.607959     0.966943  0.00366659              2
        1638  -0.0136316        0.00217227       0.0153513    -0.596375     0.969775  0.00365312              2
        1640   0.00164718       0.00177645       0.0130469    -0.584515     0.972674  0.00363932              2
        1642  -0.00539204       0.00218109       0.0143636    -0.57248      0.975616  0.00362532              2
        1644  -0.0121918        0.00306815       0.0186327    -0.560388     0.978572  0.00361125              2
        1646  -0.0178658        0.00342944       0.0193266    -0.548364     0.981511  0.00359726              2
        1648  -0.00561647       0.00209791       0.0116245    -0.536537     0.984402  0.00358351              2
        1650  -0.0181057        0.00431927       0.0222705    -0.525039     0.987213  0.00357013              2
        1652  -0.00310109       0.00112703       0.00566223   -0.513991     0.989913  0.00355728              2
        1654  -0.00526441       0.0013975        0.00662877   -0.503508     0.992476  0.00354508              2
        1656   0.002395         0.0031489        0.000687549  -0.493684     0.994877  0.00353365              2
        1658  -0.00716527       0.0006491        0.00256919   -0.484595     0.997099  0.00352308              2
        1660  -0.0139293        0.00204571       0.00835742   -0.476293     0.999128  0.00351342              2
        1662   0.00530631       0.000516957      0.000137956  -0.468805     1.00096   0.00350471              2
        1664   0.00764623       0.000541132      0.000145875  -0.462136     1.00259   0.00349695              2
        1666   0.00754535       0.000649307      0.00255387   -0.456265     1.00402   0.00349012              2
        1668   0.000700194      0.000456964      0.00189364   -0.451153     1.00527   0.00348417              2
        1670   0.00439688       0.00124342       0.0050043    -0.446742     1.00635   0.00347904              2
        1672   0.0095528        0.00468394       0.00496469   -0.373243     1.02021   0.00313171              3
        1674   0.00936487       0.00407891       0.00382653   -0.370796     1.02083   0.00313023              3
        1676   0.00845903       0.00498321       0.000907843  -0.368599     1.02138   0.00312842              3
        1678   0.00334063       0.00503242       0.005946     -0.366588     1.02187   0.00312625              3
        1680   0.00219505       0.00401059       0.00567187   -0.3647       1.02233   0.00312365              3
        1682   0.013768         0.00855542       0.00253463   -0.362881     1.02276   0.00312059              3
        1684   0.0109396        0.00409109       0.00385084   -0.361078     1.02317   0.00311704              3
        1686   0.00907974       0.00434724       0.00434585   -0.359249     1.02359   0.00311296              3
        1688   0.00852009       0.00160477       0.00100185   -0.357359     1.02402   0.00310835              3
        1690   0.00791345       0.00356022       0.000864279  -0.355381     1.02445   0.00310321              3
        1692   0.00364058       0.00183941       0.000974338  -0.353298     1.02491   0.00309755              3
        1694   0.0086106        0.0017041        0.000816255  -0.351096     1.02539   0.0030914               3
        1696   0.000294914      0.0043269        0.00641213   -0.348769     1.0259    0.00308477              3
        1698   0.00676001       0.00354048       0.000405681  -0.346319     1.02643   0.00307771              3
        1700   0.00832123       0.00359093       0.00137246   -0.343747     1.02699   0.00307027              3
        1702  -0.00109171       0.00486162       0.00930226   -0.341058     1.02758   0.00306248              3
        1704   0.00321661       0.00382687       0.00537403   -0.338258     1.02819   0.0030544               3
        1706   0.00721918       0.00353921       0.00300632   -0.335353     1.02882   0.00304608              3
        1708   0.00765965       0.00241309       0.00334015   -0.332349     1.02947   0.00303757              3
        1710   0.00557261       0.00284808       0.00407863   -0.329253     1.03015   0.00302892              3
        1712   0.00276053       0.00360596       0.00269885   -0.326068     1.03085   0.00302017              3
        1714   0.000755659      0.00241845       0.00435418   -0.322798     1.03157   0.00301137              3
        1716   0.00619325       0.00338248       0.00300239   -0.319446     1.03231   0.00300256              3
        1718   0.00351677       0.00316574       0.0034489    -0.316013     1.03308   0.00299376              3
        1720   0.00431021       0.00376218       0.00394046   -0.312503     1.03386   0.00298503              3
        1722   0.0118065        0.00617953       0.0022458    -0.308916     1.03467   0.00297638              3
        1724   0.00747741       0.00273478       0.00102328   -0.305256     1.0355    0.00296784              3
        1726   0.00112623       0.00576138       0.00761695   -0.301527     1.03635   0.00295944              3
