# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN where phase >= -3 and phase <= 3 and ((dm15_source >= 1.5 and dm15_source < 1.7) or (dm15_from_fits >= 1.5 and dm15_from_fits < 1.7))
  Wavelength         Flux    1-Sigma Lower    1-Sigma Upper         Phase     Dm15    Redshift    SNe per Bin
------------  -----------  ---------------  ---------------  ------------  -------  ----------  -------------
        1890  -0.13224         0.00276963       0.00426761    0.200192     1.69     0.0065                  1
        1892  -0.00214836      4.49951e-05      6.9331e-05    0.23071      1.69     0.0065                  1
        1894  -0.150166        0.00314506       0.00484608    0.225627     1.69     0.0065                  1
        1896   0.229377        0.00740235       0.00480405    0.22132      1.69     0.0065                  1
        1898   0.595102        0.0192049        0.0124638     0.228757     1.69     0.0065                  1
        1900   0.527573        0.0170256        0.0110495     0.226994     1.69     0.0065                  1
        1902   0.672729        0.02171          0.0140896     0.221835     1.69     0.0065                  1
        1904   0.590647        0.0190611        0.0123705     0.199181     1.69     0.0065                  1
        1906   0.253842        0.0081919        0.00531646    0.200937     1.69     0.0065                  1
        1908   0.270771        0.00873821       0.00567101    0.195533     1.69     0.0065                  1
        1910   0.323628        0.010444         0.00677803    0.18817      1.69     0.0065                  1
        1912   0.489229        0.0157882        0.0102464     0.202164     1.69     0.0065                  1
        1914   0.504807        0.0162909        0.0105726     0.212952     1.69     0.0065                  1
        1916   0.35519         0.0114625        0.00743908    0.212803     1.69     0.0065                  1
        1918   0.206353        0.00665934       0.00432184    0.210889     1.69     0.0065                  1
        1920   0.20562         0.00663569       0.0043065     0.192764     1.69     0.0065                  1
        1922   0.268493        0.00866468       0.00562329    0.186661     1.69     0.0065                  1
        1924   0.33487         0.0108068        0.0070135     0.215185     1.69     0.0065                  1
        1926   0.272013        0.00877828       0.00569702    0.221236     1.69     0.0065                  1
        1928   0.344911        0.0111308        0.0072238     0.217212     1.69     0.0065                  1
        1930   0.317862        0.0102579        0.00665729    0.186236     1.69     0.0065                  1
        1932   0.205805        0.00664165       0.00431036    0.180501     1.69     0.0065                  1
        1934   0.31558         0.0101843        0.00660948    0.186134     1.69     0.0065                  1
        1936   0.213847        0.00690119       0.0044788     0.181114     1.69     0.0065                  1
        1938   0.148585        0.00479506       0.00311195    0.190508     1.69     0.0065                  1
        1940   0.0630897       0.002036         0.00132135    0.199583     1.69     0.0065                  1
        1942  -0.130837        0.00274024       0.00422231    0.193783     1.69     0.0065                  1
        1944  -0.0817901       0.00171301       0.0026395     0.207509     1.69     0.0065                  1
        1946  -0.0327671       0.000686273      0.00105745    0.21619      1.69     0.0065                  1
        1948  -0.0793348       0.00166158       0.00256026    0.211853     1.69     0.0065                  1
        1950  -0.0513573       0.00107562       0.00165738    0.206643     1.69     0.0065                  1
        1952   0.220894        0.00712862       0.0046264     0.211086     1.69     0.0065                  1
        1954   0.345505        0.01115          0.00723623    0.225867     1.69     0.0065                  1
        1956   0.282493        0.0091165        0.00591652    0.234659     1.69     0.0065                  1
        1958   0.376538        0.0121515        0.00788619    0.225908     1.69     0.0065                  1
        1960   0.213509        0.00689027       0.00447172    0.200739     1.69     0.0065                  1
        1962  -0.1921          0.00402333       0.00619937    0.170303     1.69     0.0065                  1
        1964  -0.0228278       0.000478104      0.000736689   0.177479     1.69     0.0065                  1
