# SQL Query: SELECT * from Spectra inner join Events ON Spectra.SN = Events.SN and phase >= 6 and phase < 8 and ((dm15_source >= .5 and dm15_source < 1.8) or (dm15_from_fits >= .5 and dm15_from_fits < 1.8))
# N = 89
# N_spec = 128
# phase = 7.05
# dm15 = 1.14
# z = 0.014

  Wavelength          Flux    1-Sigma Lower    1-Sigma Upper    Phase      Dm15    Redshift    SNe per Bin
------------  ------------  ---------------  ---------------  -------  --------  ----------  -------------
        1138   0.0604164        0.000223515      0.00172898   6.95733  0.92      0.037036                1
        1140   0.0234547        8.67725e-05      0.000671221  6.95733  0.92      0.037036                1
        1142   0.0386766        0.000143087      0.00110684   6.95733  0.92      0.037036                1
        1144  -0.0129941        0.000371861      4.80726e-05  6.95733  0.92      0.037036                1
        1146   0.107385         0.000397279      0.00307311   6.95733  0.92      0.037036                1
        1148  -0.0131271        0.000375669      4.85648e-05  6.95733  0.92      0.037036                1
        1150   0.0344173        0.000127329      0.000984946  6.95733  0.92      0.037036                1
        1152   0.0619662        0.000229249      0.00177333   6.95733  0.92      0.037036                1
        1154   0.0262101        9.69662e-05      0.000750073  6.95733  0.92      0.037036                1
        1156   0.191591         0.000708807      0.00548291   6.95733  0.92      0.037036                1
        1158   0.0941192        0.000348201      0.00269348   6.95733  0.92      0.037036                1
        1160   0.0293545        0.000108599      0.00084006   6.95733  0.92      0.037036                1
        1162   0.0503519        0.000186281      0.00144096   6.95733  0.92      0.037036                1
        1164   0.185441         0.000686053      0.0053069    6.95733  0.92      0.037036                1
        1166   0.0774854        0.000286663      0.00221746   6.95733  0.92      0.037036                1
        1168   0.0575004        0.000212727      0.00164553   6.95733  0.92      0.037036                1
        1170   0.0383099        0.00014173       0.00109634   6.95733  0.92      0.037036                1
        1172   0.0193507        7.15893e-05      0.000553772  6.95733  0.92      0.037036                1
        1174   0.0137058        5.07057e-05      0.00039223   6.95733  0.92      0.037036                1
        1176   0.0178812        6.61529e-05      0.00051172   6.95733  0.92      0.037036                1
        1178   0.0220306        8.15039e-05      0.000630466  6.95733  0.92      0.037036                1
        1180   0.0261552        9.67632e-05      0.000748503  6.95733  0.92      0.037036                1
        1182   0.0302555        0.000111932      0.000865843  6.95733  0.92      0.037036                1
        1184   0.0343318        0.000127013      0.000982499  6.95733  0.92      0.037036                1
