Name RA DEC z_helio z_CMB Host Morphology Type Sample xf yf Name_upper Name_alt Flag
sn2004dt 30.553208333333327 -0.09763888888888889 0.0197 0.01879522720356264 "NGC 799" (R')SB(s)a normal CSP "" "" SN2004DT sn2004dt 10
sn2004ef 340.5417499999999 19.994555555555557 0.031 0.029804047658122917 "UGC 12158" Sb normal CSP "" "" SN2004EF sn2004ef 10
sn2004eo 308.2257916666667 9.928527777777777 0.0157 0.014744288576304918 "NGC 6928" SB(s)ab normal CSP "" "" SN2004EO sn2004eo 10
sn2004ey 327.28254166666665 0.44422222222222224 0.0158 0.01465004423413467 "UGC 11816" SB(rs)c normal CSP "" "" SN2004EY sn2004ey 10
sn2004gc 80.45812499999998 6.676027777777778 0.0321 0.032134582130263746 "ARP 327 NED04" cdots normal CSP "" "" SN2004GC sn2004gc 10
sn2004gs 129.5965833333333 17.62772222222222 0.0267 0.02757168710290001 "MCG +03-22-020" S0? normal CSP "" "" SN2004GS sn2004gs 10
sn2004gu 191.603 11.948916666666667 0.0459 0.04697014365542484 "FGC 175A" cdots 06gz-like CSP "" "" SN2004GU sn2004gu 10
sn2005A 37.680208333333326 -2.9388333333333336 0.0191 0.018313761956279758 "NGC 958" SB(rs)c normal CSP "" "" SN2005A sn2005A 10
sn2005M 144.38483333333332 23.20075 0.022 0.022975095438066192 "NGC 2930" S? 91T-like CSP "" "" SN2005M sn2005M 10
sn2005W 27.690708333333333 21.759833333333333 0.0089 0.00796621036408254 "NGC 691" SA(rs)bc ... CSP "" "" SN2005W sn2005W 10
sn2005ag 224.18187499999996 9.328472222222222 0.0797 0.08035042482709041 J14564322+0919361 cdots normal CSP "" "" SN2005AG sn2005ag 10
sn2005al 207.50137499999997 -30.576166666666666 0.0124 0.013292684670804605 "NGC 5304" "E+ pec" normal CSP "" "" SN2005AL sn2005al 10
sn2005am 139.05195833333335 -16.304444444444446 0.0079 0.00897376503153239 "NGC 2811" SB(rs)a normal CSP "" "" SN2005AM sn2005am 10
sn2005be 224.88633333333328 16.66988888888889 0.035 0.03559988998533513 J14593310+1640070 cdots normal CSP "" "" SN2005BE sn2005be 10
sn2005bg 184.3215833333333 16.371555555555556 0.0231 0.02418870429813146 "MCG +03-31-93" Sab normal CSP "" "" SN2005BG sn2005bg 10
sn2005bl 181.0510833333333 20.406888888888886 0.0241 0.02516910786856158 "NGC 4059" E 91bg-like CSP "" "" SN2005BL sn2005bl 10
sn2005bo 192.4209583333333 -11.096472222222223 0.0139 0.015026595877144784 "NGC 4708" "SA(r)ab pec?" normal CSP "" "" SN2005BO sn2005bo 10
sn2005el 77.95299999999999 5.194277777777778 0.0149 0.014885122238654905 "NGC 1819" SB0 normal CSP "" "" SN2005EL sn2005el 10
sn2005eq 47.205458333333326 -7.03325 0.029 0.0283940735527361 "MCG -01-09-006" SB(rs)cd? 91T-like CSP "" "" SN2005EQ sn2005eq 10
sn2005gj 45.299791666666664 -0.5538611111111111 0.0616 0.06093766708114979 "SDSS J030111.99-003313.5" cdots Ia-CSM CSP "" "" SN2005GJ sn2005gj 10
sn2005hc 29.199749999999998 -0.21372222222222223 0.0459 0.04497617290851688 "MCG +00-06-003" cdots normal CSP "" "" SN2005HC sn2005hc 10
sn2005hj 21.701124999999998 -1.238 0.0574 0.05638143632563181 "SDSS J012648.45-011417.3" cdots normal CSP "" "" SN2005HJ sn2005hj 10
sn2005hk 6.961958333333333 -1.238 0.013 0.011841752677430442 "UGC 272" SAB(s)d? Iax CSP "" "" SN2005HK sn2005hk 10
sn2005iq 359.63541666666663 -18.709166666666665 0.034 0.03290868276022754 "MCG -03-01-008" Sa normal CSP "" "" SN2005IQ sn2005iq 10
sn2005ir 19.18233333333333 0.7945555555555556 0.0763 0.07524700608721922 "SDSS J011643.87+004736.9" cdots ... CSP "" "" SN2005IR sn2005ir 10
sn2005kc 338.5305833333333 5.568416666666667 0.0151 0.013879555023282402 "NGC 7311" Sab normal CSP "" "" SN2005KC sn2005kc 10
sn2005ke 53.768125 -24.944111111111113 0.0049 0.004506118448268209 "NGC 1371" (R')SAB(r'l)a 91bg-like CSP "" "" SN2005KE sn2005ke 10
sn2005ki 160.1175833333333 9.202333333333332 0.0192 0.02037698247427925 "NGC 3332" (R)SA0 normal CSP "" "" SN2005KI sn2005ki 10
sn2005ku 344.9275416666666 0.013694444444444443 0.0454 0.044173400336744134 "2MASX J2259426500" cdots normal CSP "" "" SN2005KU sn2005ku 10
sn2005lu 39.01545833333333 -17.26388888888889 0.032 0.03130651214209377 "ESO 545-G038" S.../Irr? normal CSP "" "" SN2005LU sn2005lu 10
sn2005mc 126.77649999999997 21.646 0.0252 0.026003086110056715 "UGC 04414" S0a normal CSP "" "" SN2005MC sn2005mc 10
sn2005na 105.40258333333331 14.13325 0.0263 0.026811263883367305 "UGC 3634" SB(r)a normal CSP "" "" SN2005NA sn2005na 10
sn2006D 193.14141666666663 -9.775222222222222 0.0085 0.009621478759745951 "MCG -01-33-34" "SAB(s)ab pec? HII" normal CSP "" "" SN2006D sn2006D 10
