Name MJD Filter Mag MagErr Survey Name_upper Name_alt Type Instrument
SN2004dt 53249.29 u 16.665 0.017 CSP SN2004DT SN2004dt "" ""
SN2004dt 53250.31 u 16.804 0.012 CSP SN2004DT SN2004dt "" ""
SN2004dt 53251.33 u 16.912 0.012 CSP SN2004DT SN2004dt "" ""
SN2004dt 53252.36 u 17.069 0.014 CSP SN2004DT SN2004dt "" ""
SN2004dt 53253.28 u 17.158 0.012 CSP SN2004DT SN2004dt "" ""
SN2004dt 53256.25 u 17.637 0.01 CSP SN2004DT SN2004dt "" ""
SN2004dt 53257.23 u 17.787 0.013 CSP SN2004DT SN2004dt "" ""
SN2004dt 53258.26 u 17.929 0.012 CSP SN2004DT SN2004dt "" ""
SN2004dt 53259.28 u 18.06 0.013 CSP SN2004DT SN2004dt "" ""
SN2004dt 53260.3 u 18.215 0.012 CSP SN2004DT SN2004dt "" ""
SN2004dt 53261.21 u 18.349 0.014 CSP SN2004DT SN2004dt "" ""
SN2004dt 53262.2 u 18.461 0.014 CSP SN2004DT SN2004dt "" ""
SN2004dt 53263.26 u 18.611 0.017 CSP SN2004DT SN2004dt "" ""
SN2004dt 53264.25 u 18.736 0.02 CSP SN2004DT SN2004dt "" ""
SN2004dt 53265.29 u 18.807 0.015 CSP SN2004DT SN2004dt "" ""
SN2004dt 53266.23 u 18.848 0.016 CSP SN2004DT SN2004dt "" ""
SN2004dt 53267.24 u 18.943 0.023 CSP SN2004DT SN2004dt "" ""
SN2004dt 53268.24 u 19.027 0.019 CSP SN2004DT SN2004dt "" ""
SN2004dt 53271.29 u 19.138 0.024 CSP SN2004DT SN2004dt "" ""
SN2004dt 53272.28 u 19.139 0.023 CSP SN2004DT SN2004dt "" ""
SN2004dt 53273.29 u 19.155 0.032 CSP SN2004DT SN2004dt "" ""
SN2004dt 53274.21 u 19.181 0.039 CSP SN2004DT SN2004dt "" ""
SN2004dt 53275.24 u 19.325 0.063 CSP SN2004DT SN2004dt "" ""
SN2004dt 53276.24 u 19.101 0.057 CSP SN2004DT SN2004dt "" ""
SN2004dt 53277.19 u 19.352 0.098 CSP SN2004DT SN2004dt "" ""
SN2004dt 53279.2 u 19.274 0.044 CSP SN2004DT SN2004dt "" ""
SN2004dt 53280.21 u 19.318 0.031 CSP SN2004DT SN2004dt "" ""
SN2004dt 53281.22 u 19.311 0.028 CSP SN2004DT SN2004dt "" ""
SN2004dt 53282.19 u 19.409 0.026 CSP SN2004DT SN2004dt "" ""
SN2004dt 53287.19 u 19.459 0.022 CSP SN2004DT SN2004dt "" ""
SN2004dt 53289.27 u 19.465 0.02 CSP SN2004DT SN2004dt "" ""
SN2004dt 53291.19 u 19.481 0.022 CSP SN2004DT SN2004dt "" ""
SN2004dt 53293.23 u 19.544 0.034 CSP SN2004DT SN2004dt "" ""
SN2004dt 53294.29 u 19.587 0.028 CSP SN2004DT SN2004dt "" ""
SN2004dt 53295.25 u 19.555 0.027 CSP SN2004DT SN2004dt "" ""
SN2004dt 53299.19 u 19.678 0.029 CSP SN2004DT SN2004dt "" ""
