#SN name, redshift, host name, separation, SN ra, SN dec, host ra, host dec
1996bo,0.017285,NGC0673,2.33013214759,27.09526,11.52087,27.0935,11.52131
1996bl,0.036,[P96]J003618.17+112334.7,4.98791934842,9.07488,11.39458,9.07571,11.39297
1996bk,0.006665,NGC5308,2.87769251322,206.74158,60.97025,206.75178,60.97317
1996bv,0.016672,UGC03432,2.17576342647,94.05417,57.05247,94.05679,57.0515
1996bt,0.008923,CGCG085-009,0.349261351464,102.99167,16.29528,102.99208,16.29494
2012dn,0.010187,ESO462-G016,7.63402895107,305.90108,-28.27872,305.91233,-28.27783
2003gj,0.034647,NGC7017W,12.0146940371,316.82992,-25.48989,316.83421,-25.48756
1996by,0.013723,UGC03379,8.45518958148,89.60292,68.45294,89.60575,68.46103
2008fr,0.049,SDSSJ011149.19+143826.5,1.04331058145,17.95475,14.64083,17.955,14.6407
2008fp,0.005664,ESO428-G014,2.17379571007,109.13583,-29.32547,109.13003,-29.32472
2004p,0.02375,UGC08561,3.94449118134,203.74067,34.04269,203.73864,34.04408
2004w,0.003703,NGC4649,7.23698356857,190.90217,11.53078,190.91656,11.55271
2004y,0.0684,MAPS-NGPO_376_3222999,5.44394033996,175.86775,21.67508,175.86758,21.67408
2004b,0.015808,IC0390,6.49008742517,70.51963,-7.20228,70.51613,-7.20645
2007gi,0.00462,NGC4036,2.50352758424,180.34758,61.89272,180.36147,61.89578
2008fg,0.010884,NGC1268,5.71576108664,49.68375,41.48256,49.68817,41.48869
2004e,0.029834,PGC046239,12.4474673259,199.21417,31.58661,199.21317,31.58122
2008fj,0.027145,UGC10759,8.86626351036,258.20775,42.81439,258.20195,42.81486
2004j,0.025,ESO554-G033,4.99452576069,86.63408,-17.78139,86.63683,-17.78153
2004h,0.031679,IC0708,4.18092404217,173.49904,49.06292,173.49676,49.06206
2004l,0.032346,MCG+03-27-038,2.4185713258,156.76712,16.01869,156.76647,16.01794
1993aj,0.077602,[P94]120147.66-002627.7,22.6027840883,181.08811,-0.72057,181.09158,-0.71934
1993ai,0.034951,UGC03483,107.377915529,98.30642,51.34548,98.33014,51.38267
1993ae,0.019667,UGC01071,12.0434864387,22.4538,-1.97697,22.44942,-1.98375
1993ac,0.049,CGCG307-023,37.0565023512,86.59825,63.36861,86.60267,63.35906
1993ab,0.013926,NGC1164,6.40922084053,45.50618,42.58148,45.49938,42.58495
2006dy,0.007682,NGC5587,2.26543538597,215.54771,13.92061,215.54464,13.91806
2005ls,0.021118,CGCG539-121,3.25644596683,43.56654,42.72494,43.56896,42.72592
2005lu,0.032009,ESO545-G038,2.46097789294,39.01546,-17.26389,39.01512,-17.26294
2005lt,0.019927,CGCG097-068,10.3251928599,175.60921,20.11806,175.60206,20.1193
2006dt,0.026348,NGC5681,4.07450701769,218.92962,8.29883,218.92862,8.3006
2006di,0.019357,NGC0439,8.24051410374,18.44521,-31.74172,18.44692,-31.74714
2006do,0.028426,ESO470-G018,2.87734009804,353.01283,-27.7255,353.01425,-27.72592
2006dm,0.022019,MCG-01-60-021,4.84838330503,355.44933,-3.669,355.44704,-3.66722
2006da,0.041177,2MASXJ23274876+1428315,4.30766465371,351.95238,14.47417,351.95314,14.47531
2003eh,0.025465,MCG+01-29-003,4.34604954687,167.10142,3.49639,167.09983,3.49797
2003ek,0.036038,FGC2126,5.35541077772,259.63542,41.66689,259.63387,41.66844
1998bn,0.005977,NGC4462,4.20056720535,187.32867,-23.16367,187.33842,-23.16636
2006os,0.032809,UGC02384,8.20695869608,43.75421,16.00967,43.75238,16.01242
2006or,0.021013,NGC3891,4.29670178226,177.01446,30.35667,177.01398,30.35933
2006oq,0.021201,NGC3841,15.7617410573,176.00029,19.97731,176.00896,19.97189
1998dx,0.054224,UGC11149,27.9372751132,272.79954,49.86131,272.79071,49.86469
2006ou,0.013499,UGC06588,3.36906560469,174.30458,15.43536,174.30635,15.43253
2006ot,0.0531,ESO544-G031,7.40438972328,33.77017,-20.76617,33.76917,-20.7677
2003ez,0.047973,CGCG015-005,5.68991402033,190.79946,-2.50114,190.80097,-2.50088
2004az,0.028817,UGC06853,41.6906574854,178.20092,29.34769,178.19729,29.32902
2003ep,0.015704,NGC7053,1.25860578481,320.28058,23.08494,320.28172,23.08479
2006ob,0.059239,UGC01333,7.91161255291,27.95046,0.26342,27.95212,0.26383
2006oa,0.06,SDSSJ212342.94-005036.5,0.0,320.92892,-0.84347,320.92892,-0.84347
1998bu,0.002992,NGC3368,3.45561765114,161.69179,11.83531,161.69058,11.81994
2001cp,0.022402,UGC10738,29.5679194628,257.76104,5.84106,257.77438,5.85225
1998cl,0.030451,MRK0261,3.20746072982,202.49917,75.56917,202.50458,75.56889
2008bw,0.033126,UGC11241,5.27669618544,276.71025,51.13794,276.70758,51.13917
2001cg,0.023733,IC3900,2.93203707504,193.92029,27.25108,193.92208,27.25076
2001cj,0.024233,UGC08399,18.1320882717,200.43687,31.24683,200.43938,31.23724
2001ck,0.034717,UGC09425,10.4668542731,219.45867,30.48394,219.46196,30.48122
2004s,0.00936,MCG-05-16-021,8.00713798057,101.43125,-31.23125,101.4445,-31.23039
2002fk,0.007125,NGC1309,1.8809190387,50.52379,-15.40089,50.52733,-15.40006
1997e,0.013539,NGC2258,18.4116304717,101.90875,74.4975,101.94083,74.48167
1999aa,0.014443,NGC2595,9.09312026641,126.92512,21.48744,126.9251,21.47911
1999ac,0.0095,NGC6063,7.61711907868,241.81254,7.97233,241.80415,7.97899
2007ux,0.030915,2MASXJ10091969+1459268,4.48443676683,152.33325,14.99244,152.33205,14.99094
2006dw,0.027041,2MASXJ16174359+3457534,2.0502343621,244.43037,34.96531,244.43148,34.96491
1999aq,0.05,NGSS B093540.48-045523.2,0.0,144.54496,-5.14894,144.54496,-5.14894
1997y,0.015866,NGC4675,1.50925528977,191.38083,54.73806,191.38287,54.73762
2000dp,0.035168,NGC1139,27.041358126,43.18504,-14.53186,43.19505,-14.52932
2000dr,0.018796,IC1610,8.58633911298,15.4335,-15.56919,15.42742,-15.56778
2000dx,0.030381,UGC01775,9.12570672923,34.612,5.65056,34.60983,5.65384
2009ab,0.011171,UGC02998,8.48179615604,64.15162,2.76417,64.14292,2.75908
2000df,0.039207,CGCG051-070,8.33728721631,243.55092,6.15017,243.54828,6.15103
2009aa,0.027309,ESO570-G020,10.6147768761,170.92617,-22.27069,170.92067,-22.2705
2009ag,0.008639,ESO492-G002,13.0189295945,107.92004,-26.68508,107.9185,-26.70506
2009ad,0.0284,UGC03236,5.75973097971,75.88908,6.65992,75.88837,6.65736
2000dm,0.01507,UGC11198,1.87084566582,274.74571,16.24817,274.74662,16.24956
2000dn,0.032065,IC1468,20.3013106932,346.27442,-3.20028,346.28154,-3.2045
2009an,0.009233,NGC4332,5.24741351177,185.6975,65.85125,185.69483,65.84378
2000dk,0.017442,NGC0382,3.77795960527,16.848,32.40644,16.84946,32.40386
2000e,0.00475,NGC6951,2.98542841727,309.30737,66.09728,309.30871,66.10564
2000b,0.019827,NGC2320,9.36461882085,106.41971,50.58625,106.42512,50.58106
2000a,0.029527,MCG+01-59-081,2.74237415399,351.99542,8.78392,351.99492,8.78281
2007ki,0.016538,CGCG146-023,1.95729899336,106.50375,28.29594,106.50538,28.29656
2007kd,0.024177,MCG+06-21-036,6.17809195686,141.49171,34.63314,141.49074,34.62988
2000k,0.054685,MCG+09-19-191,20.12281332,176.95867,56.01703,176.95054,56.01833
2000j,0.047926,UGC08510,32.0799149297,202.81767,29.37564,202.82269,29.36819
2000q,0.02,LOSSJ160511.09+693949.9,2.12898257463,241.29937,69.66431,241.29575,69.66369
2003ay,0.073,NEATJ040726.40+280748.4,11.6598316617,61.85938,28.13206,61.86,28.13011
2001az,0.040695,UGC10483,3.5698253541,248.61546,76.02967,248.62017,76.02972
1995bd,0.0146,UGC03151,7.24119629103,71.3385,11.06736,71.33183,11.06781
2005ku,0.045439,2MASXJ22594265-0000478,0.928430757856,344.92754,-0.01369,344.92777,-0.01356
2007gk,0.026632,MCG+11-20-027,15.7786235677,251.32592,67.93056,251.3185,67.93781
2006ay,0.014834,NGC6027,25.0058874916,239.80317,20.74108,239.80224,20.76336
2006ax,0.016739,NGC3663,19.3794369072,171.01442,-12.29144,170.99963,-12.29644
2006az,0.030935,NGC4172,4.50055549427,183.06117,56.17939,183.06203,56.17755
2005kc,0.01512,NGC7311,3.4225824746,338.53058,5.56842,338.52796,5.56989
2005ke,0.00488,NGC1371,5.75984927999,53.76812,-24.94411,53.75559,-24.93323
2006ac,0.023106,NGC4619,10.4864533342,190.43692,35.06864,190.43562,35.06277
2006al,0.067849,SDSSJ103928.53+051101.2,6.13530949516,159.86775,5.18342,159.86888,5.18366
2006ak,0.0381,2MASXJ11093314+2837393,9.07923833963,167.38679,28.63064,167.38809,28.62776
2006hn,0.017199,UGC06154,2.90757651383,166.82779,76.69717,166.82737,76.69494
2013cg,0.007952,NGC2891,0.334795069204,141.73654,-24.78322,141.73596,-24.78303
2006hb,0.015344,MCG-04-12-034,6.39067548685,75.50533,-21.13197,75.50281,-21.13695
2006ha,0.030654,IC1461,2.48629277522,344.64292,15.17383,344.6429,15.17277
2004k,0.036132,ESO579-G022,14.7991745134,215.91604,-19.44722,215.92049,-19.44393
2006hx,0.045494,SDSSJ011357.18+002217.0,2.09372643837,18.48879,0.37167,18.48825,0.37142
2007le,0.006721,NGC7721,2.43579635978,354.70171,-6.52258,354.70271,-6.51786
2008bq,0.034007,ESO308-G025,9.18333635583,100.26046,-38.03861,100.26292,-38.03567
2004dt,0.01973,NGC0799,5.22512726156,30.55321,-0.09764,30.55141,-0.10063
2003lq,0.024253,UGC00005,12.7893825845,0.76675,-1.91264,0.77358,-1.91381
2004da,0.015881,NGC6901,1.64285122506,305.5885,6.43064,305.58963,6.42986
2004db,0.011138,NGC7377,30.1929415456,341.98283,-22.32792,341.94792,-22.31211
2004di,0.019887,UGC10097,10.9106356584,238.92092,47.86364,238.93023,47.86728
2003lc,0.035004,UGC00934,25.4515497482,20.85758,30.78747,20.86804,30.78447
2003lb,0.018096,UGC02850,3.60835339774,56.27363,20.76092,56.27096,20.76175
2003ax,0.054,2MASXJ08083589+0746399,6.69002034494,122.14804,7.77839,122.14952,7.77777
2002kf,0.0193,CGCG233-023,7.02256936731,99.31379,49.85283,99.31968,49.8499
2002do,0.015881,MCG+07-41-001,2.83697446201,299.05367,40.43633,299.05358,40.43397
2003au,0.030835,NGC6095,5.06892954192,242.79817,61.26617,242.79573,61.26797
1999gm,0.042276,NPM1G-08.0254,10.8290949434,128.79888,-8.38761,128.79554,-8.38729
2003ar,0.025214,NGC6071,4.22889754851,240.53379,70.41542,240.52928,70.41702
2003an,0.037039,MCG+05-32-022,3.01309897678,201.97313,28.50811,201.97193,28.5082
2003ah,0.03,LOTOSSJ044309.01+004553.4,6.34222559829,70.78558,0.76678,70.78754,0.76483
2003ai,0.036177,IC4062,5.92911611554,195.2445,39.85681,195.24434,39.85894
2003ae,0.032857,2MASXJ09282257+2726402,0.102587242854,142.09408,27.44464,142.09412,27.44466
2003af,0.020539,2MASXJ11102130+2324533,2.36022100746,167.59037,23.41414,167.58897,23.41494
2003ag,0.022834,UGC06440,5.84959260068,171.50758,1.98411,171.50421,1.98414
1999fz,0.022139,UGC08164,2.8958829433,195.56808,78.5415,195.57627,78.54206
2002dk,0.018533,NGC6616,19.013019119,274.43133,22.24817,274.42117,22.23844
2002di,0.036392,MCG+05-40-002,6.27707353409,253.09708,30.71111,253.09447,30.71104
2009dc,0.021391,UGC10064,11.8631198226,237.8005,25.70778,237.80533,25.70192
2005de,0.015184,UGC11097,14.9758618557,270.59733,26.05214,270.60363,26.04039
1995l,0.024424,NGC5157,9.87069795302,201.82642,32.03131,201.8202,32.03071
2008hr,0.075804,2MASXJ09185174+1857294,22.0619157098,139.71842,18.95578,139.71559,18.95831
2008hs,0.017369,NGC0910,27.3223351613,36.37342,41.84308,36.36158,41.82428
2008hu,0.049698,ESO561-G018,43.2656283267,122.3115,-18.65364,122.31317,-18.66475
2008hv,0.012549,NGC2765,10.1914963168,136.89192,3.39225,136.90268,3.3929
2002bt,0.0599,UGC08584NED02,17.42237215,204.055,-1.03883,204.05866,-1.03815
2008hy,0.008459,IC0334,18.0444034052,56.28521,76.66542,56.32117,76.63831
2002bw,0.017335,PGC059990,2.95699735108,259.14833,-10.34217,259.14913,-10.34428
1993z,0.004503,NGC2775,3.49541051437,137.58165,7.02782,137.58383,7.03794
2002br,0.034056,MCG+03-27-061,4.39135535852,158.53717,19.70569,158.53615,19.70431
2002bs,0.009637,IC4221,0.15376566727,199.62625,-14.60883,199.62646,-14.60889
2008ha,0.004647,UGC12682,1.1469592063,353.71954,18.2265,353.72292,18.22722
1993c,0.012745,NGC2954,13.3523062444,145.09921,14.93648,145.10029,14.92264
