SN,tmaxB,e_tmaxB,Bmax,e_Bmax,dm15B,e_dm15B,tmaxV,e_tmaxV,Vmax,e_Vmax,dm15V,e_dm15V,BV,e_BV
2005hk,53684.32,0.29,15.850,0.022,1.580,0.053,53688.11,0.56,15.703,0.018,0.799,0.039,0.069,0.029
2005ki,53704.67,0.40,15.572,0.042,1.275,0.080,53705.97,0.56,15.534,0.043,0.826,0.067,0.021,0.060
2007F,54122.32,0.45,15.975,0.016,0.864,0.085,54124.03,0.54,15.928,0.011,0.550,0.069,0.029,0.020
2007bd,54210.22,1.87,16.680,0.051,1.451,0.248,54212.58,1.74,16.552,0.074,0.891,0.177,0.095,0.090
2007bm,54224.46,0.50,14.548,0.022,1.232,0.057,54225.66,0.39,14.057,0.011,0.690,0.025,0.481,0.025
2007fb,54287.92,0.62,15.792,0.021,1.332,0.093,54288.90,0.65,15.668,0.024,0.726,0.049,0.119,0.032
2007kk,54382.76,1.41,16.953,0.024,0.954,0.169,54385.52,0.98,16.993,0.017,0.559,0.063,-0.064,0.030
2008ds,54651.90,0.24,15.263,0.009,0.957,0.030,54652.49,0.25,15.303,0.004,0.617,0.019,-0.042,0.010
2008eo,54688.14,0.81,15.311,0.020,1.026,0.070,54689.74,0.30,15.220,0.006,0.675,0.016,0.074,0.021
2008eq,54689.54,0.93,18.222,0.027,1.029,0.148,54691.77,1.22,18.141,0.029,0.576,0.092,0.064,0.040
2008gg,54749.80,1.50,16.677,0.033,0.983,0.181,54752.39,1.20,16.523,0.029,0.570,0.130,0.130,0.044
2008gl,54767.98,0.83,16.882,0.043,1.394,0.158,54769.51,1.32,16.870,0.039,0.704,0.101,0.005,0.058
2008gp,54779.28,0.85,16.484,0.037,1.136,0.135,54780.97,1.16,16.610,0.038,0.631,0.108,-0.136,0.053
2008hs,54812.80,0.52,15.932,0.106,1.991,0.160,54814.38,0.54,15.769,0.123,1.228,0.161,0.129,0.162
2009dc,54946.34,0.80,15.148,0.014,0.713,0.060,54946.85,0.85,15.166,0.015,0.294,0.035,-0.020,0.021
2009eu,54984.59,0.50,17.690,0.054,1.816,0.132,54986.86,0.68,17.464,0.041,1.006,0.091,0.179,0.068
2009fv,54994.47,0.40,16.887,0.024,1.670,0.090,54998.15,1.33,16.775,0.022,0.767,0.123,0.069,0.032
2009hs,55048.55,0.34,17.376,0.041,2.090,0.109,55051.00,0.32,17.170,0.030,1.186,0.058,0.136,0.051
2009ig,55079.70,1.11,13.560,0.032,0.850,0.124,55082.78,0.44,13.427,0.013,0.682,0.023,0.095,0.034
2009kq,55155.05,0.39,14.591,0.014,1.091,0.067,55156.49,0.24,14.540,0.010,0.658,0.023,0.037,0.017
2010ao,55289.32,0.57,15.857,0.037,1.329,0.094,55290.55,0.59,15.921,0.024,0.693,0.053,-0.073,0.045
2010ii,55480.46,0.21,16.207,0.011,1.034,0.317,55481.61,0.47,16.248,0.012,0.769,0.241,-0.052,0.016
2010ju,55525.65,1.04,16.136,0.073,1.315,0.106,55526.39,1.01,15.628,0.056,0.715,0.053,0.505,0.092
2011M,55593.45,0.26,15.225,0.014,1.136,0.050,55595.27,0.32,15.228,0.013,0.649,0.050,-0.023,0.019
2011by,55690.56,0.68,12.906,0.018,1.085,0.095,55692.59,0.62,12.874,0.015,0.695,0.052,0.014,0.024
2011ek,55789.58,0.85,14.504,0.123,1.272,0.190,55790.80,0.67,13.715,0.061,0.795,0.092,0.775,0.137
2011fs,55832.32,0.69,15.357,0.009,0.808,0.071,55835.04,0.57,15.313,0.008,0.565,0.035,0.018,0.012
