Name UT_Date RA DEC z E(B-V) SN_Type num_spec f_epoch l_epoch ref
SN 2008hm 2008−11−25 51.7954 46.9443 0.0197 0.381 Ia 1 26.5 ... 2
SN 2008hv 2008−12−02 136.8920 3.3923 0.0125 0.027 Ia-norm 1 14.3 ... 2
SN 2008hy 2008−12−06 56.2852 76.6654 0.0085 0.203 Ia 1 32.9 ... 2
SN 2009D 2009−01−02 58.5951 −19.1817 0.0250 0.046 Ia-norm 1 −5.6 ... 1
SN 2009Y 2009−02−01 220.5990 −17.2468 0.0094 0.087 Ia-norm 3 5.7 62.9 2
SN 2009V 2009−02−02 153.2030 43.1832 0.0930†(c) 0.012 Ia-norm 1 ... ... ...
SN 2009ae 2009−02−15 249.8700 21.3154 0.0311 0.049 Ia-norm 1 ... ... ...
SN 2009an 2009−02−27 185.6980 65.8512 0.0092 0.016 Ia-norm 2 21.1 40.7 2
SN 2009bp 2009−03−17 211.9570 36.6436 ... 0.004 Ia 1 ... ... ...
SN 2009bs 2009−03−21 201.7340 52.7549 0.0298 0.011 Ia-91bg 2 ... ... ...
SN 2009bv 2009−03−27 196.8350 35.7844 0.0367 0.008 Ia-norm 1 12.5 ... 2
SN 2009cz 2009−04−06 138.7500 29.7353 0.0211 0.022 Ia 1 −3.0 ... 4
SN 2009dc 2009−04−09 237.8010 25.7078 0.0214 0.060 Ia-norm 8 −5.7 109.5 1
SN 2009do 2009−04−22 188.7430 50.8512 0.0397 0.013 Ia-norm 1 23.4 ... 2
SN 2009ds 2009−04−28 177.2670 −9.7291 0.0193 0.033 Ia-norm 1 8.6 ... 2
SN 2009en 2009−05−08 221.5940 13.0242 0.0467 0.020 Ia-norm 2 ... ... ...
SN 2009ep 2009−05−11 208.0440 2.3242 0.0237 0.025 Ia-norm 2 ... ... ...
SN 2009eq 2009−05−11 280.0350 40.1268 0.0236 0.053 Ia* 3 ... ... ...
SN 2009ew 2009−05−16 249.7490 17.9828 ... 0.062 Ia-norm 2 ... ... ...
SN 2009eu 2009−05−21 247.1710 39.5535 0.0304 0.010 Ia-norm 1 −4.8 ... 1
SN 2009ft 2009−05−23 216.0250 7.7695 0.0568 0.021 Ia-norm 1 ... ... ...
SN 2009fx 2009−05−29 253.2970 23.9653 0.0477 0.049 Ia-norm 1 ... ... ...
SN 2009fl 2009−05−30 246.2920 40.8891 0.0294 0.007 Ia-norm 2 ... ... ...
SN 2009fu 2009−06−01 33.0375 44.5653 0.0171 0.076 Ia-norm 1 ... ... ...
SN 2009fy 2009−06−01 351.0210 16.6641 0.0410 0.028 Ia-norm 2 ... ... ...
SN 2009fv 2009−06−02 247.4340 40.8116 0.0293 0.005 Ia-norm 3 3.8 16.4 1
SN 2009gq 2009−06−02 333.7200 17.5131 0.0670†(c) 0.037 Ia-norm 1 ... ... ...
SN 2009fw 2009−06−06 308.0770 −19.7332 0.0282 0.050 Ia-norm 4 5.3 17.9 2
SN 2009gf 2009−06−15 213.9050 14.2802 0.0185 0.022 Ia-norm 3 ... ... ...
SN 2009gs 2009−06−15 319.7060 −5.9530 ... 0.102 Ia-norm 3 ... ... ...
SN 2009he 2009−07−03 245.5510 57.2729 0.0306 0.008 Ia-91bg 1 ... ... ...
SN 2009hi 2009−07−10 350.9840 16.7749 0.0411 0.026 Ia-norm 3 ... ... ...
SN 2009hk 2009−07−11 309.6560 −25.1156 0.0180†(c) 0.038 Ia 1 ... ... ...
SN 2009hl 2009−07−11 262.7920 36.4278 0.0494†(d) 0.030 Ia-norm 2 ... ... ...
SN 2009hn 2009−07−24 38.0013 1.2482 0.0220 0.021 Ia-norm 1 ... ... ...
SN 2009ho 2009−07−25 37.1389 37.9511 ... 0.049 Ia 1 ... ... ...
SN 2009hp 2009−07−26 44.5998 6.5931 0.0211 0.198 Ia-norm 1 ... ... ...
SN 2009hs 2009−07−28 268.9620 62.5998 0.0275 0.035 Ia 1 8.6 ... 1
SN 2009hr 2009−07−29 10.1422 3.5414 0.0170†(c) 0.022 Ia-norm 1 ... ... ...
PTF 09dlc 2009−08−17 326.6250 6.4192 0.0672†(p) 0.047 Ia-norm 2 −2.3 18.2 5
SN 2009jb 2009−08−17 260.9240 30.4971 0.0237†(p) 0.037 Ia-norm 3 ... ... ...
PTF 09dnp 2009−08−18 229.8520 49.4990 0.0376†(p) 0.016 Ia-norm 2 ... ... ...
SN 2009ig 2009−08−20 39.5484 −1.3125 0.0088 0.028 Ia-norm 16 −13.8 160.3 1
SN 2009ih 2009−08−21 238.8790 41.9483 0.0329 0.015 Ia-91bg 1 ... ... ...
SN 2009ix 2009−09−08 49.4709 40.9589 ... 0.128 Ia-norm 2 ... ... ...
SN 2009jg 2009−09−22 265.1430 18.7137 ... 0.062 Ia-norm 1 ... ... ...
SN 2009jr 2009−10−08 306.6080 2.9092 0.0165 0.116 Ia-99aa 2 −3.6 5.3 2
SN 2009jp 2009−10−09 349.4280 13.9569 0.0550†(c) 0.040 Ia-norm 1 ... ... ...
SN 2009kk 2009−10−15 57.4345 −3.2644 0.0129 0.118 Ia-norm 2 −0.4 19.4 2
SN 2009ko 2009−10−28 120.4930 15.0596 0.0162 0.028 Ia-norm 2 ... ... ...
SN 2009kq 2009−11−05 129.0630 28.0671 0.0117 0.035 Ia-norm 4 −9.2 28.4 1
SN 2009lg 2009−11−10 354.7080 28.2651 0.0580 0.165 Ia-norm 1 ... ... ...
SN 2009le 2009−11−16 32.3214 −23.4124 0.0178 0.014 Ia-norm 1 17.5 ... 2
SN 2009li 2009−11−16 5.7142 6.9699 0.0404 0.023 Ia-norm 1 ... ... ...
SN 2009lv 2009−11−19 4.1107 22.4361 ... 0.059 Ia-norm 2 ... ... ...
SN 2009lu 2009−11−20 163.5870 −4.3442 0.0215 0.026 Ia-norm 1 ... ... ...
SN 2009lr 2009−11−23 348.5600 −2.7533 ... 0.041 Ia 2 ... ... ...
SN 2009me 2009−12−03 182.4160 43.6750 ... 0.012 Ia-norm 2 ... ... ...
SN 2009mj 2009−12−10 103.3010 44.0713 0.0196 0.092 Iax 1 ... ... ...
SN 2009mh 2009−12−12 175.9830 10.7820 0.0197 0.038 Ia 1 ... ... ...
SN 2009mv 2009−12−16 108.9160 35.2412 ... 0.053 Ia-norm 1 ... ... ...
SN 2009nr 2009−12−22 197.7460 11.4915 0.0112 0.022 Ia-norm 3 11.6 129.3 6
SN 2009mz 2009−12−26 210.8530 −6.0587 0.0086 0.024 Ia-norm 2 ... ... ...
SN 2009na 2009−12−26 161.7560 26.5439 0.0210 0.028 Ia-norm 3 3.0 39.4 2
SN 2009nq 2009−12−28 348.8210 19.0229 0.0158 0.125 Ia-norm 1 ... ... ...
SN 2009nk 2009−12−29 212.7450 6.3633 0.0196 0.023 Ia-norm 2 ... ... ...
SN 2010A 2010−01−04 38.1644 0.6195 0.0207 0.025 Ia-99aa 1 ... ... ...
SN 2010B 2010−01−07 208.5370 60.6804 0.0102 0.011 Ia-norm 4 ... ... ...
SN 2010N 2010−01−12 197.2720 17.0729 0.0210†(c) 0.019 Ia-norm 2 ... ... ...
SN 2010H 2010−01−16 121.6020 1.0359 0.0154 0.026 Ia-norm 3 ... ... ...
SN 2010V 2010−02−04 217.1600 30.6360 0.0129†(d) 0.019 Ia-norm 3 ... ... ...
SN 2010Y 2010−02−08 162.7660 65.7797 0.0109 0.011 Ia-norm 4 −6.4 22.3 2
SN 2010p1 2010−02−12 160.6750 58.8438 0.0313 0.007 Ia-norm 2 ... ... ...
SN 2010ag 2010−03−05 255.9730 31.5017 0.0337 0.026 Ia 3 0.3 58.3 2
SN 2010ai 2010−03−08 194.8500 27.9964 0.0193†(d) 0.008 Ia-norm 1 −6.4 ... 2
SN 2010an 2010−03−11 244.4190 35.0028 0.0295 0.020 Ia-norm 3 ... ... ...
SN 2010au 2010−03−15 138.1520 34.8547 0.0615 0.018 Ia-norm 2 ... ... ...
SN 2010ax 2010−03−15 220.4730 10.7504 0.0508 0.024 Ia-norm 1 ... ... ...
SN 2010ao 2010−03−18 205.9210 3.9000 0.0228 0.023 Ia-norm 1 −11.1 ... 1
SN 2010at 2010−03−19 181.2480 76.1312 0.0418 0.073 Ia 1 ... ... ...
SN 2010ba 2010−03−21 179.5860 15.3363 ... 0.037 Ia-norm 3 ... ... ...
SN 2010bn 2010−04−05 176.2320 −5.0789 0.0530†(c) 0.019 Ia-norm 1 ... ... ...
SN 2010bu 2010−04−09 235.7430 2.2813 0.0390†(c) 0.064 Ia-norm 2 ... ... ...
SN 2010cp 2010−05−09 195.1080 −15.2889 0.0164 0.049 Ia-91bg 1 ... ... ...
SN 2010cs 2010−05−12 221.9820 19.0549 0.0419 0.029 Ia-norm 1 ... ... ...
SN 2010cr 2010−05−15 202.3540 11.7962 0.0216 0.030 Ia-norm 2 8.2 15.0 2
SN 2010dl 2010−05−24 323.7540 −0.5133 0.0300 0.033 Ia-norm 1 18.1 ... 2
SN 2010eb 2010−06−12 20.4074 5.2944 0.0076 0.026 Ia-norm 1 ... ... ...
SN 2010gj 2010−07−10 327.7260 −17.7693 0.0370†(c) 0.047 Ia 1 ... ... ...
SN 2010gl 2010−07−18 247.9110 59.6239 0.0188 0.013 Ia-norm 2 ... ... ...
SN 2010gv 2010−08−09 269.5940 50.7928 ... 0.040 Ia 1 ... ... ...
SN 2010gz 2010−08−16 23.2128 −12.1893 0.0184 0.021 Ia-norm 1 ... ... ...
