Download  Object Name SN Type SNID Match  Filename  Observation Date  Phase (Peak | Discovery)  Instrument  Wavelength Range  S/N Ratio Observer | Reducer  Reference
SN 1989A	Ia	Ia,Ia-norm	sn1989a-19890427-o1i1.flm	19890427.0	None | 98	UV Schmidt	3450.0 - 9000.0	10.7128	Alex Filippenko, Joe Shields | Thomas Matheson	2012MNRAS.425.1789S
SN 1989B	Ia	Ia,Ia-norm	sn1989b-19890710-o.flm	19890710.0	152.6 | 161	UV Schmidt	3900.0 - 6226.0	12.3487	Alex Filippenko, Joe Shields, Richmond | Thomas Matheson	1994AJ....108.2233W
SN 1989B	Ia	Ia,Ia-norm	sn1989b-19890215.flm	19890215.0	8.0 | 16	None	3450.0 - 8450.0	55.3905	None | None	1994AJ....108.2233W
SN 1989B	Ia	Ia,Ia-norm	sn1989b-19890221.flm	19890221.0	14.0 | 22	None	3450.0 - 7000.0	11.1356	None | None	1994AJ....108.2233W
SN 1989B	Ia	Ia,Ia-99aa,Ia-norm	sn1989b-19890427-o1i1.flm	19890427.0	78.8 | 87	UV Schmidt	3300.0 - 9050.0	37.3429	Alex Filippenko, Joe Shields | Thomas Matheson	1994AJ....108.2233W
SN 1989B	Ia	NoMatch,NoMatch	sn1989b-19890201.480-iue.flm	19890201.48	-6.0 | 2	None	1226.2 - 3347.6	5.49243	None | None	2008ApJ...686..117F
SN 1989M	Ia	Ib,Ib-norm	sn1989m-19900501-opt.flm	19900501.0	None | 307	UV Schmidt	3930.0 - 6980.0	2.18962	Alex Filippenko, Joe Shields | Thomas Matheson	2012MNRAS.425.1789S
SN 1989M	Ia	Ia,Ia-norm	sn1989m-19890710-oi1i2.flm	19890710.0	None | 12	UV Schmidt	3400.0 - 10200.0	85.387	Alex Filippenko, Joe Shields, Richmond | Thomas Matheson	2012MNRAS.425.1789S
SN 1989M	Ia	Ia,Ia-norm,Ia-pec	sn1989m-19891201-oi.flm	19891201.0	None | 156	UV Schmidt	4150.0 - 9500.0	22.4028	Alex Filippenko, Joe Shields | Thomas Matheson	2012MNRAS.425.1789S
SN 1989M	Ia	Ia,Ia-norm	sn1989m-19890709-oi1i2.flm	19890709.0	None | 11	UV Schmidt	3080.0 - 10300.0	68.6166	Alex Filippenko, Joe Shields, Richmond | Thomas Matheson	2012MNRAS.425.1789S
SN 1989M	Ia	NoMatch,NoMatch	sn1989m-19890706.988-iue.flm	19890706.988	None | 8	None	1981.65 - 3347.6	5.99572	None | None	2008ApJ...686..117F
SN 1989M	Ia	NoMatch,NoMatch	sn1989m-19890708.569-iue.flm	19890708.569	None | 10	None	1960.35 - 3323.64	8.01406	None | None	2008ApJ...686..117F
SN 1989M	Ia	NoMatch,NoMatch	sn1989m-19890712.735-iue.flm	19890712.735	None | 14	None	2034.91 - 3336.95	3.80603	None | None	2008ApJ...686..117F
SN 1989M	Ia	NoMatch,NoMatch	sn1989m-19890714.058-iue.flm	19890714.058	None | 16	None	2048.22 - 3307.66	5.38858	None | None	2008ApJ...686..117F
SN 1989M	Ia	NoMatch,NoMatch	sn1989m-19890717.730-iue.flm	19890717.73	None | 19	None	2013.6 - 3339.61	2.98708	None | None	2008ApJ...686..117F
SN 1989M	Ia	NoMatch,NoMatch	sn1989m-19890720.034-iue.flm	19890720.034	None | 22	None	2064.19 - 3235.77	2.21014	None | None	2008ApJ...686..117F
SN 1990G  Ia  Ia,Ia-norm  sn1990g-19900325-oi.flm 19900325.0  None | 6  UV Schmidt  3932.0 - 9800.0 21.5743 Alex Filippenko, Joe Shields | Thomas Matheson  2012MNRAS.425.1789S
