2018hzg 0.1519
2018bsn 0.0961
asassn15mc 0.1612
2012dv 0.1147
2009ih 0.0465
2009ig 0.0868
2009fw 0.155
2009fv 0.0155
2009fu 0.2356
2009ft 0.0651
psnj13471211−2422171 0.1984
2010hh 0.1023
2014ao 0.0961
2009fy 0.0868
2009fx 0.1519
2013dh 0.1023
2013di 0.124
2013dj 0.1953
2010hz 0.1457
2009fl 0.0217
lsq12fhe 0.1922
2011dn 0.4681
2009nr 0.0682
2009nq 0.3875
2009nk 0.0713
2017glx 0.3317
2017iji 0.0558
2012ea 0.1705
ptf12ild 0.1581
2009na 0.0868
2010ax 0.0744
2018hhn 0.1891
2013gy 0.155
asassn15ns 0.0341
2012e 0.1953
2010ii 0.2325
2010at 0.2263
2010au 0.0558
2009gf 0.0682
hunt276 0.0775
2017dwp 0.031
2017drh 0.3286
2013gh 0.0775
2010an 0.062
2010ao 0.0713
motj041227.87+342902.0 0.9672
2017fgc 0.0899
2010ag 0.0806
ps16ud 0.1953
2010h 0.0806
2013gq 0.1519
2010b 0.0341
2010a 0.0775
asassn14ar 0.0527
2013gs 0.0527
2010y 0.0341
2017igr 1.7701
asassn15rm 0.4557
2011by 0.0372
asassn15kx 0.4371
2017cfd 0.0589
2010p1 0.0217
psnj09100885+5003396 0.0527
2011jh 0.0992
2016bsa 0.8463
2011jr 0.1612
2011h 0.2263
2013dy 0.4092
2009hp 0.6138
2009hs 0.1085
2010iw 0.1457
2018pc 0.0372
2010gl 0.0403
2009hi 0.0806
2014ag 0.0341
asassn15db 0.0899
2009hn 0.0651
2011u 1.8383
2018pv 0.0558
asassn15lu 0.0434
2009he 0.0248
asassn15so 0.0403
2011ay 0.2232
ps15cut 0.1116
2011ao 0.0527
2011iv 0.031
2017hpa 0.4774
2009ae 0.1519
2009an 0.0496
2010dl 0.1023
2014dt 0.0589
2009mz 0.0744
2012z 0.1054
2011dm 1.6089
2010gz 0.0651
2014dl 0.1674
psnj03034759+0024146 0.2263
2016coj 0.0496
2009mj 0.2852
2015ac 0.1922
2009mh 0.1178
2013hs 0.1116
2009bs 0.0341
2009d 0.1426
2009bv 0.0248
2009jr 0.3596
hunt281 0.1395
2016cmn 0.1643
2010eb 0.0806
2013ct 0.0744
2018aoz 0.2232
asassn15qc 0.0682
2013q 0.2635
2015bd 0.1426
2009cz 0.0682
psnj02524671+4656470 0.527
2009ko 0.0868
2018gv 0.155
2009kk 0.3658
2012fr 0.0558
2009kq 0.1085
2018gl 0.1023
2018oh 0.1209
2012c1 0.1457
2011fk 0.1488
2011fe 0.0248
2014j 0.4216
2011fs 0.3131
2009do 0.0403
2017hou 0.3348
2013fw 0.2077
2009dc 0.186
2010ju 1.1191
2017erp 0.2883
2009ds 0.1023
2013fa 0.2666
2009lu 0.0806
2009y 0.2697
ptf12irf 0.062
2012cu 0.0713
2008hv 0.0837
2008hy 0.6293
2009le 0.0434
2009lg 0.5115
2013e 0.2604
2012cg 0.0558
2015h 0.1457
2009li 0.0713
2008hm 1.1811
2015n 1.4136
2009en 0.062
2010kg 0.4154
asassn14lp 0.0434
2010cr 0.093
2010cs 0.0899
2010cp 0.1519
2018hfr 0.0744
2012gl 0.1116
2018hfp 0.1953
2012ht 0.0775
2016bln 0.0775
2009eu 0.031
2009ep 0.0775
2009eq 0.1643
