# Host-galaxy morphology as reported in NED.
# Retrieved from http://www.cfa.harvard.edu/supernova/CfA3/snmorph.txt
# Morphology translation:
# 1,2,3,4,5,6,7,8,9,10,11 = E,E/S0,S0,S0a,Sa,Sab,Sb,Sbc,Sc,Scd,Sd/Irr
# 0 = N/A

# sn Morph Galaxy

1980N 3 NGC1316
1981B 8 NGC4536
1981D 3 NGC1316
1986G 3 NGC5128
1989B 7 NGC3627
1990N 8 NGC4639
1990O 5 MCG+03-44-3
1990T 5 Anon.
1990Y 1 Anon.
1990af 3 Anon.
1991S 7 UGC5691
1991T 8 NGC4527
1991U 8 IC4232
1991bg 1 NGC4374
1992A 3 NGC1380
1992J 2 Anon.
1992P 5 IC3690
1992ae 1 Anon.
1992al 9 ESO234-G69
1992aq 5 Anon.
1992au 1 Anon.
1992bc 6 ESO300-G09
1992bh 8 Anon.
1992bo 2 ESO352-G57
1992bp 2 Anon.
1992br 1 Anon.
1993H 6 ESO445-G66
1993L 9 IC5270
1993O 2 Anon.
1993ae 1 IC126
1993ag 2 Anon.
1993ah 3 ESO471-27
1994D 7 NGC4526
1994Q 3 Anon.
1994S 6 NGC4495
1994T 5 Anon.
1994ae 9 NGC3370
1995D 7 NGC2962
1995E 7 NGC2441
1995ac 7 Anon.
1995al 8 NGC3021
1995bd 7 UGC3151
1996C 5 MCG+08-25-47
1996X 1 NGC5061
1996ab 7 Anon.
1996ai 8 NGC5005
1996bl 9 Anon.
1996bo 9 NGC673
1997E 7 NGC2258
1997Y 7 NGC4675
1997bp 11 NGC4680
1997bq 8 NGC3147
1997br 11 ESO576-40
1997cw 0 NGC105
1997dg 7 Anon.
1997do 8 UGC3845
1997dt 8 NGC7448
1998D 5 NGC5440
1998V 7 NGC6627
1998ab 8 NGC4704
1998aq 7 NGC3982
1998bp 1 NGC6495
1998bu 6 NGC3368
1998de 3 NGC252
1998dh 8 NGC7541
1998dx 7 UGC11149
1998ef 7 UGC646
1998eg 9 UGC12133
1998es 3 NGC632
1999X 0 Anon.
1999aa 9 NGC2595
1999ac 10 NGC6063
1999by 7 NGC2841
1999cc 9 NGC6038
1999cl 7 NGC4501
1999cp 10 NGC5468
1999cw 6 MCG-01-2-1
1999da 1 NGC6411
1999dq 9 NGC976
1999ek 8 UGC3329
1999gp 7 UGC1993
2000B 1 NGC2320
2000E 8 NGC6951
2000bk 3 NGC4520
2000cn 10 UGC11064
2000cx 3 NGC524
2000dk 1 NGC382
2000fa 11 UGC3770
2001G 0 MCG+08-17-43
2001V 7 NGC3987
2001ah 8 UGC6211
2001ay 7 IC4423
2001az 7 UGC10483
2001bf 0 MCG+04-42-22
2001cp 8 UGC10738
2001eh 7 UGC1162
2001el 10 NGC1448
2001ep 7 NGC1699
2001fe 5 UGC5129
2001fh 7 Anon.
2002G 1 Anon.
2002bf 7 Anon.
2002bo 5 NGC3190
2002cd 8 NGC6916
2002cr 10 NGC5468
2002cx 0 Anon.
2002de 11 NGC6104
2002dj 1 NGC5018
2002dp 9 NGC7678
2002er 5 UGC10743
2002eu 0 Anon.
2002fk 8 NGC1309
2002ha 6 NGC6962
2002he 1 UGC4322
2002hu 7 MCG+06-6-12
2002hw 9 UGC52
2002jy 9 NGC477
2003K 10 IC1129
2003U 9 NGC6365
2003W 9 UGC5234
2003ae 0 Anon.
2003ai 0 IC4062
2003cg 5 NGC3169
2003ch 3 UGC3787
2003cq 8 NGC3978
2003du 7 UGC9391
2003fa 7 Anon.
2003it 7 UGC40
2003iv 11 MCG+02-8-14
2003kc 9 MCG+05-23-37
2003kf 7 MCG-02-16-2
2004as 11 Anon.
2004bg 7 UGC6363
2004fu 9 NGC6949
2005am 5 NGC2811
2005cf 3 MCG-01-39-3
2005dv 3 NGC5283
2005el 3 NGC1819
2005eq 10 MCG-01-9-6
2005eu 0 Anon.
2005ew 0 Anon.
2005hc 0 MCG+00-6-3
2005hj 0 Anon.
2005iq 5 MCG-03-1-8
2005ir 0 Anon.
2005kc 6 NGC7311
2005ke 5 NGC1371
2005ki 3 NGC3332
2005ls 7 MCG+07-7-1
2005lu 11 MCG-03-07-40
2005lz 11 UGC1666
2005mc 4 UGC4414
2005ms 7 UGC4614
2005mz 1 NGC1275
2006B 7 UGC12538
2006D 6 MCG-01-33-34
2006N 0 MCG+11-8-12
2006S 7 UGC7934
2006X 8 NGC4321
2006ac 7 NGC4619
2006ah 0 Anon.
2006an 0 Anon.
2006ar 0 MCG+11-13-36
2006ax 8 NGC3663
2006az 7 NGC4172
2006bb 3 UGC4468
2006br 7 NGC5185
2006bt 4 Anon.
