#Table J_A_A_568_A22_tablef3:
#Name: J/A+A/568/A22/tablef3
#Title: Supernovae light-curve parameters (download the \aFile{J/A+A/568/A22/tablef2.fit}{2220x2220 covariance matrix} [2240=740x3 for m_B_,x_1_,c])
#---Details of Columns:
#    _RAJ2000 ("h:m:s") (A12)   Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.ra]
#    _DEJ2000 ("d:m:s") (A12)   Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data) [ucd=pos.eq.dec]
#    Name               (a12)   Supernovae name [ucd=meta.id;meta.main]
#    zcmb               (F6.3)  [0,1.4] CMB frame redshift (1) [ucd=src.redshift]
#    zhel               (F7.4)  [0,1.4] Heliocentric redshift [ucd=src.redshift]
#    mb (mag)           (F6.3)  B band peak magnitude m_B_ (3) [ucd=phot.mag;em.opt.B]
#    e_mb (mag)         (F6.3)  Error in mb (4) [ucd=stat.error]
#    x1                 (F6.3)  SALT2 shape (stretch) parameter x_1_ [ucd=stat.fit.param]
#    e_x1               (F6.3)  Error in x1 [ucd=stat.error]
#    c                  (F6.3)  SALT2 color parameter c [ucd=stat.fit.param]
#    e_c                (F6.3)  Error in color [ucd=stat.error]
#    logMst ([Msun])    (F6.3)  log_10_ host stellar mass [ucd=phys.mass]
#    e_logMst ([Msun])  (F6.3)  Error in logMst [ucd=stat.error]
#    tmax (d)           (F9.3)  MJD corresponding to of peak brightness [ucd=time.epoch]
#    e_tmax (d)         (F6.3)  Error in tmax [ucd=stat.error]
#    cov(mb,s)          (F8.5)  The covariance between mb and x1 [ucd=stat.covariance]
#    cov(mb,c)          (F8.5)  The covariance between mb and colour [ucd=stat.covariance]
#    cov(s,c)           (F8.5)  The covariance between x1 and colour [ucd=stat.covariance]
#    set                (I1)    [1,4] Supernova sample identifier (5) [ucd=meta.id;src.sample]
#    RAJ2000 (deg)      (F10.6) Right Ascension in degree (J2000) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg)      (F10.6) Declination in degree (J2000) [ucd=pos.eq.dec;meta.main]
#    bias (mag)         (F6.3)  The correction for analysis bias [ucd=arith.factor]
#    SimbadName         (a17)   Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base [ucd=meta.id]
#------------ ------------ ------------ ------ ------- ------ ------ ------ ------ ------ ------ ------ ------ --------- ------ -------- -------- -------- - ---------- ---------- ------ -----------------
#                                                                                                log    e_log                                              s                                               
#_RAJ20       _DEJ20                                   mb     e_mb                               Mst ([ Mst ([           e_tm   c        c                 e RAJ        DEJ        bias                    
RA           DEC          Name         zcmb   zhel    mb     e_mb   x1     e_x1   c      e_c    logMst e_log  tmax      e_tmax cov_mb_s cov_mb_c cov_s_c  t RA_deg     DEC_deg    bias   SimbadName       
02:24:10.370 -04:02:14.89 03D1au        0.503  0.5043 23.002  0.088  1.273  0.150 -0.012  0.030  9.517  0.110 52909.745  0.214  0.00079  0.00044 -0.00003 1 036.043210 -04.037469  0.002 SNLS03D1au
02:24:14.792 -04:31:01.77 03D1aw        0.581  0.5820 23.574  0.090  0.974  0.274 -0.025  0.037  9.169  0.088 52902.898  0.353  0.00282  0.00041  0.00157 1 036.061634 -04.517158  0.001 SNLS03D1aw
02:24:23.349 -04:43:14.79 03D1ax        0.495  0.4960 22.960  0.088 -0.729  0.102 -0.100  0.030 11.580  0.112 52915.924  0.112  0.00054  0.00047 -0.00002 1 036.097287 -04.720774  0.002 SNLS03D1ax
02:26:37.736 -04:50:19.60 03D1bp        0.346  0.3470 22.398  0.087 -1.155  0.113 -0.041  0.027 10.821  0.124 52920.249  0.103  0.00111  0.00062  0.00029 1 036.657235 -04.838779  0.000 SNLS03D1bp
02:26:16.260 -04:56:06.18 03D1co        0.678  0.6790 24.078  0.098  0.619  0.404 -0.039  0.067  8.647  0.284 52954.458  0.455  0.01186  0.00078  0.00590 1 036.567748 -04.935050 -0.003 SNLS03D1co
02:26:31.192 -04:03:08.43 03D1dt        0.611  0.6120 23.285  0.093 -1.162  1.641 -0.095  0.050  9.715  0.092 52962.253  0.977  0.02967  0.00095  0.04436 1 036.629968 -04.052341  0.000 SNLS03D1dt
02:24:14.111 -04:39:57.07 03D1ew        0.866  0.8680 24.354  0.106  0.376  0.348 -0.063  0.068  8.530  0.805 52991.742  0.665  0.00318 -0.00160  0.00409 1 036.058795 -04.665852 -0.018 SNLS03D1ew
02:25:43.596 -04:08:38.61 03D1fc        0.331  0.3320 21.861  0.086  0.650  0.119 -0.018  0.024 10.391  0.036 53002.764  0.104  0.00101  0.00053  0.00054 1 036.431648 -04.144059 -0.001 SNLS03D1fc
02:26:55.664 -04:18:07.98 03D1fq        0.799  0.8000 24.510  0.102 -1.057  0.407 -0.056  0.065 10.651  0.127 52999.213  0.656  0.00590 -0.00112  0.00355 1 036.731935 -04.302217 -0.012 SNLS03D1fq
14:20:53.532 +52:36:20.25 03D3aw        0.450  0.4490 22.667  0.092  0.810  0.232 -0.086  0.038 10.695  0.034 52767.328  0.201  0.00547  0.00079  0.00066 1 215.223049 +52.605624  0.001 SNLS03D3aw
14:17:58.459 +52:28:57.41 03D3ay        0.371  0.3709 22.273  0.091  0.570  0.198 -0.054  0.033 10.198  0.068 52767.625  0.142  0.00491  0.00090  0.00091 1 214.493580 +52.482613  0.000 SNLS03D3ay
14:16:33.431 +52:20:31.88 03D3ba        0.292  0.2912 21.961  0.093  0.761  0.173  0.116  0.035 10.211  0.094 52749.605  0.805 -0.00291  0.00133 -0.00114 1 214.139297 +52.342190 -0.001 SNLS03D3ba
14:19:55.800 +53:05:50.64 03D3bl        0.356  0.3553 22.927  0.087  0.056  0.193  0.205  0.030 10.831  0.092 52787.142  0.289  0.00039  0.00066 -0.00053 1 214.982501 +53.097401  0.000 SNLS03D3bl
14:18:39.927 +52:36:43.48 03D3cd        0.461  0.4607 22.575  0.096  1.862  0.565 -0.043  0.038  9.339  0.152 52801.729  0.226  0.02190  0.00131  0.01088 1 214.666364 +52.612079  0.002 SNLS03D3cd
22:14:45.830 -17:44:22.76 03D4ag        0.284  0.2850 21.257  0.087  0.937  0.105 -0.085  0.023 10.628  0.099 52830.931  0.096  0.00101  0.00052 -0.00024 1 333.690959 -17.739655 -0.001 SNLS03D4ag
22:14:24.040 -17:46:36.21 03D4at        0.632  0.6340 23.739  0.093  0.209  0.330 -0.051  0.067  8.751  0.078 52816.960  0.561  0.00370  0.00079  0.00145 1 333.600166 -17.776726 -0.001 SNLS03D4at
22:16:09.928 -18:04:39.32 03D4au        0.466  0.4680 23.790  0.090  0.377  0.333  0.122  0.043  9.464  0.106 52816.177  0.504  0.00324  0.00084  0.00089 1 334.041366 -18.077590  0.002 SNLS03D4au
22:16:06.627 -17:42:16.76 03D4cj        0.269  0.2700 21.058  0.086  1.151  0.085 -0.080  0.023  6.000  5.000 52889.694  0.093  0.00060  0.00054 -0.00004 1 334.027611 -17.704656 -0.001 SNLS03D4cj
22:14:33.754 -17:35:15.04 03D4cx        0.947  0.9490 24.460  0.115 -0.096  0.673  0.057  0.065 11.008  0.157 52882.827  1.128  0.01828 -0.00205  0.00130 1 333.640640 -17.587511 -0.026 SNLS03D4cx
22:13:40.415 -17:40:53.91 03D4cy        0.925  0.9270 24.706  0.125  0.863  0.640 -0.058  0.072  9.705  0.236 52900.101  0.800  0.02808 -0.00237  0.00675 1 333.418394 -17.681641 -0.024 SNLS03D4cy
22:16:41.860 -17:55:34.58 03D4cz        0.693  0.6950 24.032  0.100 -1.764  0.385 -0.077  0.085 10.389  0.245 52894.649  0.425  0.01038  0.00056  0.00685 1 334.174418 -17.926271 -0.004 SNLS03D4cz
22:17:31.027 -17:37:46.75 03D4dh        0.625  0.6270 23.387  0.091  1.128  0.184 -0.043  0.050  9.414  0.162 52906.261  0.266  0.00127  0.00065 -0.00029 1 334.379280 -17.629653  0.000 SNLS03D4dh
22:14:10.239 -17:30:23.82 03D4di        0.897  0.8990 24.333  0.110  1.454  0.416 -0.084  0.064  9.879  0.064 52901.059  0.534  0.00916 -0.00162  0.00386 1 333.542663 -17.506617 -0.021 SNLS03D4di
22:14:50.526 -17:57:23.32 03D4dy        0.608  0.6100 23.245  0.091  1.138  0.183 -0.098  0.036  5.294 52.870 52904.254  0.257  0.00183  0.00039  0.00083 1 333.710523 -17.956479  0.000 SNLS03D4dy
22:16:14.451 -17:23:44.06 03D4fd        0.789  0.7910 24.222  0.100  0.784  0.472 -0.043  0.066 10.005  0.220 52938.532  0.701  0.00429 -0.00083  0.00488 1 334.060214 -17.395573 -0.011 SNLS03D4fd
22:14:22.932 -17:44:02.51 03D4gf        0.578  0.5800 23.324  0.090  0.509  0.312 -0.036  0.038  7.638  0.290 52936.584  0.410  0.00236  0.00038  0.00246 1 333.595552 -17.734032  0.001 SNLS03D4gf
22:16:40.190 -18:09:52.05 03D4gg        0.590  0.5920 23.431  0.093  1.001  0.435  0.012  0.040 10.162  0.006 52943.107  0.554  0.00661  0.00011  0.00011 1 334.167458 -18.164458  0.001 SNLS03D4gg
02:25:53.960 -04:59:40.60 04D1aj        0.720  0.7210 23.899  0.096  0.391  0.357 -0.034  0.067  6.000  5.000 52998.962  0.561  0.00505 -0.00024  0.00132 1 036.474835 -04.994610 -0.005 SNLS04D1aj
02:26:18.464 -04:18:43.08 04D1dc        0.210  0.2110 21.057  0.086 -1.236  0.062 -0.003  0.025 10.635  0.042 53230.680  0.160 -0.00011  0.00060 -0.00020 1 036.576935 -04.311968 -0.001 SNLS04D1dc
02:26:35.909 -04:25:21.44 04D1de        0.767  0.7680 24.132  0.097  0.906  0.244 -0.119  0.056  9.640  0.166 53245.997  0.244  0.00422 -0.00014 -0.00046 1 036.649621 -04.422623 -0.009 SNLS04D1de
02:25:38.622 -04:54:09.47 04D1ff        0.859  0.8600 24.246  0.102  0.728  0.277  0.047  0.058  8.730  0.304 53251.194  0.334  0.00497 -0.00069  0.00072 1 036.410924 -04.902631 -0.017 SNLS04D1ff
02:26:08.834 -04:06:34.68 04D1hd        0.368  0.3690 22.157  0.086  0.789  0.068 -0.092  0.022  8.199  0.090 53268.298  0.081  0.00007  0.00044 -0.00015 1 036.536808 -04.109634  0.000 SNLS04D1hd
02:24:42.495 -04:47:25.17 04D1hx        0.559  0.5600 23.700  0.090  0.285  0.192  0.112  0.035  9.645  0.134 53260.059  0.267  0.00135  0.00052  0.00007 1 036.177063 -04.790326  0.001 SNLS04D1hx
02:24:08.694 -04:49:51.86 04D1hy        0.849  0.8500 24.295  0.101  1.151  0.276 -0.054  0.055  8.086  0.826 53264.641  0.394  0.00328 -0.00075  0.00035 1 036.036226 -04.831071 -0.016 SNLS04D1hy
02:24:48.051 -04:09:09.21 04D1iv        0.996  0.9980 24.618  0.112  1.273  0.343 -0.131  0.051  9.034  0.450 53264.473  0.474  0.00626 -0.00151  0.00170 1 036.200212 -04.152559 -0.031 SNLS04D1iv
02:27:50.836 -04:56:37.64 04D1jd        0.777  0.7780 24.398  0.098  0.135  0.287  0.099  0.070 10.380  0.148 53259.204  0.451  0.00349 -0.00064  0.00204 1 036.961818 -04.943790 -0.010 SNLS04D1jd
02:26:12.557 -04:08:05.28 04D1jg        0.583  0.5842 23.273  0.090  0.265  0.159 -0.105  0.034 11.338  0.150 53273.566  0.213  0.00149  0.00037  0.00048 1 036.552319 -04.134800  0.001 SNLS04D1jg
