         ID           RA          DEC       z       hostRA      hostDec  Rpar E(B-V) local_u-g local_u-g_min local_u-g_max global_u-g global_u-g_min global_u-g_max localmass localmass_min localmass_max globalmass globalmass_min globalmass_max localssfr localssfr_min localssfr_max globalssfr globalssfr_min globalssfr_max incl hubble_resid hubble_residerr residbiascor      c  cerr cbiascor     x1 x1err x1biascor     mb mberr mbbiascor    r_a    r_b  theta       survey
----------- ------------ ------------ ------- ------------ ------------ ----- ------ --------- ------------- ------------- ---------- -------------- -------------- --------- ------------- ------------- ---------- -------------- -------------- --------- ------------- ------------- ---------- -------------- -------------- ---- ------------ --------------- ------------ ------ ----- -------- ------ ----- --------- ------ ----- --------- ------ ------ ------ ------------
     2007aj 12:47:54.451 +54:00:37.18 0.03185 12:47:54.533 +54:00:38.91 2.961    0.2     0.528         0.159         0.529      0.529          0.294          1.148     7.218         6.823         7.252      7.478          7.209          7.855     -9.29         -9.29         -9.29     -9.806         -9.806         -9.359 53.1        0.010           0.087       -0.001 -0.057 0.031   -0.009 -0.397 0.096    -0.015 16.291 0.048    -0.027  3.787  2.352  65.24     Targeted
     2006lu 09:15:17.629 -25:36:00.29 0.05452 09:15:17.284 -25:36:00.54 1.491   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.619         8.571         8.645      9.905          9.902         10.563     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 42.7       -0.092           0.056        0.084 -0.148 0.032   -0.065  0.267 0.077    -0.035 17.079 0.090    -0.115 14.151 10.578  23.44     Targeted
      2000B 07:05:40.729 +50:35:10.49 0.02019 07:05:41.989 +50:34:51.73 2.916   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.117         8.479         9.118     11.299         11.299         11.299     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 50.8       -0.355           0.119       -0.027  0.081 0.035    0.006 -1.500 0.154    -0.010 15.483 0.063    -0.006  52.61 34.252  51.52     Targeted
      2002G 13:07:55.260 +34:05:06.50 0.03509 13:07:54.829 +34:05:13.85 2.103   0.08     1.453         1.452         1.475       1.22           1.22          1.221     8.792         8.759         8.796     10.808         10.808         10.808   -12.568       -12.568        -11.12    -11.549        -11.549        -11.187 38.5       -0.142           0.134       -0.061  0.223 0.042    0.019 -1.511 0.435    -0.023 17.334 0.068     0.004 22.851 18.101  -5.26     Targeted
ASASSN-15la 14:12:51.211 +35:42:40.26 0.02824 14:12:51.264 +35:42:39.48 0.135   0.16     1.417         1.417         1.418      1.488          1.488          1.489    10.252        10.251        10.252     10.711         10.711         10.711   -38.121       -38.121       -38.121    -12.568        -12.568        -12.568 48.8       -0.312           0.051       -0.027  0.045 0.033    0.007 -0.918 0.236     0.001 16.073 0.038    -0.006 34.042 22.984  32.03 Not_Targeted
     2006hb 05:02:01.279 -21:07:55.09 0.01531 05:02:00.680 -21:08:12.82 3.599   0.16     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.367         8.366         8.438     10.466         10.458         10.466     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 41.4       -0.014           0.127       -0.024  0.041 0.034    0.003 -2.483 0.093    -0.036 15.133 0.041    -0.010 32.811 24.982 -23.36     Targeted
     2007cq 22:14:40.429 +05:04:48.90  0.0256 22:14:40.692 +05:04:42.55 1.621    0.1     1.127         1.046          1.15      1.209          1.209          1.209     8.558         8.553         8.567      9.734          9.733          9.734   -10.845       -10.845        -10.33    -10.252        -10.252        -10.252 57.9       -0.301           0.092       -0.009 -0.033 0.030   -0.003 -0.694 0.121    -0.002 15.607 0.064    -0.017  22.56 12.596 -89.17     Targeted
     2001da 23:53:32.779 +08:07:02.60 0.01706 23:53:32.136 +08:07:06.36 1.859    0.2     1.145         1.144          1.16      1.452          1.452          1.452     9.021          9.02          9.03     10.325         10.324         10.325   -11.402       -11.402       -11.402    -10.308        -10.308        -10.308 63.0       -0.160           0.153       -0.024  0.103 0.036    0.007 -0.716 0.701     0.005 15.268 0.053    -0.002 44.827 21.881  88.01     Targeted
ASASSN-16db 11:09:25.734 +29:34:23.52 0.03651 11:09:25.790 +29:34:09.14 2.533   0.18     1.182          0.83         1.207      1.214          1.214          1.214      8.47         8.432         8.597     10.902         10.902         10.902     -8.99         -8.99         -8.99    -10.905        -10.905        -10.905 38.5       -0.123           0.065       -0.030  0.030 0.037    0.007 -1.045 0.164     0.001 16.799 0.043    -0.009 27.108 21.475  32.78 Not_Targeted
ASASSN-16cs 06:50:36.731 +31:06:44.61 0.01893 06:50:36.861 +31:07:00.64 4.223   0.14     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     7.508         7.452         7.549      9.202          9.201          9.204     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 34.4       -0.039           0.062       -0.020  0.047 0.036    0.006  0.263 0.121    -0.006 15.308 0.080    -0.000 15.529 12.936  89.96 Not_Targeted
     2000dk 01:07:23.519 +32:24:23.19 0.01636 01:07:23.934 +32:24:14.85 2.343    0.2     1.406         1.406         1.406       1.43           1.43           1.43     9.103         9.103         9.103     10.562         10.561         10.562     -99.0         -99.0         -99.0    -11.832        -11.832        -11.832 21.0       -0.022           0.127       -0.017 -0.015 0.029    0.000 -2.043 0.079    -0.029 15.137 0.048    -0.012 22.867 21.411  51.22     Targeted
    PS16aer 10:54:58.194 +14:16:17.90 0.05717 10:54:58.843 +14:16:17.51 1.256   0.06     1.209          1.15          1.27      1.234          1.234          1.234     8.709         8.684         8.764     10.922         10.921         10.922   -10.683         -11.7       -10.683     -10.42         -10.42         -10.42 41.4        0.054           0.062       -0.062  0.046 0.035    0.012 -0.088 0.211    -0.062 17.848 0.041    -0.015 29.314  22.34  -0.97 Not_Targeted
     2008gp 03:23:00.730 +01:21:42.80 0.03403 03:22:59.936 +01:21:56.94 4.132   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     8.626          8.62         8.691      10.86          10.86          10.86     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 48.9       -0.174           0.074        0.016 -0.081 0.027   -0.019 -0.109 0.032    -0.025 16.159 0.067    -0.041 32.366 21.819  37.48     Targeted
PSNJ2352371 23:52:37.142 +14:33:08.96 0.02603 23:52:36.392 +14:33:05.34 2.409   0.16     1.374         0.931         1.452      1.476          1.475          1.476     9.024         8.694          9.07     10.774         10.774         10.774   -11.402       -11.402       -11.187    -12.625        -12.625        -12.625 43.6        0.218           0.063       -0.026 -0.005 0.038    0.004 -2.066 0.144    -0.037 16.426 0.046    -0.008 29.012 21.376  62.69 Not_Targeted
     2008gb 02:57:57.130 +46:51:56.59 0.03871 02:57:56.681 +46:52:03.24 2.202    0.0     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0     9.039         8.946         9.073     10.633         10.632         10.633     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 58.8        0.018           0.092       -0.030  0.006 0.041    0.004  0.079 0.160    -0.022 16.837 0.109    -0.015 26.844 14.648  71.62     Targeted
ASASSN-15mi 14:03:15.705 +41:36:14.90 0.03598 14:03:15.876 +41:36:13.78 1.105    0.2     0.529         0.528         0.859      0.529          0.528          0.529     8.711         8.708         9.247      9.341           9.34          9.342    -8.663        -8.663        -8.651     -8.321         -8.321         -8.321 35.2       -0.276           0.051       -0.021 -0.018 0.031    0.003  0.649 0.157    -0.002 16.233 0.036    -0.011 10.164  8.385 -41.34 Not_Targeted
     2002bz 14:24:40.519 +26:37:34.70 0.03802 14:24:40.527 +26:37:30.62 0.624    0.0     1.751          1.75         1.762      1.513          1.503          1.514     9.702         9.701         9.713     11.108         11.107         11.202     -99.0         -99.0         -99.0    -11.402        -11.402        -11.402 38.0        0.019           0.106        0.041 -0.112 0.047   -0.034 -1.180 0.236    -0.021 16.676 0.090    -0.064 29.315 23.387  37.98     Targeted
    PS17akj 13:49:49.146 -03:04:48.07  0.0479 13:49:49.013 -03:04:48.65 1.226   0.08     0.529         0.528         0.529      0.529          0.528          1.081     8.315         8.312          8.32      8.986          8.961           9.28    -9.185        -9.185        -9.185     -9.569         -9.569         -9.569 68.5       -0.003           0.080       -0.012 -0.039 0.037    0.001  1.274 0.254     0.074 16.982 0.050    -0.019  9.597  3.948  -11.5 Not_Targeted
      2007A 00:25:16.660 +12:53:12.50 0.01629 00:25:16.705 +12:53:02.63 1.216   0.04      1.16         1.118          1.16       1.16           1.16          1.161     9.197         9.187         9.198     10.385         10.385         10.385    -10.42        -10.42        -10.42    -10.327        -10.327        -10.327 29.3        0.243           0.120       -0.026  0.121 0.025    0.007  0.461 0.127     0.001 15.442 0.046    -0.004 32.275 28.331  79.92     Targeted
     2007su 22:19:08.880 +13:10:40.29 0.02754 22:19:08.851 +13:10:40.61 1.029    0.2     0.529         0.529         1.206      1.418          1.408          1.456     8.439         8.437         8.797      8.938          8.908           8.94    -10.14        -10.14        -10.14    -10.308        -10.308        -10.308 59.5        0.046           0.102       -0.042  0.200 0.036    0.013  0.312 0.347    -0.011 16.674 0.068    -0.001  7.082  3.796  39.88     Targeted
MASTEROTJ08 08:32:56.893 -03:51:28.42 0.03105 08:32:57.294 -03:51:29.26  1.71   0.16     1.488         1.475         1.622      1.488          1.488          1.489     8.866          8.84         9.058     10.393         10.393         10.394   -12.194       -12.194       -11.402    -38.121        -38.121        -38.121 52.9        0.059           0.053       -0.017 -0.030 0.036    0.001 -0.061 0.204    -0.011 16.308 0.067    -0.011 21.965 13.706  76.19 Not_Targeted
  AT2016cyt 21:09:35.832 +15:07:31.79 0.03071 21:09:36.265 +15:07:29.98 1.354   0.18     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0      9.08         9.079          9.08      10.76          10.76         10.761     -99.0         -99.0         -99.0      -99.0          -99.0          -99.0 48.1       -0.169           0.050        0.002 -0.092 0.034   -0.012 -1.784 0.092    -0.026 16.122 0.058    -0.031 28.461 19.487  -73.7 Not_Targeted
      17258 02:22:57.270 +01:01:32.69 0.08835 02:22:57.281 +01:01:32.54  0.14    0.2     0.717         0.716          0.73      0.816          0.802          0.888     9.156         9.148         9.174      9.618           9.59          9.666    -8.319        -8.319        -8.275     -9.473         -9.763         -9.419 29.0       -0.197           0.083       -0.005  0.030 0.034    0.004  0.283 0.208    -0.003 18.559 0.066     0.009  3.803  3.346   1.24 Not_Targeted
     370066 08:41:23.659 +43:03:15.96 0.09126 08:41:24.044 +43:03:14.13 3.443    0.2      1.11         0.945         1.456      0.878          0.831          0.896     8.114         7.747         8.494      9.622          9.604          9.699    -9.193         -9.29        -9.116      -8.99         -9.018         -8.987 25.8        0.025           0.081        0.010 -0.080 0.030   -0.007  0.011 0.434    -0.012 18.561 0.035    -0.010   6.76  6.114 -36.12 Not_Targeted
