# phase        M^0_V            P_V            Q_V
  -20.0      -9.208781       4.931888       1.115246
  -19.0     -13.608781       2.431888       1.115246
  -18.0     -15.008781       1.831888       1.115246
  -17.0     -15.808781       1.431888       1.115246
  -16.0     -16.408781       1.331888       1.115246
  -15.0     -16.908781       1.231888       1.115246
  -14.0     -17.252114       1.165221       1.048580
  -13.0     -17.575447       1.131888       0.881913
  -12.0     -17.865447       1.131888       0.615246
  -11.0     -18.127847       1.127474       0.352702
  -10.0     -18.376402       1.120655       0.190882
   -9.0     -18.624445       1.111429       0.129786
   -8.0     -18.837672       1.096957       0.132883
   -7.0     -18.995118       1.073883       0.136361
   -6.0     -19.132172       1.043065       0.139287
   -5.0     -19.232542       1.005390       0.141716
   -4.0     -19.316252       0.963347       0.143443
   -3.0     -19.375421       0.919970       0.144264
   -2.0     -19.425628       0.878750       0.143923
   -1.0     -19.457668       0.843365       0.142181
    0.0     -19.479492       0.817262       0.138941
    1.0     -19.481311       0.803067       0.134348
    2.0     -19.473364       0.801484       0.128881
    3.0     -19.454107       0.811051       0.123282
    4.0     -19.434688       0.829096       0.118305
    5.0     -19.410072       0.852748       0.114478
    6.0     -19.382465       0.879662       0.112002
    7.0     -19.344696       0.908023       0.110739
    8.0     -19.301371       0.936255       0.110416
    9.0     -19.244205       0.963134       0.110789
   10.0     -19.179340       0.988162       0.111658
   11.0     -19.111318       1.011678       0.112790
   12.0     -19.047536       1.034715       0.113831
   13.0     -18.991732       1.058442       0.114286
   14.0     -18.938983       1.083820       0.113625
   15.0     -18.890070       1.111638       0.111289
   16.0     -18.841360       1.142645       0.106718
   17.0     -18.790293       1.177370       0.099483
   18.0     -18.736155       1.215882       0.089390
   19.0     -18.679240       1.257595       0.076595
   20.0     -18.621910       1.301438       0.061572
   21.0     -18.568298       1.346197       0.044944
   22.0     -18.517935       1.390770       0.027280
   23.0     -18.466498       1.434143       0.009007
   24.0     -18.409958       1.475247      -0.009583
   25.0     -18.349149       1.513039      -0.028239
   26.0     -18.288793       1.546620      -0.046665
   27.0     -18.229713       1.575327      -0.064487
   28.0     -18.171498       1.598719      -0.081326
   29.0     -18.112301       1.616428      -0.096865
   30.0     -18.051534       1.628214      -0.110901
   31.0     -17.989792       1.634233      -0.123387
   32.0     -17.928780       1.635100      -0.134390
   33.0     -17.871820       1.631833      -0.144071
   34.0     -17.817849       1.625571      -0.152638
   35.0     -17.768943       1.617271      -0.160216
   36.0     -17.721584       1.607630      -0.166805
   37.0     -17.676485       1.597250      -0.172284
   38.0     -17.632047       1.586648      -0.176470
   39.0     -17.588135       1.576316      -0.179254
   40.0     -17.544845       1.566614      -0.180673
   41.0     -17.502068       1.557615      -0.180881
   42.0     -17.460372       1.549104      -0.180082
   43.0     -17.419900       1.540753      -0.178455
   44.0     -17.380394       1.532237      -0.176094
   45.0     -17.342644       1.523389      -0.173054
   46.0     -17.305670       1.514150      -0.169417
   47.0     -17.271071       1.504519      -0.165335
   48.0     -17.237305       1.494629      -0.161033
   49.0     -17.206381       1.484891      -0.156768
   50.0     -17.176280       1.476025      -0.152760
   51.0     -17.145888       1.468872      -0.149149
   52.0     -17.113394       1.464023      -0.145973
   53.0     -17.077754       1.461604      -0.143170
   54.0     -17.040923       1.461305      -0.140626
   55.0     -17.006599       1.462629      -0.138242
   56.0     -16.976813       1.465105      -0.135964
   57.0     -16.951665       1.468311      -0.133795
   58.0     -16.927852       1.471781      -0.131744
   59.0     -16.904861       1.475065      -0.129787
   60.0     -16.882041       1.477895      -0.127879
   61.0     -16.858733       1.480314      -0.125978
   62.0     -16.834540       1.482670      -0.124082
   63.0     -16.809411       1.485384      -0.122241
   64.0     -16.783613       1.488714      -0.120535
   65.0     -16.757601       1.492706      -0.119041
   66.0     -16.731905       1.497184      -0.117791
   67.0     -16.706948       1.501861      -0.116772
   68.0     -16.682939       1.506486      -0.115952
   69.0     -16.659787       1.510909      -0.115314
   70.0     -16.637128       1.515175      -0.114881
   71.0     -16.614442       1.519581      -0.114729
   72.0     -16.591270       1.524555      -0.114957
   73.0     -16.567322       1.530467      -0.115648
   74.0     -16.542513       1.537554      -0.116841
   75.0     -16.516969       1.545828      -0.118518
   76.0     -16.490984       1.555081      -0.120616
   77.0     -16.464905       1.564941      -0.123071
   78.0     -16.439001       1.574861      -0.125836
   79.0     -16.413346       1.584143      -0.128859
   80.0     -16.387795       1.592122      -0.132054
   81.0     -16.362049       1.598315      -0.135295
   82.0     -16.335767       1.602539      -0.138430
   83.0     -16.308682       1.604918      -0.141314
   84.0     -16.280674       1.605759      -0.143832
   85.0     -16.251883       1.605421      -0.145909
   86.0     -16.222696       1.604283      -0.147521
   87.0     -16.193632       1.602704      -0.148686
   88.0     -16.165085       1.600975      -0.149480
   89.0     -16.137634       1.599570      -0.149949
   90.0     -16.111353       1.598702      -0.150176
