# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 500                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.034                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-08-29T06:07:31            / 
# MJD      = 55802.3                        / 
# TXPL     = 5.6                            / days relative to date of explosion
# TMAX     = -12.2                          / phase, days relative to B-band maximum
# AIRMASS  = 1.87                           / 
# SEEING   = 1.01                           / 
# ISPHOTO  = 1                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3298.68 5.557164e-14 8.714983e-31
3301.06 5.482497e-14 8.372775e-31
3303.44 5.451654e-14 8.192166e-31
3305.82 5.456114e-14 8.073849e-31
3308.20 5.504485e-14 8.005854e-31
3310.58 5.431574e-14 7.706719e-31
3312.96 5.405697e-14 7.358924e-31
3315.34 5.352312e-14 6.948752e-31
3317.72 5.485670e-14 6.744516e-31
3320.10 5.527867e-14 6.483185e-31
3322.48 5.655181e-14 6.365053e-31
3324.86 5.572758e-14 6.127703e-31
3327.24 5.518706e-14 5.982545e-31
3329.62 5.614658e-14 5.962844e-31
3332.00 5.726183e-14 5.993840e-31
3334.38 5.626781e-14 5.857913e-31
3336.76 5.622689e-14 5.780430e-31
3339.14 5.611989e-14 5.729208e-31
3341.52 5.662087e-14 5.645365e-31
3343.90 5.839458e-14 5.665179e-31
3346.28 5.760559e-14 5.498378e-31
3348.66 5.642670e-14 5.279089e-31
3351.04 5.510739e-14 5.073783e-31
3353.42 5.525182e-14 4.994339e-31
3355.80 5.558733e-14 4.975309e-31
3358.18 5.623272e-14 4.951513e-31
3360.56 5.683777e-14 4.833780e-31
3362.94 5.520775e-14 4.813573e-31
3365.32 5.735495e-14 4.927631e-31
3367.70 5.687832e-14 4.855851e-31
3370.08 5.755953e-14 4.836609e-31
3372.46 5.796900e-14 4.774692e-31
3374.84 5.851817e-14 4.742886e-31
3377.22 5.991881e-14 4.747830e-31
3379.60 6.086551e-14 4.724652e-31
3381.98 6.110222e-14 4.640353e-31
3384.36 6.085492e-14 4.543932e-31
3386.74 6.220673e-14 4.453478e-31
3389.12 6.141158e-14 4.451460e-31
3391.50 6.234809e-14 4.483697e-31
3393.88 6.196545e-14 4.428262e-31
3396.26 6.334619e-14 4.493093e-31
3398.64 6.346149e-14 4.457301e-31
3401.02 6.418787e-14 4.455076e-31
3403.40 6.452166e-14 4.409950e-31
3405.78 6.372704e-14 4.299062e-31
3408.16 6.523209e-14 4.226698e-31
3410.54 6.550659e-14 4.269869e-31
3412.92 6.614315e-14 4.248005e-31
3415.30 6.775129e-14 4.289876e-31
3417.68 6.963740e-14 4.350924e-31
3420.06 7.021129e-14 4.234437e-31
3422.44 7.107223e-14 4.371178e-31
