# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 500                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.034                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-09-02T05:46:15            / 
# MJD      = 55806.2                        / 
# TXPL     = 9.5                            / days relative to date of explosion
# TMAX     = -8.3                           / phase, days relative to B-band maximum
# AIRMASS  = 1.83                           / 
# SEEING   = 1.95                           / 
# ISPHOTO  = 1                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3298.68 2.941889e-13 4.252062e-30
3301.06 2.895046e-13 4.054795e-30
3303.44 2.883188e-13 3.972727e-30
3305.82 2.898578e-13 3.954767e-30
3308.20 2.933440e-13 3.958362e-30
3310.58 2.965126e-13 3.910941e-30
3312.96 2.995176e-13 3.844989e-30
3315.34 3.048376e-13 3.764779e-30
3317.72 3.112591e-13 3.712992e-30
3320.10 3.212070e-13 3.696343e-30
3322.48 3.263892e-13 3.679225e-30
3324.86 3.299862e-13 3.665352e-30
3327.24 3.365429e-13 3.703999e-30
3329.62 3.433497e-13 3.754895e-30
3332.00 3.528614e-13 3.827681e-30
3334.38 3.576992e-13 3.861932e-30
3336.76 3.617463e-13 3.858812e-30
3339.14 3.668298e-13 3.858535e-30
3341.52 3.740202e-13 3.845911e-30
3343.90 3.754966e-13 3.770593e-30
3346.28 3.718928e-13 3.663436e-30
3348.66 3.670013e-13 3.528362e-30
3351.04 3.649220e-13 3.422045e-30
3353.42 3.619407e-13 3.325726e-30
3355.80 3.584156e-13 3.265525e-30
3358.18 3.573359e-13 3.215449e-30
3360.56 3.585003e-13 3.202602e-30
3362.94 3.570416e-13 3.186024e-30
3365.32 3.543063e-13 3.164604e-30
3367.70 3.507287e-13 3.148357e-30
3370.08 3.484468e-13 3.125066e-30
3372.46 3.467276e-13 3.093704e-30
3374.84 3.467565e-13 3.068862e-30
3377.22 3.490117e-13 3.042858e-30
3379.60 3.489309e-13 3.005713e-30
3381.98 3.491248e-13 2.974328e-30
3384.36 3.481509e-13 2.925644e-30
3386.74 3.502237e-13 2.899581e-30
3389.12 3.531922e-13 2.883973e-30
3391.50 3.595663e-13 2.899014e-30
3393.88 3.648039e-13 2.905518e-30
3396.26 3.684053e-13 2.905303e-30
3398.64 3.696427e-13 2.885794e-30
3401.02 3.670899e-13 2.827514e-30
3403.40 3.670027e-13 2.788287e-30
3405.78 3.685449e-13 2.742470e-30
3408.16 3.710296e-13 2.721491e-30
3410.54 3.736427e-13 2.694942e-30
3412.92 3.767235e-13 2.679783e-30
3415.30 3.741692e-13 2.638750e-30
3417.68 3.738973e-13 2.606641e-30
3420.06 3.754076e-13 2.588329e-30
3422.44 3.810024e-13 2.587725e-30
3424.82 3.809718e-13 2.561296e-30
3427.20 3.802684e-13 2.525094e-30
3429.58 3.835299e-13 2.506822e-30
3431.96 3.866542e-13 2.503794e-30
3434.34 3.914171e-13 2.517808e-30
3436.72 3.952047e-13 2.523411e-30
3439.10 3.987072e-13 2.522341e-30
3441.48 4.058827e-13 2.533745e-30
3443.86 4.125030e-13 2.543468e-30
3446.24 4.157404e-13 2.538104e-30
3448.62 4.169500e-13 2.513939e-30
3451.00 4.143804e-13 2.477621e-30
3453.38 4.142076e-13 2.462167e-30
3455.76 4.128599e-13 2.443319e-30
3458.14 4.085229e-13 2.411055e-30
3460.52 4.044818e-13 2.379882e-30
3462.90 3.999202e-13 2.340613e-30
3465.28 3.979413e-13 2.322834e-30
3467.66 3.986447e-13 2.306506e-30
3470.04 3.949446e-13 2.268526e-30
3472.42 3.925773e-13 2.241266e-30
3474.80 3.914036e-13 2.213310e-30
3477.18 3.909881e-13 2.190976e-30
3479.56 3.926844e-13 2.181699e-30
3481.94 3.960766e-13 2.177493e-30
3484.32 3.988269e-13 2.175755e-30
3486.70 4.003808e-13 2.165065e-30
3489.08 4.048129e-13 2.176598e-30
3491.46 4.096324e-13 2.185769e-30
3493.84 4.131771e-13 2.187609e-30
3496.22 4.155029e-13 2.184174e-30
3498.60 4.166772e-13 2.181208e-30
3500.98 4.170388e-13 2.172791e-30
3503.36 4.154514e-13 2.151450e-30
3505.74 4.151017e-13 2.136792e-30
3508.12 4.166847e-13 2.132179e-30
3510.50 4.157943e-13 2.113067e-30
3512.88 4.119292e-13 2.083004e-30
3515.26 4.106127e-13 2.064981e-30
3517.64 4.128908e-13 2.056267e-30
3520.02 4.123394e-13 2.039910e-30
3522.40 4.132907e-13 2.030053e-30
3524.78 4.153412e-13 2.024746e-30
3527.16 4.144028e-13 2.009519e-30
3529.54 4.127750e-13 1.988094e-30
3531.92 4.147129e-13 1.982672e-30
3534.30 4.180463e-13 1.988825e-30
3536.68 4.173523e-13 1.977470e-30
3539.06 4.222968e-13 1.990834e-30
3541.44 4.250393e-13 1.996803e-30
3543.82 4.257996e-13 1.998783e-30
3546.20 4.257756e-13 1.997602e-30
3548.58 4.267899e-13 1.998122e-30
3550.96 4.261918e-13 1.997932e-30
3553.34 4.276347e-13 2.004148e-30
3555.72 4.288516e-13 2.002777e-30
3558.10 4.334048e-13 2.010336e-30
3560.48 4.348927e-13 2.012120e-30
3562.86 4.364897e-13 2.010936e-30
3565.24 4.375540e-13 2.008047e-30
3567.62 4.380901e-13 1.992853e-30
3570.00 4.378950e-13 1.979755e-30
3572.38 4.374593e-13 1.966367e-30
3574.76 4.377215e-13 1.952376e-30
3577.14 4.381007e-13 1.937736e-30
3579.52 4.362696e-13 1.919968e-30
3581.90 4.313543e-13 1.892202e-30
3584.28 4.286650e-13 1.874904e-30
3586.66 4.269617e-13 1.864483e-30
3589.04 4.233393e-13 1.848542e-30
3591.42 4.214220e-13 1.831230e-30
3593.80 4.201019e-13 1.826184e-30
3596.18 4.194723e-13 1.827329e-30
3598.56 4.181484e-13 1.818759e-30
3600.94 4.174622e-13 1.813975e-30
3603.32 4.143210e-13 1.800080e-30
3605.70 4.137060e-13 1.798805e-30
3608.08 4.165092e-13 1.807954e-30
3610.46 4.135449e-13 1.797641e-30
3612.84 4.112209e-13 1.786428e-30
3615.22 4.096306e-13 1.774466e-30
3617.60 4.077703e-13 1.759566e-30
3619.98 4.044915e-13 1.743635e-30
3622.36 4.037862e-13 1.734383e-30
3624.74 4.015492e-13 1.717634e-30
3627.12 4.012364e-13 1.707853e-30
3629.50 3.994048e-13 1.689559e-30
3631.88 3.997398e-13 1.677361e-30
3634.26 3.964105e-13 1.653731e-30
3636.64 3.949875e-13 1.636937e-30
3639.02 3.915560e-13 1.612224e-30
3641.40 3.868782e-13 1.584118e-30
3643.78 3.819821e-13 1.555781e-30
3646.16 3.775202e-13 1.525191e-30
3648.54 3.713784e-13 1.489583e-30
3650.92 3.621846e-13 1.443849e-30
3653.30 3.549975e-13 1.410341e-30
3655.68 3.469143e-13 1.372821e-30
3658.06 3.392273e-13 1.335701e-30
3660.44 3.317808e-13 1.302264e-30
3662.82 3.253010e-13 1.275963e-30
3665.20 3.163271e-13 1.237705e-30
3667.58 3.086108e-13 1.204842e-30
3669.96 2.999766e-13 1.170943e-30
3672.34 2.933752e-13 1.144596e-30
3674.72 2.860861e-13 1.113146e-30
3677.10 2.764299e-13 1.076971e-30
3679.48 2.670455e-13 1.045352e-30
3681.86 2.589926e-13 1.013459e-30
3684.24 2.506787e-13 9.882771e-31
3686.62 2.449608e-13 9.679566e-31
3689.00 2.375822e-13 9.395984e-31
3691.38 2.318270e-13 9.176501e-31
3693.76 2.275778e-13 8.994044e-31
3696.14 2.235274e-13 8.828587e-31
3698.52 2.190635e-13 8.640212e-31
3700.90 2.137153e-13 8.435451e-31
3703.28 2.106205e-13 8.284189e-31
3705.66 2.099987e-13 8.209875e-31
3708.04 2.071181e-13 8.066099e-31
3710.42 2.064662e-13 7.990858e-31
3712.80 2.041204e-13 7.870844e-31
3715.18 2.015338e-13 7.774749e-31
3717.56 2.018723e-13 7.732174e-31
3719.94 2.029448e-13 7.712783e-31
3722.32 2.025162e-13 7.669834e-31
3724.70 2.033809e-13 7.648197e-31
3727.08 2.061903e-13 7.687195e-31
3729.46 2.077090e-13 7.704179e-31
3731.84 2.092750e-13 7.722020e-31
3734.22 2.136586e-13 7.796403e-31
3736.60 2.179485e-13 7.899515e-31
3738.98 2.234767e-13 8.018991e-31
3741.36 2.296455e-13 8.171337e-31
3743.74 2.360416e-13 8.326229e-31
3746.12 2.407080e-13 8.445328e-31
3748.50 2.454093e-13 8.544501e-31
3750.88 2.469206e-13 8.550509e-31
3753.26 2.474386e-13 8.485058e-31
3755.64 2.477486e-13 8.480768e-31
3758.02 2.462656e-13 8.431913e-31
3760.40 2.454326e-13 8.357694e-31
3762.78 2.454414e-13 8.323042e-31
3765.16 2.454713e-13 8.313951e-31
3767.54 2.459191e-13 8.314912e-31
3769.92 2.466547e-13 8.328560e-31
3772.30 2.467418e-13 8.307328e-31
3774.68 2.475346e-13 8.308146e-31
3777.06 2.481859e-13 8.321991e-31
3779.44 2.486100e-13 8.356518e-31
3781.82 2.497962e-13 8.358689e-31
3784.20 2.511208e-13 8.369865e-31
3786.58 2.513020e-13 8.358631e-31
3788.96 2.517419e-13 8.362216e-31
3791.34 2.512585e-13 8.348025e-31
3793.72 2.518585e-13 8.329898e-31
3796.10 2.522684e-13 8.330069e-31
3798.48 2.545194e-13 8.379195e-31
3800.86 2.565128e-13 8.404106e-31
3803.24 2.576670e-13 8.402046e-31
3805.62 2.597554e-13 8.423785e-31
3808.00 2.615779e-13 8.429717e-31
3810.38 2.648386e-13 8.514463e-31
3812.76 2.688344e-13 8.567150e-31
3815.14 2.728976e-13 8.629284e-31
3817.52 2.763017e-13 8.672494e-31
3819.90 2.808731e-13 8.759758e-31
3822.28 2.874739e-13 8.871830e-31
3824.66 2.919308e-13 8.972694e-31
3827.04 2.977470e-13 9.058254e-31
3829.42 3.034364e-13 9.165661e-31
3831.80 3.087896e-13 9.246462e-31
3834.18 3.154296e-13 9.340911e-31
3836.56 3.218586e-13 9.435824e-31
3838.94 3.277691e-13 9.540738e-31
3841.32 3.344364e-13 9.656320e-31
3843.70 3.407713e-13 9.745424e-31
3846.08 3.453178e-13 9.816940e-31
3848.46 3.505310e-13 9.909424e-31
3850.84 3.566370e-13 1.000285e-30
3853.22 3.633595e-13 1.009057e-30
3855.60 3.705018e-13 1.021906e-30
3857.98 3.765801e-13 1.034237e-30
3860.36 3.821920e-13 1.042720e-30
3862.74 3.904481e-13 1.057911e-30
3865.12 3.967891e-13 1.069959e-30
3867.50 4.025958e-13 1.080525e-30
3869.88 4.095472e-13 1.096415e-30
3872.26 4.160896e-13 1.110474e-30
3874.64 4.237360e-13 1.128958e-30
3877.02 4.305216e-13 1.140855e-30
3879.40 4.359440e-13 1.154438e-30
3881.78 4.410068e-13 1.167786e-30
3884.16 4.452150e-13 1.177758e-30
3886.54 4.488719e-13 1.182473e-30
3888.92 4.535041e-13 1.190794e-30
3891.30 4.574686e-13 1.201260e-30
3893.68 4.627675e-13 1.210040e-30
3896.06 4.671136e-13 1.220036e-30
3898.44 4.722094e-13 1.230484e-30
3900.82 4.755881e-13 1.233909e-30
3903.20 4.797221e-13 1.240161e-30
3905.58 4.835626e-13 1.247570e-30
3907.96 4.907476e-13 1.260385e-30
3910.34 4.950107e-13 1.268726e-30
3912.72 4.991590e-13 1.274331e-30
3915.10 5.033464e-13 1.276360e-30
3917.48 5.069231e-13 1.276901e-30
3919.86 5.105923e-13 1.282712e-30
3922.24 5.118150e-13 1.279927e-30
3924.62 5.139659e-13 1.283059e-30
3927.00 5.139077e-13 1.281332e-30
3929.38 5.115756e-13 1.269837e-30
3931.76 5.020167e-13 1.243458e-30
3934.14 4.920239e-13 1.218460e-30
3936.52 4.909812e-13 1.212319e-30
3938.90 4.983292e-13 1.229224e-30
3941.28 5.026221e-13 1.234914e-30
3943.66 5.028358e-13 1.231681e-30
3946.04 4.979222e-13 1.217990e-30
3948.42 4.930692e-13 1.202997e-30
3950.80 4.872939e-13 1.188086e-30
3953.18 4.821134e-13 1.174682e-30
3955.56 4.764354e-13 1.157214e-30
3957.94 4.704601e-13 1.142144e-30
3960.32 4.644189e-13 1.128512e-30
3962.70 4.570455e-13 1.109844e-30
3965.08 4.489045e-13 1.090609e-30
3967.46 4.411358e-13 1.073782e-30
3969.84 4.360993e-13 1.062293e-30
3972.22 4.371922e-13 1.064419e-30
3974.60 4.394391e-13 1.072723e-30
3976.98 4.382731e-13 1.075400e-30
3979.36 4.354834e-13 1.070422e-30
3981.74 4.333002e-13 1.067239e-30
3984.12 4.302435e-13 1.063267e-30
3986.50 4.265493e-13 1.058086e-30
3988.88 4.243118e-13 1.058724e-30
3991.26 4.238668e-13 1.058091e-30
3993.64 4.225677e-13 1.055170e-30
3996.02 4.219994e-13 1.055942e-30
3998.40 4.214701e-13 1.055958e-30
4000.78 4.201142e-13 1.053586e-30
4003.16 4.215846e-13 1.057907e-30
4005.54 4.222487e-13 1.058394e-30
4007.92 4.226160e-13 1.056107e-30
4010.30 4.233879e-13 1.054352e-30
4012.68 4.263984e-13 1.058456e-30
4015.06 4.275156e-13 1.056518e-30
4017.44 4.294745e-13 1.061153e-30
4019.82 4.324293e-13 1.060051e-30
4022.20 4.371189e-13 1.065517e-30
4024.58 4.374654e-13 1.060557e-30
4026.96 4.409188e-13 1.061211e-30
4029.34 4.422486e-13 1.054847e-30
4031.72 4.436486e-13 1.052970e-30
4034.10 4.463381e-13 1.051206e-30
4036.48 4.499373e-13 1.051682e-30
4038.86 4.518414e-13 1.050336e-30
4041.24 4.537537e-13 1.049559e-30
4043.62 4.555189e-13 1.049392e-30
4046.00 4.567684e-13 1.050027e-30
4048.38 4.590646e-13 1.058377e-30
4050.76 4.602092e-13 1.064771e-30
4053.14 4.622067e-13 1.072889e-30
4055.52 4.637059e-13 1.083447e-30
4057.90 4.660113e-13 1.095226e-30
4060.28 4.657146e-13 1.102497e-30
4062.66 4.666673e-13 1.108505e-30
4065.04 4.680832e-13 1.112507e-30
4067.42 4.710218e-13 1.117381e-30
4069.80 4.719956e-13 1.114839e-30
4072.18 4.743889e-13 1.111771e-30
4074.56 4.769439e-13 1.106866e-30
4076.94 4.781949e-13 1.098942e-30
4079.32 4.824205e-13 1.094138e-30
4081.70 4.867226e-13 1.090888e-30
4084.08 4.889479e-13 1.084220e-30
4086.46 4.893380e-13 1.076018e-30
4088.84 4.893651e-13 1.067724e-30
4091.22 4.907422e-13 1.063479e-30
4093.60 4.915759e-13 1.059178e-30
4095.98 4.891459e-13 1.051117e-30
4098.36 4.852869e-13 1.041777e-30
4100.74 4.826496e-13 1.034502e-30
4103.12 4.779304e-13 1.024061e-30
4105.50 4.737052e-13 1.014471e-30
4107.88 4.712717e-13 1.010935e-30
4110.26 4.708747e-13 1.009459e-30
4112.64 4.714821e-13 1.009896e-30
4115.02 4.700034e-13 1.007031e-30
4117.40 4.680836e-13 1.004076e-30
4119.78 4.645940e-13 9.964891e-31
4122.16 4.632880e-13 9.939982e-31
4124.54 4.578353e-13 9.822603e-31
4126.92 4.537638e-13 9.747158e-31
4129.30 4.509748e-13 9.684067e-31
4131.68 4.481469e-13 9.612914e-31
4134.06 4.441574e-13 9.521422e-31
4136.44 4.402025e-13 9.455883e-31
4138.82 4.379571e-13 9.436033e-31
4141.20 4.358616e-13 9.403536e-31
4143.58 4.362154e-13 9.412779e-31
4145.96 4.350991e-13 9.408601e-31
4148.34 4.337865e-13 9.416297e-31
4150.72 4.318004e-13 9.399205e-31
4153.10 4.316470e-13 9.424811e-31
4155.48 4.318436e-13 9.452473e-31
4157.86 4.301147e-13 9.420142e-31
4160.24 4.277013e-13 9.363334e-31
4162.62 4.253051e-13 9.323282e-31
4165.00 4.220940e-13 9.243607e-31
4167.38 4.174924e-13 9.094006e-31
4169.76 4.142711e-13 8.954981e-31
4172.14 4.096647e-13 8.784833e-31
4174.52 4.064034e-13 8.655291e-31
4176.90 4.029270e-13 8.508545e-31
4179.28 4.003067e-13 8.387494e-31
4181.66 3.952073e-13 8.219658e-31
4184.04 3.915839e-13 8.086162e-31
4186.42 3.872860e-13 7.954016e-31
4188.80 3.852416e-13 7.864746e-31
4191.18 3.815285e-13 7.749855e-31
4193.56 3.788911e-13 7.660527e-31
4195.94 3.761456e-13 7.583022e-31
4198.32 3.736790e-13 7.511328e-31
4200.70 3.718170e-13 7.442891e-31
4203.08 3.681865e-13 7.354605e-31
4205.46 3.655161e-13 7.287754e-31
4207.84 3.602498e-13 7.175659e-31
4210.22 3.569652e-13 7.095365e-31
4212.60 3.549569e-13 7.047724e-31
4214.98 3.528478e-13 6.981320e-31
4217.36 3.502927e-13 6.915361e-31
4219.74 3.462746e-13 6.828474e-31
4222.12 3.435596e-13 6.751407e-31
4224.50 3.412129e-13 6.703595e-31
4226.88 3.401811e-13 6.680474e-31
4229.26 3.369022e-13 6.597122e-31
4231.64 3.334034e-13 6.524178e-31
4234.02 3.325703e-13 6.501749e-31
4236.40 3.299269e-13 6.450744e-31
4238.78 3.263536e-13 6.371329e-31
4241.16 3.239976e-13 6.305045e-31
4243.54 3.229207e-13 6.273479e-31
4245.92 3.215524e-13 6.235599e-31
4248.30 3.173165e-13 6.145211e-31
4250.68 3.139159e-13 6.070284e-31
4253.06 3.119439e-13 6.031877e-31
4255.44 3.086289e-13 5.971352e-31
4257.82 3.051503e-13 5.897837e-31
4260.20 3.025201e-13 5.837408e-31
4262.58 3.012229e-13 5.784099e-31
4264.96 2.985307e-13 5.727310e-31
4267.34 2.973194e-13 5.704111e-31
4269.72 2.949581e-13 5.647335e-31
4272.10 2.931445e-13 5.593572e-31
4274.48 2.898280e-13 5.530142e-31
4276.86 2.868691e-13 5.469899e-31
4279.24 2.853749e-13 5.436957e-31
4281.62 2.808141e-13 5.338014e-31
4284.00 2.785479e-13 5.272286e-31
4286.38 2.776262e-13 5.240519e-31
4288.76 2.748371e-13 5.191489e-31
4291.14 2.722845e-13 5.138344e-31
4293.52 2.703316e-13 5.087483e-31
4295.90 2.686544e-13 5.043074e-31
4298.28 2.664955e-13 4.986032e-31
4300.66 2.666850e-13 4.960925e-31
4303.04 2.656906e-13 4.932697e-31
4305.42 2.637718e-13 4.893715e-31
4307.80 2.636516e-13 4.883578e-31
4310.18 2.623135e-13 4.852717e-31
4312.56 2.613435e-13 4.823048e-31
4314.94 2.612004e-13 4.814012e-31
4317.32 2.614219e-13 4.807780e-31
4319.70 2.614070e-13 4.806517e-31
4322.08 2.617363e-13 4.808975e-31
4324.46 2.629408e-13 4.820991e-31
4326.84 2.647060e-13 4.840066e-31
4329.22 2.666829e-13 4.889568e-31
4331.60 2.693796e-13 4.940204e-31
4333.98 2.714166e-13 4.969541e-31
4336.36 2.752635e-13 5.028035e-31
4338.74 2.786118e-13 5.086257e-31
4341.12 2.814817e-13 5.144142e-31
4343.50 2.834982e-13 5.184858e-31
4345.88 2.847538e-13 5.218623e-31
4348.26 2.875254e-13 5.274096e-31
4350.64 2.898775e-13 5.326833e-31
4353.02 2.919669e-13 5.368692e-31
4355.40 2.949976e-13 5.418534e-31
4357.78 2.975467e-13 5.465866e-31
4360.16 3.007654e-13 5.534796e-31
4362.54 3.026064e-13 5.561689e-31
4364.92 3.055765e-13 5.613251e-31
4367.30 3.062599e-13 5.621744e-31
4369.68 3.060472e-13 5.614404e-31
4372.06 3.060247e-13 5.601260e-31
4374.44 3.033607e-13 5.562729e-31
4376.82 3.005499e-13 5.490511e-31
4379.20 2.980328e-13 5.436921e-31
4381.58 2.941761e-13 5.357187e-31
4383.96 2.923103e-13 5.312837e-31
4386.34 2.902979e-13 5.272370e-31
4388.72 2.876772e-13 5.223319e-31
4391.10 2.853303e-13 5.158663e-31
4393.48 2.836083e-13 5.119548e-31
4395.86 2.815578e-13 5.063797e-31
4398.24 2.787086e-13 5.009170e-31
4400.62 2.764580e-13 4.957684e-31
4403.00 2.744145e-13 4.909466e-31
4405.38 2.728627e-13 4.875907e-31
4407.76 2.711355e-13 4.833458e-31
4410.14 2.703679e-13 4.804727e-31
4412.52 2.705577e-13 4.798252e-31
4414.90 2.719307e-13 4.816625e-31
4417.28 2.733611e-13 4.829890e-31
4419.66 2.751577e-13 4.851716e-31
4422.04 2.773248e-13 4.866241e-31
4424.42 2.786631e-13 4.889892e-31
4426.80 2.803267e-13 4.924521e-31
4429.18 2.831322e-13 4.959865e-31
4431.56 2.855947e-13 5.000277e-31
4433.94 2.883916e-13 5.036239e-31
4436.32 2.923748e-13 5.100350e-31
4438.70 2.958431e-13 5.165184e-31
4441.08 2.988670e-13 5.206973e-31
4443.46 3.024319e-13 5.259299e-31
4445.84 3.060539e-13 5.316517e-31
4448.22 3.088795e-13 5.363737e-31
4450.60 3.115190e-13 5.417635e-31
4452.98 3.139742e-13 5.457743e-31
4455.36 3.171610e-13 5.502862e-31
4457.74 3.190428e-13 5.532234e-31
4460.12 3.199433e-13 5.556305e-31
4462.50 3.213659e-13 5.569662e-31
4464.88 3.233719e-13 5.592869e-31
4467.26 3.245081e-13 5.609252e-31
4469.64 3.260093e-13 5.616179e-31
4472.02 3.266808e-13 5.617390e-31
4474.40 3.262103e-13 5.606932e-31
4476.78 3.258964e-13 5.584051e-31
4479.16 3.267158e-13 5.580376e-31
4481.54 3.265558e-13 5.584981e-31
4483.92 3.262803e-13 5.576966e-31
4486.30 3.267290e-13 5.562519e-31
4488.68 3.264691e-13 5.556058e-31
4491.06 3.265708e-13 5.567328e-31
4493.44 3.273027e-13 5.570552e-31
4495.82 3.283767e-13 5.556863e-31
4498.20 3.286629e-13 5.547840e-31
4500.58 3.277025e-13 5.543018e-31
4502.96 3.262337e-13 5.514160e-31
4505.34 3.268516e-13 5.510189e-31
4507.72 3.283293e-13 5.519220e-31
4510.10 3.284551e-13 5.515472e-31
4512.48 3.270170e-13 5.482263e-31
4514.86 3.266335e-13 5.471072e-31
4517.24 3.268629e-13 5.489242e-31
4519.62 3.251724e-13 5.457762e-31
4522.00 3.233745e-13 5.433256e-31
4524.38 3.234633e-13 5.423979e-31
4526.76 3.234167e-13 5.419138e-31
4529.14 3.221016e-13 5.394614e-31
4531.52 3.209988e-13 5.355893e-31
4533.90 3.200293e-13 5.352041e-31
4536.28 3.197375e-13 5.346229e-31
4538.66 3.203346e-13 5.345347e-31
