# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 500                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.034                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-09-05T05:42:37            / 
# MJD      = 55809.2                        / 
# TXPL     = 12.5                           / days relative to date of explosion
# TMAX     = -5.3                           / phase, days relative to B-band maximum
# AIRMASS  = 1.88                           / 
# SEEING   = 1.21                           / 
# ISPHOTO  = 1                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3298.68 6.247928e-13 7.924217e-30
3301.06 6.144650e-13 7.579954e-30
3303.44 6.121245e-13 7.426638e-30
3305.82 6.129369e-13 7.338208e-30
3308.20 6.182427e-13 7.279974e-30
3310.58 6.162997e-13 7.081882e-30
3312.96 6.203429e-13 6.861834e-30
3315.34 6.260915e-13 6.624440e-30
3317.72 6.291939e-13 6.368597e-30
3320.10 6.324334e-13 6.148978e-30
3322.48 6.441593e-13 6.045615e-30
3324.86 6.537839e-13 5.991433e-30
3327.24 6.628744e-13 5.975526e-30
3329.62 6.795240e-13 6.042485e-30
3332.00 6.965056e-13 6.114861e-30
3334.38 6.996170e-13 6.091867e-30
3336.76 7.023987e-13 6.079516e-30
3339.14 7.116775e-13 6.088418e-30
3341.52 7.229843e-13 6.080055e-30
3343.90 7.280632e-13 6.009499e-30
3346.28 7.169987e-13 5.803910e-30
3348.66 7.076194e-13 5.617680e-30
3351.04 6.976920e-13 5.444433e-30
3353.42 6.842441e-13 5.266114e-30
3355.80 6.728967e-13 5.118442e-30
3358.18 6.612041e-13 4.978896e-30
3360.56 6.511331e-13 4.857008e-30
3362.94 6.441801e-13 4.763541e-30
3365.32 6.392871e-13 4.682851e-30
3367.70 6.381820e-13 4.631667e-30
3370.08 6.354658e-13 4.561169e-30
3372.46 6.280208e-13 4.441529e-30
3374.84 6.208912e-13 4.321677e-30
