# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 500                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.031                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-09-12T05:27:18            / 
# MJD      = 55816.2                        / 
# TXPL     = 19.5                           / days relative to date of explosion
# TMAX     = 1.7                            / phase, days relative to B-band maximum
# AIRMASS  = 1.99                           / 
# SEEING   = 1.24                           / 
# ISPHOTO  = 1                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3298.68 3.736913e-13 4.837293e-30
3301.06 3.677601e-13 4.651397e-30
3303.44 3.653349e-13 4.580338e-30
3305.82 3.693516e-13 4.593061e-30
3308.20 3.770212e-13 4.646328e-30
3310.58 3.766847e-13 4.573061e-30
3312.96 3.772191e-13 4.432807e-30
3315.34 3.807004e-13 4.294191e-30
3317.72 3.812349e-13 4.142513e-30
3320.10 3.815548e-13 4.005051e-30
3322.48 3.886287e-13 3.958951e-30
3324.86 3.952380e-13 3.962780e-30
3327.24 4.015725e-13 3.982009e-30
3329.62 4.130273e-13 4.070507e-30
3332.00 4.232326e-13 4.162568e-30
3334.38 4.292043e-13 4.222750e-30
3336.76 4.362997e-13 4.277899e-30
3339.14 4.405314e-13 4.293545e-30
3341.52 4.481693e-13 4.318591e-30
3343.90 4.523582e-13 4.286910e-30
3346.28 4.538365e-13 4.210429e-30
3348.66 4.482951e-13 4.076592e-30
3351.04 4.466627e-13 3.983244e-30
3353.42 4.476548e-13 3.925704e-30
3355.80 4.481028e-13 3.861802e-30
3358.18 4.478492e-13 3.795788e-30
3360.56 4.445512e-13 3.717421e-30
3362.94 4.384179e-13 3.640343e-30
3365.32 4.403452e-13 3.632723e-30
3367.70 4.389619e-13 3.582634e-30
3370.08 4.335478e-13 3.502711e-30
3372.46 4.293505e-13 3.429272e-30
3374.84 4.291169e-13 3.376873e-30
3377.22 4.296742e-13 3.323278e-30
3379.60 4.259977e-13 3.238445e-30
3381.98 4.250933e-13 3.179898e-30
3384.36 4.270849e-13 3.139928e-30
3386.74 4.330232e-13 3.136180e-30
3389.12 4.376434e-13 3.138749e-30
3391.50 4.462085e-13 3.163376e-30
3393.88 4.528522e-13 3.185044e-30
3396.26 4.618534e-13 3.221534e-30
3398.64 4.625658e-13 3.201836e-30
3401.02 4.623262e-13 3.161322e-30
3403.40 4.651415e-13 3.138743e-30
3405.78 4.717763e-13 3.135027e-30
3408.16 4.749667e-13 3.109509e-30
3410.54 4.788434e-13 3.094140e-30
3412.92 4.782610e-13 3.054181e-30
3415.30 4.809226e-13 3.044099e-30
3417.68 4.795560e-13 3.012612e-30
3420.06 4.772346e-13 2.979036e-30
3422.44 4.795816e-13 2.973307e-30
3424.82 4.763919e-13 2.937434e-30
3427.20 4.761048e-13 2.916574e-30
3429.58 4.787740e-13 2.913944e-30
3431.96 4.810872e-13 2.913011e-30
3434.34 4.821854e-13 2.899820e-30
3436.72 4.906061e-13 2.930334e-30
3439.10 4.939146e-13 2.923831e-30
3441.48 5.002724e-13 2.926107e-30
3443.86 5.094867e-13 2.940524e-30
3446.24 5.127362e-13 2.922850e-30
3448.62 5.164112e-13 2.904537e-30
3451.00 5.211907e-13 2.894117e-30
3453.38 5.244252e-13 2.878942e-30
3455.76 5.286479e-13 2.877279e-30
3458.14 5.306845e-13 2.864544e-30
3460.52 5.295261e-13 2.839545e-30
3462.90 5.275385e-13 2.811978e-30
3465.28 5.290356e-13 2.805658e-30
3467.66 5.313636e-13 2.802669e-30
3470.04 5.325854e-13 2.792720e-30
3472.42 5.333166e-13 2.775336e-30
3474.80 5.322036e-13 2.749139e-30
3477.18 5.344129e-13 2.742360e-30
3479.56 5.369126e-13 2.742321e-30
3481.94 5.406924e-13 2.742039e-30
3484.32 5.437749e-13 2.733884e-30
3486.70 5.476941e-13 2.730912e-30
3489.08 5.563828e-13 2.748851e-30
3491.46 5.624217e-13 2.754350e-30
3493.84 5.720214e-13 2.778827e-30
3496.22 5.826955e-13 2.809550e-30
3498.60 5.912556e-13 2.835592e-30
3500.98 6.002761e-13 2.869238e-30
3503.36 6.103789e-13 2.905926e-30
3505.74 6.195869e-13 2.936760e-30
3508.12 6.333582e-13 2.992931e-30
3510.50 6.449291e-13 3.034351e-30
3512.88 6.526221e-13 3.060893e-30
3515.26 6.602127e-13 3.093352e-30
3517.64 6.681486e-13 3.123889e-30
3520.02 6.772712e-13 3.154185e-30
3522.40 6.847735e-13 3.169951e-30
3524.78 6.906250e-13 3.173611e-30
3527.16 6.960188e-13 3.172861e-30
3529.54 7.025644e-13 3.170615e-30
3531.92 7.056435e-13 3.152356e-30
3534.30 7.112462e-13 3.148411e-30
3536.68 7.161264e-13 3.139387e-30
3539.06 7.232929e-13 3.141944e-30
3541.44 7.329586e-13 3.155487e-30
3543.82 7.368227e-13 3.149981e-30
3546.20 7.403412e-13 3.144165e-30
3548.58 7.433887e-13 3.135289e-30
3550.96 7.498213e-13 3.141950e-30
3553.34 7.563285e-13 3.154271e-30
3555.72 7.617369e-13 3.167619e-30
3558.10 7.666041e-13 3.181430e-30
3560.48 7.713903e-13 3.194675e-30
3562.86 7.758070e-13 3.207457e-30
3565.24 7.807273e-13 3.221610e-30
3567.62 7.877702e-13 3.246382e-30
3570.00 7.909587e-13 3.256893e-30
3572.38 7.949115e-13 3.276525e-30
3574.76 8.004812e-13 3.296819e-30
3577.14 8.051998e-13 3.312800e-30
3579.52 8.107147e-13 3.327542e-30
3581.90 8.132265e-13 3.326905e-30
3584.28 8.171790e-13 3.332707e-30
3586.66 8.178675e-13 3.321823e-30
3589.04 8.162632e-13 3.297433e-30
3591.42 8.145299e-13 3.278171e-30
3593.80 8.122044e-13 3.250661e-30
3596.18 8.068027e-13 3.206516e-30
3598.56 7.994565e-13 3.154930e-30
3600.94 7.909176e-13 3.093590e-30
3603.32 7.836150e-13 3.035931e-30
3605.70 7.781201e-13 2.988978e-30
3608.08 7.723064e-13 2.947974e-30
3610.46 7.675404e-13 2.905571e-30
3612.84 7.654328e-13 2.876851e-30
3615.22 7.630282e-13 2.846759e-30
3617.60 7.617042e-13 2.823563e-30
3619.98 7.597982e-13 2.797038e-30
3622.36 7.624448e-13 2.791296e-30
3624.74 7.659486e-13 2.795936e-30
3627.12 7.670765e-13 2.786893e-30
3629.50 7.730727e-13 2.791378e-30
3631.88 7.820881e-13 2.808547e-30
3634.26 7.918145e-13 2.830299e-30
3636.64 7.995252e-13 2.851525e-30
3639.02 8.042215e-13 2.863088e-30
3641.40 8.077212e-13 2.869080e-30
3643.78 8.092965e-13 2.867605e-30
3646.16 8.065054e-13 2.846652e-30
3648.54 8.041062e-13 2.828647e-30
3650.92 8.015074e-13 2.814287e-30
3653.30 8.005117e-13 2.800258e-30
3655.68 7.980655e-13 2.781069e-30
3658.06 7.985997e-13 2.767301e-30
3660.44 7.994297e-13 2.753181e-30
3662.82 8.040161e-13 2.747562e-30
3665.20 8.046290e-13 2.730498e-30
3667.58 8.040425e-13 2.705842e-30
3669.96 8.012604e-13 2.674756e-30
3672.34 7.978951e-13 2.641507e-30
3674.72 7.894314e-13 2.592532e-30
3677.10 7.756023e-13 2.530014e-30
3679.48 7.619982e-13 2.465504e-30
3681.86 7.449735e-13 2.393980e-30
3684.24 7.295322e-13 2.331445e-30
3686.62 7.124749e-13 2.263324e-30
3689.00 6.940207e-13 2.201594e-30
3691.38 6.720982e-13 2.124250e-30
3693.76 6.499977e-13 2.049240e-30
3696.14 6.265765e-13 1.969848e-30
3698.52 6.055956e-13 1.898380e-30
3700.90 5.854635e-13 1.829988e-30
3703.28 5.679936e-13 1.767653e-30
3705.66 5.525233e-13 1.713600e-30
