# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 500                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.047                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-09-29T05:12:35            / 
# MJD      = 55833.2                        / 
# TXPL     = 36.5                           / days relative to date of explosion
# TMAX     = 18.7                           / phase, days relative to B-band maximum
# AIRMASS  = 2.6                            / 
# SEEING   = 1.37                           / 
# ISPHOTO  = 0                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3298.68 3.577869e-14 7.849018e-30
3301.06 3.337051e-14 7.298270e-30
3303.44 2.953631e-14 6.877990e-30
3305.82 3.322241e-14 7.073073e-30
3308.20 3.369795e-14 6.854898e-30
3310.58 3.364325e-14 6.552558e-30
3312.96 3.151297e-14 5.986755e-30
3315.34 3.460123e-14 5.690292e-30
3317.72 3.292225e-14 5.033103e-30
3320.10 3.103335e-14 4.608585e-30
3322.48 3.090874e-14 4.330797e-30
3324.86 3.298151e-14 4.288295e-30
3327.24 3.193579e-14 4.045721e-30
3329.62 3.336431e-14 4.052238e-30
3332.00 3.517848e-14 4.077000e-30
3334.38 3.322988e-14 3.880064e-30
3336.76 3.304755e-14 3.863645e-30
3339.14 3.503172e-14 3.813622e-30
3341.52 3.453842e-14 3.601761e-30
3343.90 3.491034e-14 3.451032e-30
3346.28 3.437910e-14 3.232810e-30
3348.66 3.261948e-14 3.004616e-30
3351.04 3.356221e-14 2.859586e-30
3353.42 3.452137e-14 2.780716e-30
3355.80 3.315916e-14 2.635122e-30
3358.18 3.231959e-14 2.546135e-30
3360.56 3.163447e-14 2.444076e-30
3362.94 3.300428e-14 2.483038e-30
3365.32 3.449950e-14 2.524024e-30
3367.70 3.611265e-14 2.581940e-30
3370.08 3.573368e-14 2.532704e-30
3372.46 3.660873e-14 2.536717e-30
3374.84 3.539284e-14 2.405845e-30
3377.22 3.518143e-14 2.325300e-30
3379.60 3.684068e-14 2.287256e-30
3381.98 3.510061e-14 2.172060e-30
3384.36 4.194017e-14 2.269926e-30
3386.74 3.967437e-14 2.126410e-30
3389.12 3.644373e-14 2.052193e-30
3391.50 3.871367e-14 2.082620e-30
3393.88 4.261468e-14 2.172733e-30
3396.26 4.127375e-14 2.080838e-30
3398.64 4.301351e-14 2.101836e-30
3401.02 4.277471e-14 2.039998e-30
3403.40 4.250168e-14 1.965594e-30
3405.78 4.203059e-14 1.903677e-30
3408.16 4.432945e-14 1.925128e-30
3410.54 4.505182e-14 1.879253e-30
3412.92 4.325360e-14 1.777882e-30
3415.30 4.340643e-14 1.729256e-30
3417.68 4.528602e-14 1.723912e-30
3420.06 4.662364e-14 1.727985e-30
3422.44 4.553368e-14 1.660726e-30
3424.82 4.628032e-14 1.650282e-30
3427.20 4.655204e-14 1.620127e-30
3429.58 4.622163e-14 1.577274e-30
3431.96 4.837862e-14 1.601787e-30
3434.34 4.868202e-14 1.592461e-30
3436.72 4.576591e-14 1.510581e-30
3439.10 4.752207e-14 1.524211e-30
3441.48 4.650463e-14 1.476455e-30
3443.86 4.740386e-14 1.465111e-30
3446.24 4.790218e-14 1.455622e-30
3448.62 4.849023e-14 1.435049e-30
3451.00 4.770470e-14 1.394899e-30
3453.38 4.964809e-14 1.404012e-30
3455.76 4.967220e-14 1.394670e-30
3458.14 4.765389e-14 1.329537e-30
3460.52 4.913445e-14 1.344983e-30
3462.90 4.866639e-14 1.320828e-30
3465.28 5.049313e-14 1.339549e-30
3467.66 5.050269e-14 1.320250e-30
3470.04 5.000153e-14 1.303375e-30
3472.42 5.013870e-14 1.282589e-30
3474.80 4.905526e-14 1.246166e-30
3477.18 4.794161e-14 1.221605e-30
3479.56 4.796898e-14 1.204586e-30
3481.94 4.876136e-14 1.194844e-30
3484.32 5.082425e-14 1.207923e-30
3486.70 4.919784e-14 1.168444e-30
3489.08 5.093511e-14 1.178880e-30
3491.46 5.242746e-14 1.195712e-30
3493.84 5.277937e-14 1.183205e-30
3496.22 5.322178e-14 1.172190e-30
3498.60 5.500787e-14 1.183223e-30
3500.98 5.723140e-14 1.209925e-30
3503.36 5.853894e-14 1.216460e-30
3505.74 5.933187e-14 1.214687e-30
3508.12 6.106203e-14 1.216822e-30
3510.50 6.145794e-14 1.210661e-30
3512.88 6.278630e-14 1.212539e-30
3515.26 6.474362e-14 1.225113e-30
3517.64 6.584789e-14 1.220978e-30
3520.02 6.517881e-14 1.199122e-30
3522.40 6.726594e-14 1.211529e-30
3524.78 6.688362e-14 1.186285e-30
3527.16 6.776631e-14 1.181091e-30
3529.54 6.698397e-14 1.161467e-30
3531.92 6.757602e-14 1.149220e-30
3534.30 6.872892e-14 1.158792e-30
3536.68 7.057146e-14 1.178552e-30
3539.06 7.022037e-14 1.172583e-30
3541.44 7.081093e-14 1.176549e-30
3543.82 7.143135e-14 1.175331e-30
3546.20 7.268969e-14 1.185991e-30
3548.58 7.390287e-14 1.192815e-30
3550.96 7.418718e-14 1.190611e-30
3553.34 7.500953e-14 1.192661e-30
3555.72 7.501632e-14 1.180786e-30
3558.10 7.582809e-14 1.180196e-30
3560.48 7.628749e-14 1.176339e-30
3562.86 7.584409e-14 1.163062e-30
3565.24 7.617687e-14 1.157168e-30
3567.62 7.496320e-14 1.122439e-30
3570.00 7.689748e-14 1.128353e-30
3572.38 7.727715e-14 1.117246e-30
3574.76 7.878907e-14 1.123974e-30
3577.14 7.803977e-14 1.106046e-30
3579.52 7.914044e-14 1.109446e-30
3581.90 7.897843e-14 1.092861e-30
3584.28 8.038688e-14 1.102327e-30
3586.66 8.115468e-14 1.101954e-30
3589.04 8.090012e-14 1.094752e-30
3591.42 8.073627e-14 1.085324e-30
3593.80 7.964376e-14 1.069244e-30
3596.18 7.944872e-14 1.063537e-30
3598.56 7.897371e-14 1.053047e-30
3600.94 7.891705e-14 1.048737e-30
3603.32 7.853273e-14 1.040938e-30
3605.70 7.639998e-14 1.014646e-30
3608.08 7.475941e-14 9.902483e-31
3610.46 7.473930e-14 9.891662e-31
3612.84 7.506334e-14 9.883942e-31
