# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 250                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.044                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-11-23T15:29:39            / 
# MJD      = 55888.6                        / 
# TXPL     = 91.9                           / days relative to date of explosion
# TMAX     = 74.1                           / phase, days relative to B-band maximum
# AIRMASS  = 2.25                           / 
# SEEING   = 1.29                           / 
# ISPHOTO  = 0                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3298.68 4.055569e-15 6.263583e-31
3301.06 5.048814e-15 6.061414e-31
3303.44 4.630200e-15 5.958640e-31
3305.82 4.740983e-15 5.848530e-31
3308.20 4.188452e-15 6.351818e-31
3310.58 4.274612e-15 6.116203e-31
3312.96 2.123319e-15 5.034328e-31
3315.34 2.801695e-15 4.943214e-31
3317.72 2.969908e-15 4.542415e-31
3320.10 4.238218e-15 4.776679e-31
3322.48 4.275261e-15 4.591618e-31
3324.86 4.430405e-15 4.583173e-31
3327.24 4.023402e-15 4.036288e-31
3329.62 3.422371e-15 3.951712e-31
3332.00 3.978285e-15 4.293126e-31
3334.38 4.366348e-15 4.144702e-31
3336.76 4.910101e-15 4.575762e-31
3339.14 4.983594e-15 4.572148e-31
3341.52 4.009513e-15 4.260079e-31
3343.90 4.913831e-15 4.163708e-31
3346.28 4.722672e-15 4.370685e-31
3348.66 3.683451e-15 3.995967e-31
3351.04 4.163836e-15 3.966596e-31
3353.42 4.090294e-15 3.839446e-31
3355.80 3.234449e-15 3.589724e-31
3358.18 4.350042e-15 3.586570e-31
3360.56 4.657172e-15 3.745290e-31
3362.94 5.271322e-15 3.512904e-31
3365.32 4.859434e-15 3.407827e-31
3367.70 3.953107e-15 3.193758e-31
3370.08 4.219350e-15 3.460844e-31
3372.46 3.379607e-15 3.204251e-31
3374.84 4.588738e-15 3.353595e-31
3377.22 4.594301e-15 3.251870e-31
