# OBJECT   = SN2011fe                       / object name
# RA       = 14:03:05.73                    / object right ascension
# DEC      = 54:16:25.18                    / object declination
# EQUINOX  = 2000.0                         / 
# RADECSYS = FK5                            / coordinate system
# EXPTIME  = 600                            / exposure time [s]
# FLXUNITS = erg/s/cm2/A                    / flux units
# FLXERROR = 0.039                          / achromatic abs. flux calibration accuracy [mag]
# MWEBV    = 0.0088                         / MW E(B-V) correction applied
# MWRV     = 3.1                            / R_V value used for MW E(B-V) correction
# UTC      = 2011-12-16T15:05:39            / 
# MJD      = 55911.6                        / 
# TXPL     = 114.9                          / days relative to date of explosion
# TMAX     = 97.1                           / phase, days relative to B-band maximum
# AIRMASS  = 1.71                           / 
# SEEING   = 1.38                           / 
# ISPHOTO  = 0                              / photometric night?
# ORIGIN   = The Nearby Supernova Factory   / 
# OBSERVAT = University of Hawaii 2.2m      / 
# TELESCOP = 2.2m UH                        / 
# INSTRUME = SNIFS                          / 
#
# lbda  flux         variance    
3298.68 2.261637e-15 1.630422e-31
3301.06 1.719642e-15 1.536514e-31
3303.44 1.729638e-15 1.541547e-31
3305.82 2.311493e-15 1.588652e-31
3308.20 2.577482e-15 1.586322e-31
3310.58 2.763056e-15 1.601893e-31
3312.96 2.110006e-15 1.517155e-31
3315.34 2.092421e-15 1.428430e-31
3317.72 2.221068e-15 1.376867e-31
3320.10 2.518554e-15 1.358852e-31
3322.48 2.057062e-15 1.286876e-31
3324.86 2.092567e-15 1.253924e-31
3327.24 2.244442e-15 1.287465e-31
3329.62 1.869394e-15 1.260728e-31
3332.00 2.533910e-15 1.317088e-31
3334.38 2.158280e-15 1.315727e-31
3336.76 2.091597e-15 1.271827e-31
3339.14 3.002987e-15 1.346483e-31
3341.52 2.130911e-15 1.250781e-31
3343.90 1.955096e-15 1.200589e-31
3346.28 2.295758e-15 1.172958e-31
3348.66 2.011015e-15 1.117214e-31
3351.04 2.701424e-15 1.143362e-31
3353.42 2.630792e-15 1.101583e-31
3355.80 2.138031e-15 1.038485e-31
3358.18 2.043236e-15 1.023102e-31
3360.56 1.970438e-15 1.004805e-31
3362.94 2.203712e-15 1.021980e-31
3365.32 2.125630e-15 1.029997e-31
3367.70 2.553021e-15 1.040403e-31
3370.08 2.248704e-15 1.012574e-31
3372.46 2.425852e-15 1.008443e-31
3374.84 2.584535e-15 1.009690e-31
3377.22 2.395631e-15 9.660720e-32
3379.60 2.187520e-15 9.311546e-32
3381.98 2.231655e-15 9.176503e-32
3384.36 2.573090e-15 9.134894e-32
3386.74 2.242490e-15 8.663533e-32
3389.12 2.461498e-15 8.679028e-32
3391.50 2.839974e-15 9.054939e-32
3393.88 3.024392e-15 9.060750e-32
3396.26 3.088944e-15 9.031193e-32
3398.64 3.438796e-15 9.132805e-32
3401.02 3.019911e-15 8.789798e-32
3403.40 2.956635e-15 8.566280e-32
3405.78 2.906746e-15 8.427878e-32
3408.16 3.598332e-15 8.789167e-32
3410.54 3.327966e-15 8.573358e-32
3412.92 3.384644e-15 8.434585e-32
3415.30 3.882853e-15 8.637307e-32
3417.68 3.904264e-15 8.667073e-32
3420.06 3.958240e-15 8.559037e-32
3422.44 4.671202e-15 8.768144e-32
3424.82 4.603123e-15 8.600166e-32
3427.20 4.434389e-15 8.563457e-32
3429.58 4.795117e-15 8.663539e-32
3431.96 4.635318e-15 8.414487e-32
3434.34 4.612631e-15 8.392850e-32
3436.72 5.000353e-15 8.333897e-32
3439.10 5.225800e-15 8.430035e-32
3441.48 4.795242e-15 8.130133e-32
3443.86 5.017914e-15 8.049905e-32
3446.24 4.875705e-15 7.883922e-32
3448.62 5.149197e-15 8.013157e-32
3451.00 5.486309e-15 8.119490e-32
3453.38 5.125714e-15 7.859524e-32
3455.76 5.034870e-15 7.695992e-32
3458.14 4.844329e-15 7.560222e-32
3460.52 4.634838e-15 7.394751e-32
3462.90 4.519282e-15 7.262090e-32
3465.28 4.501973e-15 7.187687e-32
3467.66 4.622043e-15 7.344255e-32
3470.04 4.899017e-15 7.442690e-32
3472.42 4.897521e-15 7.337518e-32
3474.80 4.813848e-15 7.274470e-32
3477.18 4.741464e-15 7.210544e-32
3479.56 4.841737e-15 7.258763e-32
3481.94 4.706523e-15 7.113485e-32
3484.32 4.672053e-15 7.055733e-32
3486.70 4.713923e-15 6.973696e-32
3489.08 4.411257e-15 6.656103e-32
3491.46 4.540069e-15 6.682383e-32
3493.84 4.684760e-15 6.772755e-32
3496.22 4.658120e-15 6.681027e-32
3498.60 4.700888e-15 6.669981e-32
3500.98 4.675634e-15 6.636556e-32
3503.36 4.570619e-15 6.595194e-32
3505.74 4.764324e-15 6.760120e-32
3508.12 4.882728e-15 6.731341e-32
3510.50 4.375143e-15 6.397829e-32
3512.88 4.397669e-15 6.394106e-32
3515.26 4.559267e-15 6.510093e-32
3517.64 4.605039e-15 6.489064e-32
3520.02 4.679438e-15 6.446588e-32
3522.40 4.887716e-15 6.452153e-32
3524.78 5.004085e-15 6.361892e-32
3527.16 5.055302e-15 6.336886e-32
3529.54 5.491584e-15 6.454729e-32
3531.92 5.745431e-15 6.530429e-32
3534.30 5.659180e-15 6.509741e-32
3536.68 5.468562e-15 6.350898e-32
3539.06 5.706564e-15 6.367266e-32
3541.44 5.835492e-15 6.438959e-32
3543.82 6.239383e-15 6.566050e-32
3546.20 6.643671e-15 6.671221e-32
3548.58 6.556306e-15 6.622146e-32
3550.96 6.507896e-15 6.562612e-32
3553.34 6.507525e-15 6.514749e-32
3555.72 6.637224e-15 6.554950e-32
3558.10 6.556764e-15 6.540345e-32
3560.48 6.795474e-15 6.617543e-32
3562.86 6.894888e-15 6.678507e-32
3565.24 6.816647e-15 6.637554e-32
3567.62 6.804704e-15 6.650068e-32
3570.00 6.848899e-15 6.599184e-32
3572.38 6.580743e-15 6.543698e-32
3574.76 6.411415e-15 6.464462e-32
3577.14 6.207936e-15 6.430822e-32
3579.52 6.421073e-15 6.376081e-32
3581.90 6.355164e-15 6.340661e-32
3584.28 6.410844e-15 6.332765e-32
3586.66 6.803640e-15 6.454183e-32
3589.04 7.218297e-15 6.635379e-32
3591.42 7.268531e-15 6.649060e-32
3593.80 7.350883e-15 6.671265e-32
3596.18 7.555660e-15 6.680002e-32
3598.56 7.639308e-15 6.629617e-32
3600.94 7.850503e-15 6.609949e-32
3603.32 7.654581e-15 6.480696e-32
3605.70 7.396835e-15 6.289020e-32
3608.08 7.519862e-15 6.242120e-32
3610.46 7.648061e-15 6.236256e-32
3612.84 7.511365e-15 6.149423e-32
3615.22 7.411034e-15 6.100011e-32
3617.60 7.500621e-15 6.055837e-32
3619.98 7.680108e-15 6.032510e-32
3622.36 7.404603e-15 5.905844e-32
3624.74 7.251809e-15 5.775069e-32
3627.12 7.396948e-15 5.810927e-32
3629.50 7.359057e-15 5.722367e-32
3631.88 7.149213e-15 5.607057e-32
3634.26 7.169615e-15 5.574226e-32
3636.64 7.102359e-15 5.560342e-32
3639.02 6.900618e-15 5.440092e-32
3641.40 6.610624e-15 5.338122e-32
3643.78 6.658107e-15 5.345712e-32
3646.16 6.652210e-15 5.257005e-32
3648.54 6.661090e-15 5.285567e-32
3650.92 6.765754e-15 5.331236e-32
3653.30 6.862732e-15 5.370386e-32
3655.68 6.988796e-15 5.383655e-32
3658.06 7.014408e-15 5.376243e-32
3660.44 7.299177e-15 5.433687e-32
3662.82 7.435275e-15 5.444444e-32
3665.20 7.480689e-15 5.446816e-32
3667.58 7.657362e-15 5.482126e-32
3669.96 7.832674e-15 5.474906e-32
3672.34 8.173234e-15 5.555954e-32
3674.72 8.472492e-15 5.625146e-32
3677.10 8.777651e-15 5.612200e-32
3679.48 8.883848e-15 5.611981e-32
3681.86 9.155212e-15 5.653364e-32
3684.24 9.782356e-15 5.800217e-32
3686.62 9.926462e-15 5.820899e-32
3689.00 1.017342e-14 5.861753e-32
3691.38 1.056155e-14 5.968932e-32
3693.76 1.080497e-14 5.995421e-32
3696.14 1.073135e-14 5.932512e-32
3698.52 1.116261e-14 5.993071e-32
3700.90 1.141950e-14 6.109374e-32
3703.28 1.146436e-14 6.069520e-32
3705.66 1.151571e-14 6.030253e-32
3708.04 1.187134e-14 6.069832e-32
3710.42 1.187421e-14 6.043836e-32
3712.80 1.178128e-14 6.019903e-32
3715.18 1.175399e-14 5.987463e-32
3717.56 1.171810e-14 5.970972e-32
3719.94 1.215418e-14 6.049283e-32
3722.32 1.249429e-14 6.097923e-32
3724.70 1.234182e-14 6.066200e-32
3727.08 1.232635e-14 6.110924e-32
3729.46 1.286012e-14 6.255204e-32
3731.84 1.297207e-14 6.246429e-32
3734.22 1.292562e-14 6.166539e-32
3736.60 1.301839e-14 6.190885e-32
3738.98 1.291195e-14 6.193249e-32
3741.36 1.276214e-14 6.137322e-32
3743.74 1.264129e-14 6.088614e-32
3746.12 1.278351e-14 6.057235e-32
3748.50 1.281474e-14 5.993058e-32
3750.88 1.261111e-14 5.904713e-32
3753.26 1.252254e-14 5.904080e-32
3755.64 1.231867e-14 5.793593e-32
3758.02 1.185891e-14 5.632353e-32
3760.40 1.127455e-14 5.424229e-32
3762.78 1.077911e-14 5.231886e-32
3765.16 1.017051e-14 5.007186e-32
3767.54 9.780496e-15 4.896867e-32
3769.92 9.192420e-15 4.688102e-32
3772.30 8.401208e-15 4.439223e-32
3774.68 7.890626e-15 4.265669e-32
3777.06 7.580291e-15 4.152191e-32
3779.44 7.132854e-15 4.034552e-32
3781.82 6.803420e-15 3.902773e-32
3784.20 6.364526e-15 3.714592e-32
3786.58 6.095789e-15 3.579658e-32
3788.96 5.557472e-15 3.404445e-32
3791.34 5.295648e-15 3.304377e-32
3793.72 5.094682e-15 3.205707e-32
3796.10 4.656118e-15 3.063229e-32
3798.48 4.236345e-15 2.917804e-32
3800.86 4.032068e-15 2.831777e-32
3803.24 3.873853e-15 2.792643e-32
3805.62 3.691184e-15 2.718697e-32
3808.00 3.503849e-15 2.633280e-32
3810.38 3.343760e-15 2.517158e-32
3812.76 3.318823e-15 2.449798e-32
3815.14 3.286005e-15 2.436466e-32
3817.52 3.134353e-15 2.384407e-32
3819.90 2.929433e-15 2.300706e-32
3822.28 2.829834e-15 2.237649e-32
3824.66 2.871966e-15 2.238214e-32
3827.04 2.882662e-15 2.243726e-32
3829.42 2.985431e-15 2.260249e-32
3831.80 3.026543e-15 2.229205e-32
3834.18 2.989638e-15 2.209558e-32
3836.56 3.156177e-15 2.224399e-32
3838.94 3.237039e-15 2.209600e-32
3841.32 3.350937e-15 2.245827e-32
3843.70 3.546163e-15 2.310654e-32
3846.08 3.866756e-15 2.407068e-32
3848.46 4.047779e-15 2.439911e-32
3850.84 4.131774e-15 2.439428e-32
3853.22 4.376053e-15 2.501962e-32
3855.60 4.590031e-15 2.557607e-32
3857.98 4.772053e-15 2.596771e-32
3860.36 4.922880e-15 2.637101e-32
3862.74 5.137281e-15 2.688656e-32
3865.12 5.502874e-15 2.776769e-32
3867.50 5.838220e-15 2.866241e-32
3869.88 6.232721e-15 2.953590e-32
3872.26 6.556698e-15 3.054961e-32
3874.64 6.900027e-15 3.146669e-32
3877.02 7.025209e-15 3.197413e-32
3879.40 7.433083e-15 3.291701e-32
3881.78 7.819312e-15 3.407250e-32
3884.16 8.361723e-15 3.560111e-32
3886.54 8.927779e-15 3.716435e-32
3888.92 9.454499e-15 3.879354e-32
3891.30 1.001595e-14 4.014757e-32
3893.68 1.041867e-14 4.103806e-32
3896.06 1.094457e-14 4.281958e-32
3898.44 1.128796e-14 4.403774e-32
3900.82 1.157377e-14 4.465741e-32
3903.20 1.185165e-14 4.533623e-32
3905.58 1.226299e-14 4.623374e-32
3907.96 1.292743e-14 4.758630e-32
3910.34 1.319023e-14 4.804540e-32
3912.72 1.341574e-14 4.822407e-32
3915.10 1.384227e-14 4.855778e-32
3917.48 1.408139e-14 4.885414e-32
3919.86 1.449660e-14 4.943319e-32
3922.24 1.481106e-14 4.954996e-32
3924.62 1.496669e-14 4.977184e-32
3927.00 1.528409e-14 4.994218e-32
3929.38 1.527101e-14 4.915300e-32
3931.76 1.533877e-14 4.864204e-32
3934.14 1.561501e-14 4.895008e-32
3936.52 1.602147e-14 4.984901e-32
3938.90 1.650877e-14 5.108275e-32
3941.28 1.702073e-14 5.214462e-32
3943.66 1.746438e-14 5.309124e-32
3946.04 1.785805e-14 5.408196e-32
3948.42 1.808917e-14 5.464173e-32
3950.80 1.867363e-14 5.569729e-32
3953.18 1.893047e-14 5.639737e-32
3955.56 1.929813e-14 5.733551e-32
3957.94 1.960192e-14 5.793825e-32
3960.32 1.979960e-14 5.798938e-32
3962.70 1.979390e-14 5.785813e-32
3965.08 1.949983e-14 5.718891e-32
3967.46 1.930066e-14 5.649468e-32
3969.84 1.914401e-14 5.617898e-32
3972.22 1.949016e-14 5.720144e-32
3974.60 2.012238e-14 5.897328e-32
3976.98 2.040362e-14 5.954261e-32
3979.36 2.026499e-14 5.932255e-32
3981.74 2.021131e-14 5.927590e-32
3984.12 2.029273e-14 5.927648e-32
3986.50 2.022313e-14 5.891876e-32
3988.88 2.002182e-14 5.848975e-32
3991.26 1.999396e-14 5.808077e-32
3993.64 2.004109e-14 5.800003e-32
3996.02 1.990001e-14 5.791685e-32
3998.40 1.993747e-14 5.795303e-32
4000.78 2.000889e-14 5.780555e-32
4003.16 1.977015e-14 5.760918e-32
4005.54 1.939014e-14 5.731531e-32
4007.92 1.907894e-14 5.723680e-32
4010.30 1.894611e-14 5.754766e-32
4012.68 1.922316e-14 5.902038e-32
4015.06 1.937411e-14 6.037960e-32
4017.44 1.897940e-14 6.014632e-32
4019.82 1.871656e-14 5.998414e-32
4022.20 1.875758e-14 6.020662e-32
4024.58 1.869683e-14 5.997988e-32
4026.96 1.858605e-14 5.916529e-32
4029.34 1.841821e-14 5.770965e-32
4031.72 1.817165e-14 5.588109e-32
4034.10 1.790826e-14 5.434250e-32
4036.48 1.744828e-14 5.243213e-32
4038.86 1.697638e-14 5.050217e-32
4041.24 1.687924e-14 4.927925e-32
4043.62 1.675349e-14 4.800359e-32
4046.00 1.634951e-14 4.615545e-32
4048.38 1.573057e-14 4.451934e-32
4050.76 1.509930e-14 4.275684e-32
4053.14 1.466466e-14 4.122741e-32
4055.52 1.426840e-14 3.991628e-32
4057.90 1.399200e-14 3.905407e-32
4060.28 1.363296e-14 3.801980e-32
4062.66 1.336960e-14 3.732970e-32
4065.04 1.323414e-14 3.698663e-32
4067.42 1.299916e-14 3.641839e-32
4069.80 1.304358e-14 3.617161e-32
4072.18 1.271192e-14 3.528934e-32
4074.56 1.242337e-14 3.449713e-32
4076.94 1.261716e-14 3.472706e-32
4079.32 1.269037e-14 3.483899e-32
4081.70 1.272233e-14 3.518307e-32
4084.08 1.276332e-14 3.526152e-32
4086.46 1.252522e-14 3.491686e-32
4088.84 1.254720e-14 3.497517e-32
4091.22 1.266626e-14 3.502099e-32
4093.60 1.247582e-14 3.473697e-32
4095.98 1.258304e-14 3.488201e-32
4098.36 1.257686e-14 3.495150e-32
4100.74 1.240426e-14 3.459789e-32
4103.12 1.223824e-14 3.450662e-32
4105.50 1.218417e-14 3.457445e-32
4107.88 1.207184e-14 3.467082e-32
4110.26 1.188987e-14 3.455521e-32
4112.64 1.161295e-14 3.422071e-32
4115.02 1.141576e-14 3.412266e-32
4117.40 1.130744e-14 3.427930e-32
4119.78 1.149137e-14 3.494821e-32
4122.16 1.152765e-14 3.530022e-32
4124.54 1.126778e-14 3.489502e-32
4126.92 1.115225e-14 3.487962e-32
4129.30 1.129678e-14 3.486789e-32
4131.68 1.130754e-14 3.471662e-32
4134.06 1.124651e-14 3.423340e-32
4136.44 1.115704e-14 3.415998e-32
4138.82 1.131805e-14 3.422515e-32
4141.20 1.130999e-14 3.382443e-32
4143.58 1.145010e-14 3.365189e-32
4145.96 1.161714e-14 3.354834e-32
4148.34 1.168731e-14 3.329083e-32
4150.72 1.191926e-14 3.340696e-32
4153.10 1.222437e-14 3.355380e-32
4155.48 1.235169e-14 3.357466e-32
4157.86 1.232628e-14 3.357347e-32
4160.24 1.253369e-14 3.347121e-32
4162.62 1.271478e-14 3.359611e-32
4165.00 1.279593e-14 3.356652e-32
4167.38 1.285945e-14 3.327309e-32
4169.76 1.280905e-14 3.310179e-32
4172.14 1.309283e-14 3.355372e-32
4174.52 1.331008e-14 3.364436e-32
4176.90 1.323573e-14 3.341396e-32
4179.28 1.338343e-14 3.355642e-32
4181.66 1.348175e-14 3.350955e-32
4184.04 1.332763e-14 3.313614e-32
4186.42 1.337813e-14 3.303000e-32
4188.80 1.358399e-14 3.326899e-32
4191.18 1.368076e-14 3.340770e-32
4193.56 1.384662e-14 3.379928e-32
4195.94 1.394604e-14 3.369374e-32
4198.32 1.432983e-14 3.427143e-32
4200.70 1.446767e-14 3.443745e-32
4203.08 1.451432e-14 3.460036e-32
4205.46 1.467940e-14 3.470446e-32
4207.84 1.459443e-14 3.459397e-32
4210.22 1.484444e-14 3.498960e-32
4212.60 1.509949e-14 3.527545e-32
4214.98 1.501536e-14 3.502509e-32
4217.36 1.479783e-14 3.459032e-32
4219.74 1.493045e-14 3.486629e-32
4222.12 1.515437e-14 3.519410e-32
4224.50 1.506389e-14 3.477701e-32
4226.88 1.492040e-14 3.430915e-32
4229.26 1.463750e-14 3.396211e-32
4231.64 1.472881e-14 3.418208e-32
4234.02 1.512097e-14 3.470680e-32
4236.40 1.503777e-14 3.440736e-32
4238.78 1.500028e-14 3.441058e-32
4241.16 1.525475e-14 3.489392e-32
4243.54 1.516622e-14 3.456254e-32
4245.92 1.522223e-14 3.462522e-32
4248.30 1.519813e-14 3.463945e-32
4250.68 1.524779e-14 3.458066e-32
4253.06 1.527355e-14 3.445083e-32
4255.44 1.526964e-14 3.428076e-32
4257.82 1.509808e-14 3.398141e-32
4260.20 1.469130e-14 3.333377e-32
4262.58 1.493066e-14 3.358209e-32
4264.96 1.522731e-14 3.403797e-32
4267.34 1.497966e-14 3.353976e-32
4269.72 1.475412e-14 3.295165e-32
4272.10 1.494207e-14 3.331059e-32
4274.48 1.500972e-14 3.337508e-32
4276.86 1.511268e-14 3.362320e-32
4279.24 1.492615e-14 3.313556e-32
4281.62 1.533532e-14 3.373909e-32
4284.00 1.552226e-14 3.404842e-32
4286.38 1.564958e-14 3.407023e-32
4288.76 1.600165e-14 3.440033e-32
4291.14 1.592199e-14 3.426749e-32
4293.52 1.601676e-14 3.458909e-32
4295.90 1.604799e-14 3.444626e-32
4298.28 1.606028e-14 3.426417e-32
4300.66 1.612156e-14 3.427169e-32
4303.04 1.626729e-14 3.456731e-32
4305.42 1.667435e-14 3.507395e-32
4307.80 1.671253e-14 3.483860e-32
4310.18 1.699806e-14 3.548474e-32
4312.56 1.728233e-14 3.588150e-32
4314.94 1.714265e-14 3.563171e-32
4317.32 1.734312e-14 3.603502e-32
4319.70 1.743026e-14 3.613889e-32
4322.08 1.765436e-14 3.628660e-32
4324.46 1.765114e-14 3.628893e-32
4326.84 1.756239e-14 3.603621e-32
4329.22 1.779546e-14 3.643998e-32
4331.60 1.817507e-14 3.705208e-32
4333.98 1.832217e-14 3.730671e-32
4336.36 1.810715e-14 3.694461e-32
4338.74 1.822427e-14 3.699400e-32
4341.12 1.831233e-14 3.703449e-32
4343.50 1.865119e-14 3.763838e-32
4345.88 1.836643e-14 3.742740e-32
4348.26 1.814002e-14 3.695960e-32
4350.64 1.811282e-14 3.691513e-32
4353.02 1.850493e-14 3.747370e-32
4355.40 1.862890e-14 3.774246e-32
4357.78 1.831806e-14 3.727443e-32
4360.16 1.832860e-14 3.715472e-32
4362.54 1.787128e-14 3.639403e-32
4364.92 1.778878e-14 3.632354e-32
4367.30 1.747060e-14 3.584236e-32
4369.68 1.737425e-14 3.558682e-32
4372.06 1.713005e-14 3.511670e-32
4374.44 1.635754e-14 3.387451e-32
4376.82 1.576237e-14 3.287648e-32
4379.20 1.546263e-14 3.223292e-32
4381.58 1.502239e-14 3.148893e-32
4383.96 1.449461e-14 3.065251e-32
4386.34 1.398536e-14 2.973227e-32
4388.72 1.372837e-14 2.930799e-32
4391.10 1.302031e-14 2.825270e-32
4393.48 1.247278e-14 2.719294e-32
4395.86 1.202472e-14 2.637312e-32
4398.24 1.192831e-14 2.618906e-32
4400.62 1.162804e-14 2.573563e-32
4403.00 1.132741e-14 2.521643e-32
4405.38 1.100548e-14 2.469410e-32
4407.76 1.058365e-14 2.397356e-32
4410.14 1.043997e-14 2.358237e-32
4412.52 1.011175e-14 2.300205e-32
4414.90 9.828687e-15 2.248930e-32
4417.28 9.592975e-15 2.215375e-32
4419.66 9.403587e-15 2.186766e-32
4422.04 9.195100e-15 2.150399e-32
4424.42 9.266901e-15 2.162958e-32
4426.80 9.063440e-15 2.125779e-32
4429.18 8.860906e-15 2.075305e-32
4431.56 8.778509e-15 2.048979e-32
4433.94 8.615064e-15 2.028344e-32
4436.32 8.647847e-15 2.026680e-32
4438.70 8.690457e-15 2.036508e-32
4441.08 8.692769e-15 2.042516e-32
4443.46 8.308832e-15 1.986339e-32
4445.84 8.164023e-15 1.960717e-32
4448.22 8.269043e-15 1.962610e-32
4450.60 8.512247e-15 1.987980e-32
4452.98 8.371880e-15 1.971489e-32
4455.36 8.577489e-15 1.996004e-32
4457.74 8.632988e-15 1.999932e-32
4460.12 8.764166e-15 2.022970e-32
4462.50 8.926949e-15 2.035237e-32
4464.88 9.067841e-15 2.065683e-32
4467.26 9.235228e-15 2.091014e-32
4469.64 9.377166e-15 2.116579e-32
4472.02 9.566966e-15 2.140808e-32
4474.40 9.680923e-15 2.160611e-32
4476.78 9.983791e-15 2.198478e-32
4479.16 9.969558e-15 2.201840e-32
4481.54 1.020669e-14 2.236751e-32
4483.92 1.016244e-14 2.231041e-32
4486.30 1.044000e-14 2.269134e-32
4488.68 1.086795e-14 2.326924e-32
4491.06 1.114401e-14 2.355308e-32
4493.44 1.107571e-14 2.352913e-32
4495.82 1.132589e-14 2.388201e-32
4498.20 1.155468e-14 2.417241e-32
4500.58 1.180207e-14 2.458687e-32
4502.96 1.194284e-14 2.486289e-32
4505.34 1.229240e-14 2.530106e-32
4507.72 1.263554e-14 2.567741e-32
4510.10 1.295501e-14 2.618704e-32
4512.48 1.327581e-14 2.668719e-32
4514.86 1.382745e-14 2.753229e-32
4517.24 1.406622e-14 2.787735e-32
4519.62 1.446054e-14 2.838048e-32
4522.00 1.480082e-14 2.892203e-32
4524.38 1.510936e-14 2.934393e-32
4526.76 1.532607e-14 2.960173e-32
4529.14 1.587997e-14 3.025310e-32
4531.52 1.634128e-14 3.092759e-32
4533.90 1.681185e-14 3.176554e-32
4536.28 1.731670e-14 3.246700e-32
4538.66 1.795259e-14 3.326255e-32
4541.04 1.847180e-14 3.400932e-32
4543.42 1.905053e-14 3.492973e-32
4545.80 1.982639e-14 3.601671e-32
4548.18 2.061930e-14 3.704669e-32
4550.56 2.134203e-14 3.792727e-32
4552.94 2.182143e-14 3.863106e-32
4555.32 2.228841e-14 3.944568e-32
4557.70 2.305427e-14 4.045762e-32
4560.08 2.385969e-14 4.157890e-32
4562.46 2.449793e-14 4.223666e-32
4564.84 2.487998e-14 4.270585e-32
4567.22 2.514035e-14 4.318310e-32
4569.60 2.550445e-14 4.355291e-32
4571.98 2.625355e-14 4.447140e-32
4574.36 2.697022e-14 4.556307e-32
4576.74 2.733449e-14 4.603834e-32
4579.12 2.761136e-14 4.635593e-32
4581.50 2.816847e-14 4.710469e-32
4583.88 2.864609e-14 4.778448e-32
4586.26 2.928152e-14 4.852766e-32
4588.64 2.998092e-14 4.945851e-32
4591.02 3.040254e-14 5.007157e-32
4593.40 3.062551e-14 5.041013e-32
4595.78 3.099108e-14 5.077597e-32
4598.16 3.175142e-14 5.167418e-32
4600.54 3.237658e-14 5.255277e-32
4602.92 3.278646e-14 5.320032e-32
4605.30 3.343421e-14 5.403261e-32
4607.68 3.380321e-14 5.448413e-32
4610.06 3.398785e-14 5.464037e-32
4612.44 3.452911e-14 5.532379e-32
4614.82 3.477100e-14 5.554364e-32
4617.20 3.499134e-14 5.590396e-32
4619.58 3.542141e-14 5.640219e-32
4621.96 3.590269e-14 5.698526e-32
4624.34 3.617121e-14 5.738666e-32
4626.72 3.619846e-14 5.734444e-32
4629.10 3.646518e-14 5.776139e-32
4631.48 3.683650e-14 5.826829e-32
4633.86 3.704623e-14 5.843380e-32
4636.24 3.684280e-14 5.796901e-32
4638.62 3.684634e-14 5.790509e-32
4641.00 3.693378e-14 5.806400e-32
