# Host-galaxy morphology as reported in NED. 
# Retrieved from http://www.cfa.harvard.edu/supernova/CfA3/snmorph.txt
# Morphology translation:  
# 1,2,3,4,5,6,7,8,9,10,11 = E,E/S0,S0,S0a,Sa,Sab,Sb,Sbc,Sc,Scd,Sd/Irr
# 0 = N/A

# sn Morph Galaxy

sn1980N 3 NGC1316
sn1981B 8 NGC4536
sn1981D 3 NGC1316
sn1986G 3 NGC5128
sn1989B 7 NGC3627
sn1990N 8 NGC4639
sn1990O 5 MCG+03-44-3
sn1990T 5 Anon.
sn1990Y 1 Anon.
sn1990af 3 Anon.
sn1991S 7 UGC5691
sn1991T 8 NGC4527
sn1991U 8 IC4232
sn1991bg 1 NGC4374
sn1992A 3 NGC1380
sn1992J 2 Anon.
sn1992P 5 IC3690
sn1992ae 1 Anon.
sn1992al 9 ESO234-G69
sn1992aq 5 Anon.
sn1992au 1 Anon.
sn1992bc 6 ESO300-G09
sn1992bh 8 Anon.
sn1992bo 2 ESO352-G57
sn1992bp 2 Anon.
sn1992br 1 Anon.
sn1993H 6 ESO445-G66
sn1993L 9 IC5270
sn1993O 2 Anon.
sn1993ae 1 IC126
sn1993ag 2 Anon.
sn1993ah 3 ESO471-27
sn1994D 7 NGC4526
sn1994Q 3 Anon.
sn1994S 6 NGC4495
sn1994T 5 Anon.
sn1994ae 9 NGC3370
sn1995D 7 NGC2962
sn1995E 7 NGC2441
sn1995ac 7 Anon.
sn1995al 8 NGC3021
sn1995bd 7 UGC3151
sn1996C 5 MCG+08-25-47
sn1996X 1 NGC5061
sn1996ab 7 Anon.
sn1996ai 8 NGC5005
sn1996bl 9 Anon.
sn1996bo 9 NGC673
sn1997E 7 NGC2258
sn1997Y 7 NGC4675
sn1997bp 11 NGC4680
sn1997bq 8 NGC3147
sn1997br 11 ESO576-40
sn1997cw 0 NGC105
sn1997dg 7 Anon.
sn1997do 8 UGC3845
sn1997dt 8 NGC7448
sn1998D 5 NGC5440
sn1998V 7 NGC6627
sn1998ab 8 NGC4704
sn1998aq 7 NGC3982
sn1998bp 1 NGC6495
sn1998bu 6 NGC3368
sn1998de 3 NGC252
sn1998dh 8 NGC7541
sn1998dx 7 UGC11149
sn1998ef 7 UGC646
sn1998eg 9 UGC12133
sn1998es 3 NGC632
sn1999X 0 Anon.
sn1999aa 9 NGC2595
sn1999ac 10 NGC6063
sn1999by 7 NGC2841
sn1999cc 9 NGC6038
sn1999cl 7 NGC4501
sn1999cp 10 NGC5468
sn1999cw 6 MCG-01-2-1
sn1999da 1 NGC6411
sn1999dq 9 NGC976
sn1999ek 8 UGC3329
sn1999gp 7 UGC1993
sn2000B 1 NGC2320
sn2000E 8 NGC6951
sn2000bk 3 NGC4520
sn2000cn 10 UGC11064
sn2000cx 3 NGC524
sn2000dk 1 NGC382
sn2000fa 11 UGC3770
sn2001G 0 MCG+08-17-43
sn2001V 7 NGC3987
sn2001ah 8 UGC6211
sn2001ay 7 IC4423
sn2001az 7 UGC10483
sn2001bf 0 MCG+04-42-22
sn2001cp 8 UGC10738
sn2001eh 7 UGC1162
sn2001el 10 NGC1448
sn2001ep 7 NGC1699
sn2001fe 5 UGC5129
sn2001fh 7 Anon.
sn2002G 1 Anon.
sn2002bf 7 Anon.
sn2002bo 5 NGC3190
sn2002cd 8 NGC6916
sn2002cr 10 NGC5468
sn2002cx 0 Anon.
sn2002de 11 NGC6104
sn2002dj 1 NGC5018
sn2002dp 9 NGC7678
sn2002er 5 UGC10743
sn2002eu 0 Anon.
sn2002fk 8 NGC1309
sn2002ha 6 NGC6962
sn2002he 1 UGC4322
sn2002hu 7 MCG+06-6-12
sn2002hw 9 UGC52
sn2002jy 9 NGC477
sn2003K 10 IC1129
sn2003U 9 NGC6365
sn2003W 9 UGC5234
sn2003ae 0 Anon.
sn2003ai 0 IC4062
sn2003cg 5 NGC3169
sn2003ch 3 UGC3787
sn2003cq 8 NGC3978
sn2003du 7 UGC9391
sn2003fa 7 Anon.
sn2003it 7 UGC40
sn2003iv 11 MCG+02-8-14
sn2003kc 9 MCG+05-23-37
sn2003kf 7 MCG-02-16-2
sn2004as 11 Anon.
sn2004bg 7 UGC6363
sn2004fu 9 NGC6949
sn2005am 5 NGC2811
sn2005cf 3 MCG-01-39-3
sn2005dv 3 NGC5283
sn2005el 3 NGC1819
sn2005eq 10 MCG-01-9-6
sn2005eu 0 Anon.
sn2005ew 0 Anon.
sn2005hc 0 MCG+00-6-3
sn2005hj 0 Anon.
sn2005iq 5 MCG-03-1-8
sn2005ir 0 Anon.
sn2005kc 6 NGC7311
sn2005ke 5 NGC1371
sn2005ki 3 NGC3332
sn2005ls 7 MCG+07-7-1
sn2005lu 11 MCG-03-07-40
sn2005lz 11 UGC1666
sn2005mc 4 UGC4414
sn2005ms 7 UGC4614
sn2005mz 1 NGC1275
sn2006B 7 UGC12538
sn2006D 6 MCG-01-33-34
sn2006N 0 MCG+11-8-12
sn2006S 7 UGC7934
sn2006X 8 NGC4321
sn2006ac 7 NGC4619
sn2006ah 0 Anon.
sn2006an 0 Anon.
sn2006ar 0 MCG+11-13-36
sn2006ax 8 NGC3663
sn2006az 7 NGC4172
sn2006bb 3 UGC4468
sn2006br 7 NGC5185
sn2006bt 4 Anon.
sn2006bu 0 Anon.
sn2006bz 3 Anon.
sn2006cc 7 UGC10244
sn2006cf 10 UGC6015
sn2006cj 0 Anon.
sn2006cm 7 UGC11723
sn2006cp 9 UGC7357
sn2006cq 7 IC4239
sn2006em 1 NGC911
sn2006et 5 NGC232
sn2006ev 8 UGC11758
sn2006gj 6 UGC2650
sn2006gr 7 UGC12071
sn2006ha 9 IC1461
sn2006ke 5 UGC3365
sn2006kf 3 UGC2829
sn2006le 7 UGC3218
sn2006lf 7 UGC3108
sn2006mo 7 MCG+06-02-17
sn2006mp 0 MCG+08-31-29
sn2006nz 0 Anon.
sn2006oa 0 Anon.
sn2006ob 7 Anon.
sn2006on 0 Anon.
sn2006os 7 UGC2384
sn2006ot 5 ESO544-G31
sn2006qo 9 UGC4133
sn2006sr 9 UGC14
sn2006td 7 Anon.
sn2007F 10 UGC8162
sn2007H 0 Anon.
sn2007R 0 UGC4008
sn2007S 7 UGC5378
sn2007af 10 NGC5584
sn2007ai 9 MCG-04-38-4
sn2007ar 0 MCG+10-19-62
sn2007au 3 UGC3725
sn2007bc 5 UGC6332
sn2007bd 5 UGC4455
sn2007bm 9 NGC3672
sn2007bz 9 IC3918
sn2007ca 9 MCG-02-34-61
sn2007ci 1 NGC3873
sn2007co 0 MCG+05-43-16
sn2007cp 0 IC807
sn2007cq 0 Anon.
sn2007qe 0 Anon.
sn2008L 3 NGC1259
sn2008bf 1 NGC4055
