Filter_name LamEff A_over_E_B_V_SandF A_SandF A_over_E_B_V_SFD A_SFD
"CTIO U" 0.3734 4.107 0.103 4.968 0.124
"CTIO B" 0.4309 3.641 0.091 4.325 0.108
"CTIO V" 0.5517 2.682 0.067 3.24 0.081
"CTIO R" 0.652 2.119 0.053 2.634 0.066
"CTIO I" 0.8007 1.516 0.038 1.962 0.049
"DSS-II g" 0.4621 3.381 0.085 3.907 0.098
"DSS-II r" 0.6546 2.088 0.052 2.649 0.066
"DSS-II i" 0.8111 1.487 0.037 1.893 0.047
"SDSS u" 0.3587 4.239 0.106 5.155 0.129
"SDSS g" 0.4717 3.303 0.083 3.793 0.095
"SDSS r" 0.6165 2.285 0.057 2.751 0.069
"SDSS i" 0.7476 1.698 0.043 2.086 0.052
"SDSS z" 0.8923 1.263 0.032 1.479 0.037
"UKIRT J" 1.248 0.709 0.018 0.902 0.023
"UKIRT H" 1.659 0.449 0.011 0.576 0.014
"UKIRT K" 2.19 0.302 0.008 0.367 0.009
"2MASS J" 1.23 0.723 0.018 0.937 0.023
"2MASS H" 1.64 0.46 0.012 0.591 0.015
"2MASS Ks" 2.16 0.31 0.008 0.382 0.01
IRAC-1 3.52 0.178 0.004 0.22 0.006
IRAC-2 4.46 0.148 0.004 0.183 0.005
IRAC-3 5.66 0.13 0.003 0.162 0.004
IRAC-4 7.68 0.122 0.003 0.151 0.004
WISE-1 3.32 0.189 0.005 0.234 0.006
WISE-2 4.57 0.146 0.004 0.18 0.005
