'1994D', sn1994D-19951124.46-mmt 1.55202335347
'1994ae', sn1994ae-19951202.47-mmt 1.66520826947
'1995D', sn1995D-19951202.44-mmt 1.45348670586
'1998aq', sn1998aq-19981224.54-fast 5.75970921838
'1998bu', sn1998aq-19981224.54-fast 5.75970921838
'2000cx', sn2000cx-20010126.13-mmt 11.5738429036
'2003du', sn2003du-20030707.26-fast 18.8200115532
'2003hv', sn2003hv-20031121.21-ldss2 32.895744733
'2004dt', sn2004dt-20041212.18-fast 3.53848695489
'2004eo', 
'2005cf', sn2005cf-20050903.14-fast 11.8763445526
'2006dd', 
'2009ab', 
'2009dc'
